Cluster	FCgroup	bindgroup	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0006089	lactate metabolic process	1/3	17/18670	0.00272931456265513	0.0283008488157884	0.00647616677706827	LDHD	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:0008356	asymmetric cell division	1/3	20/18670	0.00321044219767808	0.0283008488157884	0.00647616677706827	INSC	1
downregulated.NEUROG3 bound	downregulated	NEUROG3 bound	GO:1902259	regulation of delayed rectifier potassium channel activity	1/3	23/18670	0.00369141506292892	0.0283008488157884	0.00647616677706827	KCNG1	1
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050808	synapse organization	21/200	408/18670	3.1061266681413e-09	7.51588419574122e-06	6.45781182404397e-06	IGSF9B/EPHB3/SDK1/CDK5R1/DRD2/EPHA4/DNER/DLG2/NTNG2/DGKB/GABRB3/GAP43/SEZ6/SPARC/ADD2/PDZRN3/LRRTM3/LMX1A/SDK2/CAMK2B/GHRL	21
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007411	axon guidance	17/200	276/18670	7.6513974321456e-09	7.51588419574122e-06	6.45781182404397e-06	EPHB3/PTCH1/CDK5R1/EVL/ROBO1/EPHA4/CSF1R/NTNG2/NCAM1/NR4A3/DSCAML1/ETV1/SPTBN4/GAP43/CHL1/LMX1A/ISL1	17
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0097485	neuron projection guidance	17/200	277/18670	8.07580680058154e-09	7.51588419574122e-06	6.45781182404397e-06	EPHB3/PTCH1/CDK5R1/EVL/ROBO1/EPHA4/CSF1R/NTNG2/NCAM1/NR4A3/DSCAML1/ETV1/SPTBN4/GAP43/CHL1/LMX1A/ISL1	17
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050804	modulation of chemical synaptic transmission	19/200	436/18670	2.48260908245345e-07	0.000143581556894251	0.000123368409049163	IGSF9B/DRD2/ADORA2A/CPLX1/EPHA4/RAB26/CACNG4/MPP2/BAIAP3/NTNG2/DGKB/CACNA1B/CHRNB4/SCGN/CAMK2B/CPLX2/FGF14/CACNA1A/GHRL	19
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0099177	regulation of trans-synaptic signaling	19/200	437/18670	2.57130295297728e-07	0.000143581556894251	0.000123368409049163	IGSF9B/DRD2/ADORA2A/CPLX1/EPHA4/RAB26/CACNG4/MPP2/BAIAP3/NTNG2/DGKB/CACNA1B/CHRNB4/SCGN/CAMK2B/CPLX2/FGF14/CACNA1A/GHRL	19
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0021953	central nervous system neuron differentiation	12/200	183/18670	6.75681560942151e-07	0.000289847630852412	0.000249043413780971	EPHB3/PTCH1/PROX1/DRD2/ROBO1/EPHA4/CSF1R/ID4/SPTBN4/LMX1A/ISL1/NKX2-2	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007409	axonogenesis	19/200	468/18670	7.26695349558339e-07	0.000289847630852412	0.000249043413780971	EPHB3/PTCH1/CDK5R1/EVL/DRD2/ROBO1/EPHA4/CSF1R/NTNG2/NCAM1/NR4A3/DSCAML1/ETV1/SPTBN4/GAP43/CHL1/LMX1A/MAP6/ISL1	19
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	11/200	168/18670	2.02050624093481e-06	0.000705156678086248	0.000605886016196109	IGSF9B/CELSR2/SDK1/PTPRT/ROBO1/CDHR3/FAT3/DSCAML1/CDHR1/CDH22/SDK2	11
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030073	insulin secretion	12/200	207/18670	2.47587890375524e-06	0.000768072655476071	0.00065994479785476	ADCY5/DRD2/CPLX1/ILDR2/BAIAP3/PTPRN/ABCC8/CACNA1A/ISL1/GHRL/RFX6/NEUROD1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0007416	synapse assembly	11/200	177/18670	3.35724338590038e-06	0.000891710152872908	0.000766176835468767	EPHB3/SDK1/DRD2/DNER/NTNG2/GABRB3/GAP43/ADD2/LRRTM3/SDK2/GHRL	11
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030534	adult behavior	10/200	144/18670	3.51318469971418e-06	0.000891710152872908	0.000766176835468767	ATP6V1B1/SDK1/DRD2/EPHA4/NR4A3/CHRNB4/SPTBN4/CHL1/SEZ6/GHRL	10
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0042391	regulation of membrane potential	17/200	434/18670	4.61279720552264e-06	0.00107324414981827	0.000922154809770711	IGSF9B/DRD2/ADORA2A/CACNG4/MPP2/KCNK3/CACNA1B/KCNMB2/CHRNB4/GABRB3/KCNH7/CACNA2D1/SEZ6/KCNMA1/FGF14/CACNA1A/GHRL	17
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	13/200	273/18670	8.16259265259671e-06	0.00175307374508077	0.00150627924334153	IGSF9B/CELSR2/SDK1/PTPRT/ROBO1/CDHR3/NTNG2/FAT3/DSCAML1/TENM2/CDHR1/CDH22/SDK2	13
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0008038	neuron recognition	6/200	48/18670	1.18286434514054e-05	0.00235896946545171	0.00202687807712428	EPHB3/CDK5R1/ROBO1/EPHA4/DSCAML1/GAP43	6
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0050678	regulation of epithelial cell proliferation	15/200	378/18670	1.46568632206723e-05	0.00272813080747448	0.00234406956350261	MDK/PTCH1/PROX1/FGF9/ROBO1/VASH2/ATOH8/NR4A3/FLT1/AKT3/SPARC/SCG2/PTPRN/ISL1/GHRL	15
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0030072	peptide hormone secretion	12/200	250/18670	1.69080860034385e-05	0.00295046100760002	0.00253510052643661	ADCY5/DRD2/CPLX1/ILDR2/BAIAP3/PTPRN/ABCC8/CACNA1A/ISL1/GHRL/RFX6/NEUROD1	12
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0031016	pancreas development	7/200	78/18670	2.02412734400822e-05	0.0029654497816786	0.00254797920843219	PROX1/ILDR2/ISL1/NKX2-2/RFX6/NEUROD1/INSM1	7
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0060078	regulation of postsynaptic membrane potential	9/200	140/18670	2.02847521537328e-05	0.0029654497816786	0.00254797920843219	IGSF9B/DRD2/ADORA2A/MPP2/CHRNB4/GABRB3/SEZ6/FGF14/GHRL	9
upregulated.NEUROG3 bound	upregulated	NEUROG3 bound	GO:0021542	dentate gyrus development	4/200	16/18670	2.10261760444852e-05	0.0029654497816786	0.00254797920843219	MDK/PROX1/LMX1A/NEUROD1	4
