TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
RFX6	ST18	1	51	0.995	rgb(228, 27, 29)	2	None
ARX	DOK6	0.99739	50.99	0.993	rgb(228, 27, 29)	1.9998	None
ASCL1	GCH1	0.99739	50.99	0.987	rgb(228, 28, 30)	1.9998	None
ASCL1	SV2B	0.99739	50.99	0.987	rgb(228, 28, 30)	1.9998	None
INSM1	PGA5	0.99739	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	NEUROD1	0.99739	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	NKX2-2	0.99739	50.99	0.989	rgb(228, 28, 30)	1.9998	None
RFX6	PDZRN3	0.99739	50.99	0.989	rgb(228, 28, 30)	1.9998	None
ETS1	GSTM2	-0.99477	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
TEAD1	CACNA2D1	0.99477	50.98	0.975	rgb(228, 31, 33)	1.9996	None
ARX	MMRN1	0.99216	50.97	0.975	rgb(228, 31, 33)	1.9994	None
ETV1	SV2A	0.99216	50.97	0.974	rgb(228, 31, 33)	1.9994	None
FEV	SLC18A1	0.99216	50.97	0.968	rgb(228, 32, 34)	1.9994	None
NFAT5	TBC1D8B	0.99216	50.97	0.971	rgb(228, 32, 34)	1.9994	None
PDX1	SSTR5	0.99216	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	BTBD17	0.99216	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	CA8	0.99216	50.97	0.971	rgb(228, 32, 34)	1.9994	None
RFX6	DUSP26	0.99216	50.97	0.97	rgb(228, 32, 34)	1.9994	None
RFX6	IGFBPL1	0.99216	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	MARCH4	0.99216	50.97	0.966	rgb(228, 32, 34)	1.9994	None
ARX	SVOP	0.98954	50.96	0.963	rgb(228, 33, 35)	1.9992	None
FEV	HLA-DQA2	0.98954	50.96	0.963	rgb(228, 33, 35)	1.9992	2,2
HMBOX1	RNF213	0.98954	50.96	0.964	rgb(228, 33, 35)	1.9992	None
NEUROD1	KCNIP3	0.98954	50.96	0.957	rgb(228, 34, 36)	1.9992	None
NEUROD1	SCG2	0.98954	50.96	0.961	rgb(228, 34, 35)	1.9992	None
RFX6	LOC728392	0.98954	50.96	0.957	rgb(228, 34, 36)	1.9992	None
RFX6	TOX	0.98954	50.96	0.956	rgb(228, 34, 36)	1.9992	None
ZNF514	AX746764	0.98954	50.96	0.957	rgb(228, 34, 36)	1.9992	2,2
FEV	HMP19	0.98693	50.95	0.951	rgb(227, 35, 37)	1.999	2,2
FEV	TMEFF1	0.98693	50.95	0.947	rgb(227, 36, 38)	1.999	None
GATA2	FAM171B	0.98693	50.95	0.947	rgb(227, 36, 38)	1.999	None
PLAG1	FW340055	0.98693	50.95	0.95	rgb(227, 36, 37)	1.999	2,2
PLAG1	HOOK3	0.98693	50.95	0.946	rgb(227, 36, 38)	1.999	None
SOX4	CYP27A1	0.98693	50.95	0.948	rgb(227, 36, 38)	1.999	None
ARNT2	SDK1	0.98431	50.94	0.943	rgb(227, 37, 39)	1.9988	None
FEV	AP3B2	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
FEV	PGM5	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
FEV	SCGB1A1	0.98431	50.94	0.942	rgb(227, 37, 39)	1.9988	None
FOXP2	BCAT1	0.98431	50.94	0.943	rgb(227, 37, 39)	1.9988	None
HHEX	TTR	0.98431	50.94	0.941	rgb(227, 37, 39)	1.9988	None
LMX1A	UNC80	0.98431	50.94	0.936	rgb(227, 38, 40)	1.9988	None
LMX1B	BAALC	0.98431	50.94	0.94	rgb(227, 37, 39)	1.9988	None
MAFF	NFRKB	0.98431	50.94	0.936	rgb(227, 38, 40)	1.9988	None
NEUROD1	HES6	0.98431	50.94	0.944	rgb(227, 37, 39)	1.9988	None
NKX2-2	LINC00261	0.98431	50.94	0.936	rgb(227, 38, 40)	1.9988	None
NKX2-2	RGS4	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
ONECUT2	ZFP62	0.98431	50.94	0.944	rgb(227, 37, 39)	1.9988	None
PLAG1	LINC00939	0.98431	50.94	0.944	rgb(227, 37, 39)	1.9988	None
PLAG1	RNPC3	0.98431	50.94	0.94	rgb(227, 37, 39)	1.9988	None
PRDM16	NFRKB	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
PRDM16	PRRT2	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
SOX4	FAM126A	0.98431	50.94	0.939	rgb(227, 38, 39)	1.9988	None
SOX4	SUSD2	0.98431	50.94	0.937	rgb(227, 38, 40)	1.9988	None
TGIF2	CENPE	0.98431	50.94	0.936	rgb(227, 38, 40)	1.9988	None
ZNF846	BLMH	-0.98431	50.94	-9.4E-01	rgb( 14, 93,253)	1.9988	None
ZNF514	BX641154	0.98431	50.94	0.943	rgb(227, 37, 39)	1.9988	2,2
ARX	CPB1	0.9817	50.93	0.926	rgb(227, 40, 42)	1.9986	None
ETV1	SST	0.9817	50.93	0.927	rgb(227, 40, 42)	1.9986	None
FEV	KCNK16	0.9817	50.93	0.933	rgb(227, 39, 41)	1.9986	None
HIF1A	ADNP	0.9817	50.93	0.932	rgb(227, 39, 41)	1.9986	None
LMX1B	FGF9	0.9817	50.93	0.933	rgb(227, 39, 41)	1.9986	None
NEUROD1	ADORA2A	0.9817	50.93	0.932	rgb(227, 39, 41)	1.9986	None
NEUROG3	CELA3A	0.9817	50.93	0.927	rgb(227, 40, 42)	1.9986	None
NFAT5	TMEM212	0.9817	50.93	0.93	rgb(227, 39, 41)	1.9986	None
PLAG1	UBE2S	-0.9817	50.93	-9.3E-01	rgb( 16, 95,252)	1.9986	None
PRDM16	AHNAK	0.9817	50.93	0.926	rgb(227, 40, 42)	1.9986	None
RFX6	BHMT	0.9817	50.93	0.925	rgb(227, 40, 42)	1.9986	None
RFX6	GRIK3	0.9817	50.93	0.93	rgb(227, 39, 41)	1.9986	None
RFX6	LOC646903	0.9817	50.93	0.932	rgb(227, 39, 41)	1.9986	None
RFX6	OR51E2	0.9817	50.93	0.928	rgb(227, 40, 42)	1.9986	None
SOX4	PROX1	0.9817	50.93	0.933	rgb(227, 39, 41)	1.9986	None
TEAD2	MMP11	0.9817	50.93	0.926	rgb(227, 40, 42)	1.9986	None
TFCP2L1	FCGBP	0.9817	50.93	0.929	rgb(227, 40, 41)	1.9986	None
ZNF846	NAT14	-0.9817	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
ARX	AF131837	0.97908	50.92	0.918	rgb(227, 42, 43)	1.9984	2,2
ARX	FEV	0.97908	50.92	0.916	rgb(227, 42, 44)	1.9984	None
ASCL2	LONRF2	0.97908	50.92	0.915	rgb(227, 42, 44)	1.9984	None
ELF4	CD52	-0.97908	50.92	-9.2E-01	rgb( 17, 95,252)	1.9984	None
ETS1	MUC16	-0.97908	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
ETS1	REG4	-0.97908	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
ETV1	COL14A1	0.97908	50.92	0.921	rgb(227, 41, 43)	1.9984	None
FEV	AMER3	0.97908	50.92	0.92	rgb(227, 41, 43)	1.9984	None
FEV	BRSK1	0.97908	50.92	0.921	rgb(227, 41, 43)	1.9984	None
FEV	NOVA2	0.97908	50.92	0.92	rgb(227, 41, 43)	1.9984	None
FEV	WNK3	0.97908	50.92	0.916	rgb(227, 42, 44)	1.9984	None
LMX1A	BLMH	0.97908	50.92	0.917	rgb(227, 42, 44)	1.9984	None
LMX1A	CHST9	0.97908	50.92	0.917	rgb(227, 42, 44)	1.9984	2,2
LMX1A	GPC5-AS1	0.97908	50.92	0.915	rgb(227, 42, 44)	1.9984	2,2
MXI1	TFF2	0.97908	50.92	0.919	rgb(227, 41, 43)	1.9984	None
NEUROD1	ADAMTS2	0.97908	50.92	0.919	rgb(227, 41, 43)	1.9984	None
NEUROD1	ASXL3	0.97908	50.92	0.923	rgb(227, 41, 43)	1.9984	None
NEUROG3	TUBB4A	0.97908	50.92	0.916	rgb(227, 42, 44)	1.9984	None
NFAT5	ONECUT2	0.97908	50.92	0.924	rgb(227, 40, 42)	1.9984	None
PAX4	CELA3A	0.97908	50.92	0.919	rgb(227, 41, 43)	1.9984	None
PDX1	FXYD6	0.97908	50.92	0.925	rgb(227, 40, 42)	1.9984	None
PDX1	SESN2	0.97908	50.92	0.924	rgb(227, 40, 42)	1.9984	None
TP73	AMPD3	0.97908	50.92	0.917	rgb(227, 42, 44)	1.9984	None
ARX	ID4	0.97647	50.91	0.914	rgb(227, 42, 44)	1.9982	None
ASCL1	TRPM2	0.97647	50.91	0.909	rgb(227, 43, 45)	1.9982	None
ETV1	ELAVL3	0.97647	50.91	0.913	rgb(227, 43, 44)	1.9982	None
ETV1	SCG5	0.97647	50.91	0.914	rgb(227, 42, 44)	1.9982	None
FEV	DDN	0.97647	50.91	0.907	rgb(227, 44, 46)	1.9982	None
FOXA1	CDH5	-0.97647	50.91	-9.1E-01	rgb( 19, 97,252)	1.9982	None
LMX1A	GFRA3	0.97647	50.91	0.911	rgb(227, 43, 45)	1.9982	None
LMX1A	KIAA2022	0.97647	50.91	0.906	rgb(227, 44, 46)	1.9982	2,2
MAFA	USP6	0.97647	50.91	0.909	rgb(227, 43, 45)	1.9982	None
MAFF	ARHGAP24	-0.97647	50.91	-9.1E-01	rgb( 20, 97,252)	1.9982	None
NEUROD1	DLL3	0.97647	50.91	0.915	rgb(227, 42, 44)	1.9982	None
NEUROD1	SSTR2	0.97647	50.91	0.908	rgb(227, 44, 45)	1.9982	None
NEUROG3	DKK3	0.97647	50.91	0.912	rgb(227, 43, 45)	1.9982	None
NEUROG3	GDF10	0.97647	50.91	0.91	rgb(227, 43, 45)	1.9982	None
NFAT5	NEAT1	0.97647	50.91	0.908	rgb(227, 44, 45)	1.9982	None
ONECUT2	UTS2B	0.97647	50.91	0.91	rgb(227, 43, 45)	1.9982	None
PBX3	FCGBP	-0.97647	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
RFX6	KCNH6	0.97647	50.91	0.909	rgb(227, 43, 45)	1.9982	None
RFX6	KIF1A	0.97647	50.91	0.915	rgb(227, 42, 44)	1.9982	None
RFX6	PRR18	0.97647	50.91	0.906	rgb(227, 44, 46)	1.9982	None
RORC	ZNF117	-0.97647	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
SOX4	GFRA1	0.97647	50.91	0.908	rgb(227, 44, 45)	1.9982	None
SOX4	PCBP4	0.97647	50.91	0.912	rgb(227, 43, 45)	1.9982	None
SPIB	MS4A8	0.97647	50.91	0.908	rgb(227, 43, 45)	1.9982	None
TEAD2	PLEKHO1	0.97647	50.91	0.908	rgb(227, 44, 45)	1.9982	None
TP73	SHF	0.97647	50.91	0.913	rgb(227, 43, 44)	1.9982	None
ZNF846	ZNF519	0.97647	50.91	0.905	rgb(227, 44, 46)	1.9982	None
E2F7	BLMH	0.97385	50.9	0.904	rgb(227, 44, 46)	1.998	None
E2F7	SMARCD2	0.97385	50.9	0.899	rgb(227, 45, 47)	1.998	None
ETS1	SOX4	0.97385	50.9	0.901	rgb(227, 45, 47)	1.998	None
ETV1	AVPR1B	0.97385	50.9	0.895	rgb(227, 46, 48)	1.998	None
ETV1	CTPS1	0.97385	50.9	0.895	rgb(227, 46, 48)	1.998	None
ETV1	SPEG	0.97385	50.9	0.904	rgb(227, 44, 46)	1.998	None
