	ARX	ASCL1	ASCL2	ETV1	FEV	FOXJ1	GATA2	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.097933165022	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.265342717597	1	1	1	1	1
NABA_MATRISOME	1	1	1	1	1	1	1	1	1	0.441589394745	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	0.183807559783	0.00963024486409	1	1	1	1	1	0.321307006881	1	0.0930982891871	1	1	1	1	1	1	1	1	0.0347138841242	1	0.425529316268	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	0.729485324932	1	1	1	1	1	1	1	1	0.118796866747	1	1	1	1	1	1	1	1	1	1	0.115647989473	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	1	1	0.329197668649	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	1	0.530490543282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	0.516791175931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	0.0072591591429	1	1	0.069494527905	1	1	1	1	1	1	0.53020786181	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ION_CHANNEL_TRANSPORT	1	1	1	1	0.947782192896	1	0.134261312121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	0.0644349297583	0.0219572688586	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021584960584	1	1	1	1	0.711109718862
REACTOME_NEURONAL_SYSTEM	2.6983885057e-05	4.41574552057e-06	5.44900186545e-05	3.12389618506e-06	5.01285912513e-06	0.0144007544958	0.00186856929409	6.43746706941e-07	0.0294209443577	1.49656490933e-05	1.72648266497e-05	0.021406134877	0.000212933924062	0.000410265977743	1	0.148543682794	0.148879051711	0.0372036601987	0.196595175166	2.19382059841e-06	3.39606873345e-06	3.76055378482e-06	1.17828026669e-06	7.0696673915e-06	4.83607604803e-05	0.629644375309	0.522580532057
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	0.958329967992	0.347561054969	1	1	0.560259453901	1	1	1	1	1	1	1	1	1	1	1	0.254458474901	1	0.0993356071938	1	1	0.419871934007	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.770807659552	1	0.847604527963	0.000815622101289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	0.0733982407152	0.843962348273	1	1	1	1	1	1	1	0.059377518807	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.459454592933	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	1	3.08273041121e-05	0.455947481041	5.0994268711e-06	0.0219694738618	1	1	1	1	0.140395619023	1.68331342434e-05	0.0202561283155	0.00197276309975	1	1	1	0.69127717284	1	1	0.272727369845	1	0.0304836637443	0.000142718418554	0.405974251481	1	1	0.185388185914
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	0.617262127696	1	1	1	1	1	1	1	1	1	1	1	0.277107769931	0.0229172483392	1	1	1	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	0.0256181612614	1	1	1	1	1	1	1	0.158152540789	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.0211607951065	1	1	0.0718956017321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.797394851935	1	1	1	1
REACTOME_STIMULI_SENSING_CHANNELS	1	1	1	1	1	1	0.785551893342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	0.0544602639175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.000836951006429	1	1	0.161192077305	0.00122848799719	1	1	2.21144463595e-05	1	0.261708406892	1	1	1	0.0169910083745	1	1	1	0.354505410771	1	0.00193055499221	0.0019922097482	7.18753291574e-05	0.115591010266	0.0218147095309	0.0831469373108	1	1
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1	1	1	0.886624169547	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	0.0990192627032	1	1	0.178090573812	0.00205665109805	1	1	1	0.502222279903	1	1	1	1	0.719330386542	1	1	1	1	1	1	0.449736587838	1	1	1	0.278932189264	1	1
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.155740813107	1	1	1	1	1	1	1	1	1	1	1	1	1
