	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	0.730138056853	1	1	0.00206629519838	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.00598417111883	1	1	1
GO_AXON	0.0167759117008	1	0.00275625771685	1	0.0691363292833	1	1	1	1	1	0.470010164017	0.0	1	0.00709532972291	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	0.595109436163	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.976035962923	1	1	1	1	1	0.0	0.261174497519	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	0.981702222038	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	1	0.000155306417328	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	0.426234176919	1	1	1	1	1	1	0.000285040041078	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000396366871226	1	1	1	1	1	1	0.0306605760669	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.920960924857	0.0532364692155	1	1	1	1	1	1	0.211825913352	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	0.0939510947646	1	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	0.0165082755931	1	1	1
GO_CELL_BODY	1	1	1	1	0.648464678231	1	1	1	1	1	1	0.0125302090505	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.0266824474431	1	1	1	1	1	1	0.0	0.00366305966962	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	0.701810548362	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	0.00639178722261	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	0.465493257139	1	1	1
GO_DENDRITIC_TREE	1	1	1	1	1	1	1	1	1	1	1	0.0	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	1	1	1	0.486451889753	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	1	0.0758051158326	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	1.54631421669e-05	1	1	1	1	1	1	4.57522461472e-06	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000190423467002	1	1	1	1	1	1	0.0154248098761	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000107116006851	1	1	1	1	1	1	0.0185282125205	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0407446944772	1	1	1	1	1	1	0.494119778462	1	1	1
GO_ION_TRANSPORT	1	1	1	1	0.0214831341726	1	1	1	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	0.0111819861419	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	0.495586461533	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	0.642934149492	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.0180103623789	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.325664329637	0.0263604400876	1	1	0.407909211866	1	1	1	0.00764391770057	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	1	0.0988449671091	1	1	1	1	1	1	0.440277998605	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	0.896623306174	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	0.647715514264	1	1	1
GO_NEUROGENESIS	1	1	1	1	0.248856848369	1	1	1	1	1	1	0.00603023622728	0.0309287542865	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	0.11509940684	1	1	1	1	1	1	0.00939464072623	0.538575020962	1	1
GO_NEURON_DIFFERENTIATION	1	1	1	1	0.489178934367	1	1	1	1	1	1	0.00798824693431	0.671827091301	1	1
GO_NEURON_PROJECTION	0.000264026990969	1	0.00104860551543	1	2.51381294447e-05	1	1	1	1	1	0.0221728523571	2.76918101583e-05	7.49719971518e-05	3.41547108662e-05	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	1	1	1	1	1	0.12309138471	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	1	0.00024773157795	1	1	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.444310983716
GO_POSITIVE_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.877528842174	1
GO_POSTSYNAPSE	0.0943280416707	1	1	1	1	1	1	1	1	1	1	4.02040390276e-05	1	1	1
