	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR			ATP6V1B1 NR4A3 NRXN2 TPGS1 UNC79		CHRNA5 GIP NR4A3 NRXN2 PBX3 PCDH17 UNC79	CHRNA3 CHRNA5 CHRNB2 GIP SEZ6L TMOD1			DRD2 PBX3 SLC1A2 SLITRK6 TMOD1 TPGS1			BRS3 CEND1 CHL1 CHRNA5 DRD2 EFNB3 GIP NRXN2 PBX3 SEZ6 SEZ6L SLITRK6 SPTBN4 TMOD1 TPGS1 UCHL1	CEND1 CXCL12 GHRL NRXN2 SEZ6 TMOD1 UCHL1		ATP6V1B1 BRS3 EFNB3 GRIN1 SEZ6 TMOD1
GO_ADULT_LOCOMOTORY_BEHAVIOR						GIP SEZ6L TMOD1			DRD2 PBX3 SLITRK6 TMOD1			CEND1 CHL1 DRD2 EFNB3 GIP PBX3 SEZ6 SEZ6L SLITRK6 SPTBN4 TMOD1 UCHL1	CEND1 CXCL12 SEZ6 TMOD1 UCHL1		EFNB3 GRIN1 SEZ6 TMOD1
GO_AXON	BRSK2 C1QL1 DLG2 GAP43 MX1 MX2 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STMN4 STX1A SYN1 SYT2 TUBB3 UCN3	BASP1 DPYSL3 KCNAB2 NTRK2 PTPRN2 SCN1B	AP3B2 APBB1 BRSK1 BRSK2 C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 DLG2 DNM3 DSCAML1 KCNIP3 KCNJ11 MAP2 MAP6 MX1 NTRK1 SNAP25 SYN1 SYP TPGS1 TUBB3	KCNIP3 MAP1A NTNG2 NTRK1 SCN2A SLC18A1 STMN4	BSN CABP4 CNGA3 CNR1 CPLX2 CRH DST HAP1 KCNC1 KIF5A KIRREL3 MAP1A MAP1B MAP9 MAST1 NEFM PRKCG PTPRN RET SCN1B SLC8A1 SRCIN1 SYP SYT2 TMOD2 UCN3 UNC80 USH2A	KCNC1 SLC18A1 STMN2 STX1A TENM2 TMOD2 TUBB4A UNC80	AP3B2 CABP4 MAP6 PRKCG SH2D3C STX1A STXBP1 SYT5	DNM3 NCS1 RET SCN2A SLC18A1	DPYSL3 DRD2 MX1 SLC1A2 TPGS1	BOC KIF1A MAP9 PTCH1 PTPRN2 USH2A	ADORA2A BASP1 BRSK1 CDK5R2 DLG2 DST GRIK5 KCNAB2 KIF1A KIRREL3 NTRK2 PRRT2 SNAP25 SPTBN4 USH2A	APBB1 ATP1A3 BASP1 BOC BRSK1 BSN CACNG7 CDK5R2 CPLX2 DLG2 DRD2 GAP43 GRIK5 HAP1 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 NEFM NFASC NTS RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYP TPGS1 UCHL1 UCN3 UNC80 USH2A	ADORA2A BRSK1 C1QL1 CABP4 CDK5R2 CNGA3 DDC DLG2 DSCAML1 DST GHRL INSRR KIRREL3 MAP6 NTRK2 PRRT2 PTPRN STMN3 SYN1 SYT2 UCHL1	ATP1A3 C1QL1 CDK5R2 CNR1 CPLX2 CRH GRIK5 MAST1 NCS1 SH2D3C SPTBN4 STMN3 STXBP1 SYP TUBB3	APBB1 CPT1C GRIN1 KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP
GO_AXON_DEVELOPMENT	BRSK2 GAP43 GFRA3 NEFL SPP1 TUBB2B TUBB3		APBB1 BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3 NTRK1 RTN4RL1 TUBB3	MAP1A NTNG2 NTRK1 RTN4RL1 SPP1 TMEFF1	CNR1 DOK6 EPHA8 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B	ADCY1 BCL2 CHRNB2 EVL PAX6 RTN4RL1 SHC3		APOA1 ISLR2 RET		ADCY1 BCL2 BOC CSF1R EPHB3 PTCH1 SEMA6B TUBB2B		APBB1 BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ETV1 GAP43 ISL1 JAM3 KIF5A LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SHC3 SLITRK6 SPP1 SPTBN4 TUBB2B UCHL1	BRSK1 CXCL12 DSCAML1 ETV1 ISL1 JAM3 MAP6 NTRK2 UCHL1	CNR1 CSF1R NKX6-1 SPTBN4 STXBP1 TUBB3	APBB1 EFNB3 GRIN1 LINGO1 MAP1A MAP6 MATN2 RET SCN1B TMEFF1
GO_BEHAVIOR	C1QL1 FZD4 PAK6 PRKCG SEZ6 SNAP25 UNC79		ARC ATP6V1B1 BRSK1 C1QL1 JPH4 NR4A3 NRXN2 NTRK1 SLC12A5 SNAP25 TPGS1 TTBK1 UNC79	ATP6V1B1 MAP1A MDK NEUROD2 NTRK1 SCN2A	AGT ASIC4 CHRNA5 CNR1 CRH DACH1 ETV1 GIP JPH4 KIRREL3 MAP1A NEUROD2 NR4A3 NRXN2 PBX3 PCDH17 PRKCG TMOD2 UNC79	ADCY1 ADCY5 APLN BCL2 CHRNA3 CHRNA5 CHRNB2 GIP SEZ6L SHC3 TMOD1 TMOD2	ADCY1 ARC MCOLN3 NPTX2 PBX3 PRKCG		DRD2 PBX3 SLC1A2 SLITRK6 TMOD1 TPGS1	ADCY1 APLN BCL2 MCOLN3 TTBK1	ADORA2A BRSK1 KIRREL3 NDRG4 NPY NTRK2 SNAP25 SPTBN4	AGT ASIC1 ASIC4 BRS3 BRSK1 CEND1 CHL1 CHRNA5 DRD2 EFNB3 ETV1 FZD4 GIP GNAO1 KIRREL3 LMX1A MAP1A MCOLN3 MDK NDRG4 NEUROD2 NPW NRXN2 PAK6 PBX3 PYY RGS14 SEZ6 SEZ6L SHC3 SLC12A5 SLITRK6 SNAP25 SPTBN4 THBS4 TMOD1 TPGS1 UCHL1	ADORA2A AGT ARC ASIC4 BRSK1 C1QL1 CEND1 CXCL12 ETV1 GAL GHRL JPH4 KIRREL3 MDK NDRG4 NPTX2 NRXN2 NTRK2 RGS14 SEZ6 TMOD1 UCHL1	C1QL1 CNR1 CRH GAL NEGR1 SPTBN4	AGT APLN ATP6V1B1 BRS3 DACH1 EFNB3 GRIN1 MAP1A MDK NPW SEZ6 TMOD1
GO_CARDIAC_CONDUCTION		CACNA1G FXYD6 SCN1B	CACNA1C CACNG6 FXYD1 FXYD6 KCNIP3 KCNJ11	CACNG6 HCN4 KCNIP3 KCNJ3	AGT ANK2 CACNA1C CACNA2D2 CACNB2 CACNB4 FXYD6 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1			CACNG6 KCNJ2 SCN3B		CACNA1G CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G KCNE4 SPTBN4	AGT ANK2 ATP1A3 CACNA1C CACNB4 CACNG7 HCN4 KCNH6 KCNIP3 KCNJ3 SCN1B SPTBN4	AGT CACNA1C CACNA1G CACNB4 FXYD1 KCNH2 KCNK3	ATP1A3 SPTBN4	AGT HCN4 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B
GO_CATION_CHANNEL_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 NALCN SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G KCNAB2 KCNF1 KCNMB2 SCN1B	CACNA1C CACNG6 CNGA3 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A TRPC6 TRPC7	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA5 CNGA3 CNGA4 CNR1 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B TRPC6 TRPM3 UNC80	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 KCNMB3 UNC80		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ANXA6 ASIC1 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 TRPC7	ANXA6 CNR1 GRIK5 KCNG1 NCS1	ANXA6 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_CATION_CHANNEL_COMPLEX	DLG2 KCNB2 KCNJ2 SNAP25 STX1A	CACNA1G KCNAB2 KCNF1 KCNMB2 SCN1B	CACNA1C CACNG6 CNIH2 DLG2 HSPA2 KCNG1 KCNIP3 KCNJ11 SNAP25	CACNG6 GRIN2C HCN4 KCNG1 KCNIP3 KCNJ3 SCN2A TRPC6 TRPC7	CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 KCNB2 KCNC1 KCNF1 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B TRPC6 UNC80	HSPA2 KCNC1 KCNE4 KCNMB3 STX1A UNC80	ABCC9 SHISA9 STX1A	CACNG6 KCNJ2 SCN2A SCN3B TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2	CACNA1G CATSPERB DLG2 GRIK5 HSPA2 KCNAB2 KCNE4 SNAP25	ABCC8 CACNA1A CACNA1C CACNB4 CACNG7 CATSPERB CNIH2 DLG2 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 SCN1B SNAP25 STX1A UNC80	CACNA1C CACNA1G CACNB4 DLG2 KCNF1 KCNH2 KCNJ6 TRPC7		CNIH2 CPT1C GRIN1 HCN4 KCNF1 KCNH2 KCNJ11 SCN1B SCN3B
GO_CATION_TRANSMEMBRANE_TRANSPORT	ANXA6 ATP6V0E2 DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G FXYD6 KCNAB2 KCNF1 KCNMB2 SCN1B SLC25A27 SLC7A2	ARC ATP6V1B1 CACNA1C CACNG6 CNGA3 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC30A4 TRPC6 TRPC7 WNK2	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CNGA3 CNGA4 CRH FXYD6 HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC30A8 SLC6A17 SLC8A1 TRPC6 TRPM3 UNC80 WNK3	HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1 UNC80	ABCC9 ARC MCOLN3 SHISA9 SLC38A3	CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 MCOLN3 SLC6A16		ABCC8 AGT ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CNIH2 DLG2 DPP10 DRD2 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 TRPM3 UCP2 UNC80	AGT ARC ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 DLG2 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 PLCG2 TRPC7	ANXA6 ATP1A3 CRH GAL KCNG1 NCS1	AGT ANXA6 ATP6V0E2 ATP6V1B1 CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 ATP6V0E2 KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G KCNAB2 KCNF1 KCNMB2 SCN1B SLC7A2	ATP6V1B1 CACNA1C CACNG6 CNGA3 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ATP6V1B1 ATP6V1G2 CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1 SLC30A4 TRPC6 TRPC7	ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA5 CNGA3 CNGA4 CNR1 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B SLC30A8 SLC8A1 TRPC6 TRPM3 UNC80	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 KCNMB3 SLC18A1 UNC80		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B SLC18A1 TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3	CACNA1G GRIK5 KCNAB2 KCNE4 SLC30A4 SNAP25	ABCC8 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 TRPC7	ANXA6 ATP1A3 CNR1 GRIK5 KCNG1 NCS1	ANXA6 ATP6V0E2 ATP6V1B1 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
