	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	0	0	5	0	7	6	0	0	6	0	0	16	7	0	6
GO_ADULT_LOCOMOTORY_BEHAVIOR	0	0	0	0	0	3	0	0	4	0	0	12	5	0	4
GO_AXON	18	6	23	7	28	8	8	5	5	6	15	38	21	15	11
GO_AXON_DEVELOPMENT	7	0	11	6	17	7	0	3	0	8	0	27	9	6	10
GO_BEHAVIOR	7	0	13	6	19	12	6	0	6	5	8	38	22	6	12
GO_CARDIAC_CONDUCTION	0	3	6	4	12	0	0	3	0	6	3	12	7	2	7
GO_CATION_CHANNEL_ACTIVITY	7	7	9	11	25	7	0	7	0	9	5	26	11	5	11
GO_CATION_CHANNEL_COMPLEX	5	5	9	9	15	6	3	5	0	6	8	21	8	0	9
GO_CATION_TRANSMEMBRANE_TRANSPORT	14	10	19	17	38	7	5	7	0	11	0	40	19	6	18
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	11	8	11	15	28	8	0	8	0	9	6	31	11	6	13
GO_CATION_TRANSPORT	17	11	21	18	40	11	6	8	0	13	10	43	23	8	19
GO_CELLULAR_COMPONENT_MORPHOGENESIS	13	8	15	9	25	11	0	0	5	11	9	38	17	7	14
GO_CELL_BODY	9	0	14	0	25	9	4	3	0	5	10	32	14	10	12
GO_CELL_CELL_SIGNALING	24	21	30	18	54	15	13	0	8	19	21	74	46	18	30
GO_CELL_MORPHOGENESIS	14	0	18	10	28	9	0	4	0	13	12	41	19	8	15
GO_CELL_PART_MORPHOGENESIS	12	8	15	9	23	9	0	0	0	10	9	36	15	7	13
GO_CELL_PROJECTION_ORGANIZATION	19	17	23	19	41	14	8	0	0	11	14	55	32	15	20
GO_DENDRITIC_TREE	15	8	18	0	25	0	4	5	5	5	8	38	18	8	14
GO_DISTAL_AXON	10	5	10	0	13	5	0	2	0	4	9	20	7	8	0
GO_EXOCYTIC_VESICLE	6	3	8	4	12	0	0	0	2	4	7	18	10	0	0
GO_GATED_CHANNEL_ACTIVITY	7	8	9	9	26	7	0	6	0	9	6	29	11	5	11
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	12	10	16	17	38	7	0	7	0	11	0	40	16	0	15
