TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
AEBP1	AB074188	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
KCNIP3	AB074188	0.69393	48.33	0.334	rgb(221,153,154)	1.9468	2,2
MYT1	AB074188	0.8071	50.34	0.339	rgb(221,152,153)	1.987	2,2
AEBP1	ADAMTS2	0.35093	35.12	0.121	rgb(218,194,194)	1.6825	2,2
KCNIP3	ADAMTS2	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
MYT1	ADAMTS2	0.6228	46.27	0.267	rgb(220,166,167)	1.9056	2,2
KCNIP3	AF070581	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
MYT1	AF070581	0.95799	50.79	0.788	rgb(226, 67, 68)	1.996	2,2
AEBP1	AF131837	0.52135	42.46	0.457	rgb(222,130,131)	1.8294	2,2
MYT1	AF131837	0.73304	49.21	0.209	rgb(219,177,177)	1.9644	2,2
KCNIP3	AK022997	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
MYT1	AK022997	0.93036	50.72	0.725	rgb(225, 79, 80)	1.9946	2,2
AEBP1	AK054990	0.57831	44.48	0.478	rgb(222,126,127)	1.8698	2,2
KCNIP3	AK054990	0.59637	45.31	0.314	rgb(220,157,158)	1.8864	2,2
MYT1	AK054990	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
AEBP1	AK092251	0.68418	48.33	0.329	rgb(221,154,155)	1.9468	2,2
KCNIP3	AK092251	0.90913	50.63	0.635	rgb(224, 96, 97)	1.9928	2,2
AEBP1	AK094786	0.34292	34.35	0.353	rgb(221,150,150)	1.6671	2,2
MYT1	AK094786	-0.53395	43.04	-0.04	rgb(208,212,219)	1.841	2,2
AEBP1	AK095045	0.48455	41.27	0.265	rgb(220,166,167)	1.8056	2,2
KCNIP3	AK095045	0.61892	46.17	0.17	rgb(219,185,185)	1.9036	2,2
AEBP1	AK096718	0.61198	45.62	0.617	rgb(224, 99,100)	1.8926	2,2
KCNIP3	AK096718	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
KCNIP3	AK128153	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
MYT1	AK128153	0.62416	46.3	0.299	rgb(220,160,161)	1.9062	2,2
AEBP1	AK311257	0.46373	40.33	0.326	rgb(221,155,155)	1.7868	2,2
KCNIP3	AK311257	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
AEBP1	AK316321	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
KCNIP3	AK316321	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
AEBP1	AL109792	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
KCNIP3	AL109792	0.3758	36.27	0.271	rgb(220,165,166)	1.7055	2,2
