TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARX	AB074188	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
LMX1A	AB074188	0.99942	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
ARX	ABCA9	-0.34585	34.51	-0.51	rgb(107,150,236)	1.6703	None
LMX1B	ABCA9	0.54209	44.34	0.339	rgb(221,152,153)	1.867	None
LMX1A	ABCC4	0.0067328	14	0	rgb(217,217,217)	1.2601	None
LMX1B	ABCC4	-0.77204	49.63	-0.63	rgb( 80,133,241)	1.9728	None
ARX	ABCC8	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1A	ABCC8	0.59071	46.13	0.134	rgb(218,191,192)	1.9028	None
LMX1B	ABCC8	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1A	ABLIM2	0.40677	37.68	0.679	rgb(224, 87, 89)	1.7337	None
LMX1B	ABLIM2	0.63143	47.28	0.284	rgb(220,163,163)	1.9258	None
LMX1B	ACBD7	0.24796	30	0	rgb(217,217,217)	1.5801	None
LMX1A	ACOT7	0.084387	19	0	rgb(217,217,217)	1.3601	None
LMX1B	ACOT7	-0.5145	42.34	-0.34	rgb(144,173,230)	1.827	None
ARX	ACSL6	0.84866	50.51	0.51	rgb(223,120,121)	1.9904	None
LMX1A	ACSL6	0.38166	37.63	0.63	rgb(224, 97, 98)	1.7327	None
LMX1B	ACSL6	-0.47497	42.08	-0.48	rgb(113,154,235)	1.8218	None
ARX	ACTL6B	-0.78872	50.2	-0.42	rgb(125,161,233)	1.9842	None
LMX1A	ACTL6B	0.80281	50.33	0.538	rgb(223,114,115)	1.9868	None
LMX1B	ACTL6B	0.94403	50.71	0.709	rgb(225, 81, 83)	1.9944	None
ARX	ACTN3	0.37435	36.25	0.247	rgb(220,170,170)	1.7051	None
LMX1A	ACTN3	0.21727	28	0	rgb(217,217,217)	1.5401	None
LMX1B	ACTN3	0.12321	21	0	rgb(217,217,217)	1.4001	None
LMX1A	ADAM12	0.89938	50.65	0.649	rgb(224, 93, 94)	1.9932	None
ARX	ADAMTS2	0.76712	49.62	0.625	rgb(224, 98, 99)	1.9726	2,2
ARX	ADAMTSL1	0.44874	40.59	0.589	rgb(223,105,106)	1.792	None
LMX1A	ADAMTSL1	0.87641	50.56	0.558	rgb(223,110,112)	1.9914	None
LMX1B	ADAMTSL1	-0.83474	50.47	-0.75	rgb( 53,117,246)	1.9896	None
ARX	ADCY1	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1B	ADCY1	0.71016	48.5	0.857	rgb(226, 53, 55)	1.9502	None
LMX1A	ADCY2	0.98637	50.85	0.847	rgb(226, 55, 57)	1.9972	None
LMX1B	ADCY2	-0.4627	40.32	-0.44	rgb(121,158,234)	1.7866	None
LMX1A	ADCY5	0.092482	18	0	rgb(217,217,217)	1.3401	None
LMX1A	ADD2	0.27869	32	0	rgb(217,217,217)	1.6201	None
LMX1B	ADD2	-0.37724	36.31	-0.31	rgb(150,176,229)	1.7063	None
ARX	ADH6	-0.47332	41.72	-0.72	rgb( 61,122,244)	1.8146	None
LMX1B	ADH6	-0.88385	50.61	-0.61	rgb( 85,137,240)	1.9924	None
ARX	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1B	AEBP1	-0.83804	50.48	-0.48	rgb(113,154,235)	1.9898	None
ARX	AF131837	0.96943	50.78	0.784	rgb(226, 67, 69)	1.9958	2,2
LMX1A	AF198444	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LMX1B	AFF2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LMX1A	AGAP11	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1B	AGAP11	0.12321	21	0	rgb(217,217,217)	1.4001	None
