TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ASCL1	ABCA9	0.092482	18	0	rgb(217,217,217)	1.3401	None
ASCL2	ABCA9	0.36712	35.66	0.658	rgb(224, 91, 93)	1.6933	None
ASCL1	ABCC8	0.17332	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ABCC8	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ASCL1	ACE	-0.8304	50.45	-0.45	rgb(119,158,234)	1.9892	None
ASCL2	ACE	-0.60264	46.34	-0.34	rgb(143,172,230)	1.907	None
ASCL1	ACTN3	-0.71458	48.55	-0.55	rgb( 98,145,238)	1.9512	None
ASCL2	ACTN3	0.78658	50.15	0.626	rgb(224, 98, 99)	1.9832	None
ASCL1	ADAMTSL2	0.17332	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ADAMTSL2	0.25535	30	0	rgb(217,217,217)	1.5801	None
ASCL1	ADCY1	-0.46613	40.41	-0.41	rgb(127,162,233)	1.7884	None
ASCL2	ADCY1	0.64411	46.66	0.657	rgb(224, 91, 93)	1.9134	None
ASCL1	ADCY5	0.068278	17	0	rgb(217,217,217)	1.3201	None
ASCL2	ADCY5	-0.63841	46.52	-0.52	rgb(105,149,237)	1.9106	None
ASCL1	AEBP1	-0.6228	46.27	-0.27	rgb(159,181,227)	1.9056	None
ASCL2	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
ASCL1	AK5	0.26378	31	0	rgb(217,217,217)	1.6001	None
ASCL2	AK5	0.34981	36.17	0.173	rgb(219,184,184)	1.7035	None
ASCL1	ANKS1B	-0.40599	37.61	-0.61	rgb( 84,136,240)	1.7323	None
ASCL2	ANKS1B	0.04399	16	0	rgb(217,217,217)	1.3001	None
ASCL1	ANXA6	-0.44209	39.39	-0.39	rgb(133,166,232)	1.768	None
ASCL2	ANXA6	0.78872	50.2	0.201	rgb(219,179,179)	1.9842	None
ASCL1	APLP1	-0.89765	50.64	-0.64	rgb( 77,132,241)	1.993	None
ASCL2	APLP1	0.45238	41.1	0.101	rgb(218,198,198)	1.8022	None
ASCL1	ASIC1	-0.35787	35.31	-0.31	rgb(150,176,229)	1.6863	None
ASCL2	ASIC1	0.91722	50.65	0.645	rgb(224, 94, 95)	1.9932	None
ASCL1	ATOH8	0.15832	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ATOH8	0.42635	40.01	0.008	rgb(217,215,215)	1.7804	None
ASCL1	ATP6V1B1	0.60401	45.45	0.463	rgb(222,129,130)	1.8892	None
ASCL2	ATP6V1B1	0.73172	49.34	0.337	rgb(221,153,153)	1.967	None
ASCL1	BAIAP3	0.10777	20	0	rgb(217,217,217)	1.3801	None
