TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CCDC17	ABCC9	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CCDC17	ADAM20P1	0.75663	49.49	0.487	rgb(222,124,125)	1.97	2,2
CCDC17	ADM5	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
CCDC17	AF086346	0.78121	49.8	0.796	rgb(226, 65, 67)	1.9762	2,2
CCDC17	AF258560	0.52202	43.5	0.501	rgb(223,121,122)	1.8502	2,2
CCDC17	AF420437	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
CCDC17	AK024092	0.89261	50.63	0.633	rgb(224, 96, 97)	1.9928	2,2
CCDC17	AK025511	0.48104	42.24	0.237	rgb(220,172,172)	1.825	2,2
CCDC17	AK025664	0.60091	46.32	0.321	rgb(221,156,156)	1.9066	2,2
CCDC17	AK026392	0.77865	49.76	0.761	rgb(225, 72, 73)	1.9754	2,2
CCDC17	AK027252	0.76382	49.59	0.589	rgb(223,104,106)	1.972	2,2
CCDC17	AK027332	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CCDC17	AK027840	0.77893	49.77	0.767	rgb(225, 70, 72)	1.9756	2,2
CCDC17	AK054970	0.73717	49.39	0.562	rgb(223,110,111)	1.968	2,2
CCDC17	AK055257	0.76712	49.62	0.62	rgb(224, 98,100)	1.9726	2,2
CCDC17	AK055386	0.96171	50.8	0.796	rgb(226, 65, 66)	1.9962	2,2
CCDC17	AK056490	0.93656	50.69	0.686	rgb(225, 86, 87)	1.994	2,2
CCDC17	AK057596	0.85308	50.51	0.694	rgb(225, 84, 86)	1.9904	2,2
CCDC17	AK091593	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
CCDC17	AK091624	0.74886	49.48	0.483	rgb(222,125,126)	1.9698	2,2
CCDC17	AK091729	0.43065	39.09	0.092	rgb(218,199,200)	1.762	2,2
CCDC17	AK091996	0.38063	36.39	0.392	rgb(221,142,143)	1.7079	2,2
CCDC17	AK095546	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CCDC17	AK096718	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
CCDC17	AK097012	0.78121	49.8	0.797	rgb(226, 65, 66)	1.9762	2,2
CCDC17	AK123654	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
CCDC17	AK124970	0.51619	43.38	0.379	rgb(221,145,145)	1.8478	2,2
CCDC17	AK125437	-0.94601	50.76	-0.76	rgb( 53,117,246)	1.9954	2,2
CCDC17	AK125727	0.76914	49.63	0.634	rgb(224, 96, 97)	1.9728	2,2
CCDC17	AK128361	0.77637	49.71	0.712	rgb(225, 81, 82)	1.9744	2,2
CCDC17	AK128559	0.55097	43.46	0.456	rgb(222,130,131)	1.8494	2,2
CCDC17	AK129879	0.66126	47.59	0.588	rgb(223,105,106)	1.932	2,2
CCDC17	AK293147	0.77951	49.78	0.784	rgb(226, 67, 69)	1.9758	2,2
CCDC17	AK310876	0.76196	49.54	0.539	rgb(223,114,115)	1.971	2,2
CCDC17	AK311213	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CCDC17	AK311497	0.76258	49.58	0.576	rgb(223,107,108)	1.9718	2,2
CCDC17	AK316321	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CCDC17	AL110171	0.61941	46.65	0.647	rgb(224, 93, 95)	1.9132	2,2
CCDC17	AL831889	0.56865	44.29	0.292	rgb(220,161,162)	1.866	2,2
CCDC17	AL832212	0.76055	49.53	0.525	rgb(223,117,118)	1.9708	2,2
CCDC17	AL832937	0.78042	49.79	0.792	rgb(226, 66, 67)	1.976	2,2
CCDC17	ANKRD20A9P	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
CCDC17	ANKRD36B	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CCDC17	ASIC5	0.44961	39.65	0.653	rgb(224, 92, 94)	1.7732	2,2
CCDC17	AX746485	0.89765	50.64	0.64	rgb(224, 95, 96)	1.993	2,2
CCDC17	AX746617	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CCDC17	AX746734	0.56382	44.59	0.587	rgb(223,105,106)	1.872	2,2
CCDC17	AX746771	0.65874	47.56	0.558	rgb(223,110,111)	1.9314	2,2
CCDC17	AX746775	0.95147	50.73	0.725	rgb(225, 79, 80)	1.9948	2,2
CCDC17	AX746995	0.36142	36.53	0.529	rgb(223,116,117)	1.7107	2,2
CCDC17	AX747158	0.76055	49.57	0.568	rgb(223,109,110)	1.9716	2,2
CCDC17	AX747175	0.48934	41.36	0.357	rgb(221,149,149)	1.8074	2,2
CCDC17	AX747179	0.76196	49.54	0.538	rgb(223,114,115)	1.971	2,2
CCDC17	AX747264	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CCDC17	AX747516	0.95374	50.78	0.777	rgb(226, 69, 70)	1.9958	2,2
CCDC17	AX747590	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CCDC17	AX747619	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
CCDC17	AX747755	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CCDC17	AX747819	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CCDC17	AX747833	0.77485	49.66	0.658	rgb(224, 91, 93)	1.9734	2,2
CCDC17	AX747853	0.96353	50.76	0.762	rgb(225, 72, 73)	1.9954	2,2
CCDC17	AX748336	0.54577	44.4	0.404	rgb(221,140,141)	1.8682	2,2
CCDC17	BC005905	0.4052	37.56	0.558	rgb(223,110,112)	1.7313	2,2
CCDC17	BC006435	0.68724	48.37	0.373	rgb(221,146,147)	1.9476	2,2
CCDC17	BC007880	0.78042	49.79	0.791	rgb(226, 66, 68)	1.976	2,2
CCDC17	BC040894	0.91322	50.68	0.684	rgb(225, 86, 88)	1.9938	2,2
CCDC17	BC041654	0.77951	49.78	0.779	rgb(226, 68, 70)	1.9758	2,2
CCDC17	BC042825	0.91722	50.65	0.654	rgb(224, 92, 93)	1.9932	2,2
CCDC17	BX537634	0.87278	50.58	0.576	rgb(223,107,108)	1.9918	2,2
CCDC17	BX647938	0.61347	46.5	0.503	rgb(223,121,122)	1.9102	2,2
CCDC17	BX649158	0.98996	50.9	0.897	rgb(227, 46, 48)	1.9982	2,2
