TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ETV1	AB074188	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
FEV	AB074188	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ETV1	ABCC8	0.84998	50.5	0.496	rgb(222,122,123)	1.9902	None
FEV	ABCC8	0.25535	29	0	rgb(217,217,217)	1.5601	None
ETV1	ACSL6	0.19533	25	0	rgb(217,217,217)	1.4801	None
FEV	ACSL6	-0.44824	40.55	-0.55	rgb( 99,145,238)	1.7912	None
ETV1	ACSS3	0.24796	30	0	rgb(217,217,217)	1.5801	None
FEV	ACSS3	0.99587	50.92	0.92	rgb(227, 41, 43)	1.9986	None
SPIB	ACSS3	0.076869	18	0	rgb(217,217,217)	1.3401	None
ETV1	ACTG1P4	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
FEV	ACTG1P4	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ETV1	ACTN3	0.30343	32	0	rgb(217,217,217)	1.6201	None
FEV	ACTN3	0.052045	17	0	rgb(217,217,217)	1.3201	None
ETV1	ADAM12	-0.46117	40.29	-0.29	rgb(155,179,228)	1.786	None
FEV	ADAM12	0.73284	49.2	0.546	rgb(223,113,114)	1.9642	None
SPIB	ADAM12	0.34969	36.16	0.158	rgb(219,187,187)	1.7033	None
ETV1	ADAMTSL2	0.51619	43.38	0.384	rgb(221,144,144)	1.8478	None
FEV	ADAMTSL2	-0.77922	49.7	-0.7	rgb( 65,124,244)	1.9742	None
SPIB	ADAMTSL2	0.28724	31	0	rgb(217,217,217)	1.6001	None
FEV	ADCY1	0.30343	32	0	rgb(217,217,217)	1.6201	None
SPIB	ADCY1	0.32805	35	0	rgb(217,217,217)	1.6801	None
ETV1	ADH6	0.98459	50.84	0.835	rgb(226, 57, 59)	1.997	None
SPIB	ADH6	-0.83474	50.47	-0.47	rgb(114,155,235)	1.9896	None
ETV1	AEBP1	0.66729	47.69	0.691	rgb(225, 85, 86)	1.934	None
FEV	AEBP1	0.30343	32	0	rgb(217,217,217)	1.6201	None
ETV1	AGAP11	0.060595	16	0	rgb(217,217,217)	1.3001	None
FEV	AGAP11	-0.39876	37.35	-0.35	rgb(142,171,230)	1.7271	None
SPIB	AGAP11	-0.338	34.01	-0.0096	rgb(215,216,217)	1.6603	None
FEV	AGT	-0.39475	37.24	-0.24	rgb(166,186,226)	1.7249	None
SPIB	AGT	0.94403	50.71	0.708	rgb(225, 82, 83)	1.9944	None
ETV1	AIF1	-0.42491	39.62	-0.62	rgb( 82,135,241)	1.7726	None
FEV	AIF1	0.95374	50.78	0.781	rgb(226, 68, 69)	1.9958	None
ETV1	AK023417	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
FEV	AK023417	-0.35655	35.28	-0.28	rgb(157,180,228)	1.6857	2,2
FEV	AK024119	0.5	42.65	0.65	rgb(224, 93, 94)	1.8332	2,2
SPIB	AK024119	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
FEV	AK026379	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
SPIB	AK026379	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ETV1	AK090700	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
FEV	AK090700	-0.76572	49.57	-0.57	rgb( 93,141,239)	1.9716	2,2
ETV1	AK097119	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
FEV	AK097119	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ETV1	AK125333	0.37051	37.25	0.246	rgb(220,170,170)	1.7251	2,2
FEV	AK125333	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ETV1	AK128593	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
FEV	AK128593	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ETV1	AK5	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FEV	AK5	0.12321	21	0	rgb(217,217,217)	1.4001	None
SPIB	AK5	0.81524	50.39	0.392	rgb(221,142,143)	1.988	None
ETV1	AKR1B1	0.73304	49.21	0.21	rgb(219,177,177)	1.9644	None
FEV	AKR1B1	-0.42561	39.71	-0.71	rgb( 62,123,244)	1.7744	None
SPIB	AKR1B1	-0.43292	39.16	-0.16	rgb(182,196,223)	1.7634	None
FEV	AKT3	0.98996	50.87	0.866	rgb(227, 52, 53)	1.9976	None
SPIB	AKT3	0.18104	25	0	rgb(217,217,217)	1.4801	None
FEV	AL109792	0.52202	43.5	0.501	rgb(223,121,122)	1.8502	2,2
SPIB	AL109792	0.46778	41.44	0.435	rgb(222,134,135)	1.809	2,2
FEV	ALAS2	-0.79612	50.29	-0.33	rgb(146,174,229)	1.986	None
SPIB	ALAS2	0.73812	49.4	0.397	rgb(221,141,142)	1.9682	None
ETV1	AMER3	0.79831	50.3	0.301	rgb(220,160,160)	1.9862	None
FEV	AMER3	0.99694	50.93	0.932	rgb(227, 39, 41)	1.9988	None
ETV1	AMPH	0.91553	50.64	0.638	rgb(224, 95, 96)	1.993	None
FEV	AMPH	0.73812	49.4	0.398	rgb(221,141,142)	1.9682	None
ETV1	ANGPT2	0.94031	50.7	0.696	rgb(225, 84, 85)	1.9942	None
FEV	ANGPT2	-0.54812	43.41	-0.41	rgb(127,162,233)	1.8484	None
SPIB	ANGPT2	0.53812	44.28	0.282	rgb(220,163,164)	1.8658	None
ETV1	ANK2	0.97476	50.8	0.796	rgb(226, 65, 67)	1.9962	None
FEV	ANK2	-0.85663	50.54	-0.54	rgb(100,146,237)	1.991	None
ETV1	ANKRD13B	0.71409	48.7	0.705	rgb(225, 82, 84)	1.9542	None
SPIB	ANKRD13B	-0.61347	46.5	-0.5	rgb(107,150,236)	1.9102	None
ETV1	ANKRD36C	0.64965	47.15	0.154	rgb(219,188,188)	1.9232	None
FEV	ANKRD36C	-0.93891	50.74	-0.74	rgb( 57,120,245)	1.995	None
SPIB	ANKRD36C	0.23961	28	0	rgb(217,217,217)	1.5401	None
FEV	ANKRD45	0.61582	46.01	0.014	rgb(217,214,214)	1.9004	None
SPIB	ANKRD45	-0.72652	48.8	-0.8	rgb( 44,112,247)	1.9562	None
ETV1	ANKRD65	0.76572	49.57	0.568	rgb(223,109,110)	1.9716	None
FEV	ANKRD65	-0.67836	47.64	-0.64	rgb( 79,133,241)	1.933	None
SPIB	ANKRD65	0.48781	41.33	0.334	rgb(221,153,154)	1.8068	None
ETV1	AP3B2	0.092482	18	0	rgb(217,217,217)	1.3401	None
FEV	AP3B2	0.85828	50.52	0.52	rgb(223,118,119)	1.9906	None
FEV	APBB1	0.55134	44.5	0.502	rgb(223,121,122)	1.8702	None
SPIB	APBB1	0.24796	30	0	rgb(217,217,217)	1.5801	None
ETV1	APLN	0.16638	23	0	rgb(217,217,217)	1.4401	None
SPIB	APLN	-0.56778	45.29	-0.29	rgb(154,179,228)	1.886	None
ETV1	APLP1	0.41	39.2	0.204	rgb(219,178,178)	1.7642	None
FEV	APLP1	-0.48542	41.29	-0.29	rgb(155,179,228)	1.806	None
SPIB	APLP1	-0.42383	39.57	-0.57	rgb( 93,142,239)	1.7716	None
ETV1	APOA1	0.25535	29	0	rgb(217,217,217)	1.5601	None
SPIB	APOA1	0.76712	49.62	0.619	rgb(224, 99,100)	1.9726	None
ETV1	APOC3	0.25535	29	0	rgb(217,217,217)	1.5601	None
FEV	APOC3	-0.43561	39.26	-0.26	rgb(160,182,227)	1.7654	None
SPIB	APOC3	0.68815	48.38	0.485	rgb(222,124,125)	1.9478	None
ETV1	ARC	0.61223	45.64	0.636	rgb(224, 95, 97)	1.893	None
FEV	ARC	0.77096	49.62	0.625	rgb(224, 98, 99)	1.9726	None
ETV1	ARHGAP33	-0.64804	47.08	-0.08	rgb(200,206,220)	1.9218	None
FEV	ARHGAP33	-0.89765	50.64	-0.64	rgb( 79,133,241)	1.993	None
ETV1	ARHGAP9	0.13057	21	0	rgb(217,217,217)	1.4001	None
FEV	ARHGAP9	0.99157	50.92	0.918	rgb(227, 42, 44)	1.9986	None
FEV	ARHGEF26-AS1	-0.58154	44.56	-0.56	rgb( 95,143,238)	1.8714	None
SPIB	ARHGEF26-AS1	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ETV1	ARL9	0.64957	47.14	0.145	rgb(219,189,190)	1.923	None
SPIB	ARL9	-0.64048	47.37	-0.37	rgb(137,168,231)	1.9276	None
FEV	ASIC1	0.27869	32	0	rgb(217,217,217)	1.6201	None
SPIB	ASIC1	-0.86101	50.55	-0.55	rgb( 99,145,238)	1.9912	None
FEV	ASIC4	-0.56691	44.25	-0.25	rgb(162,183,227)	1.8652	None
SPIB	ASIC4	0.42945	40.13	0.13	rgb(218,192,192)	1.7828	None
ETV1	ASRGL1	-0.39765	38.36	-0.36	rgb(138,169,231)	1.7473	None
FEV	ASRGL1	0.77204	49.63	0.633	rgb(224, 96, 97)	1.9728	None
SPIB	ASRGL1	-0.34886	36.15	-0.15	rgb(184,197,223)	1.7031	None
ETV1	ATP13A4	0.17332	24	0	rgb(217,217,217)	1.4601	None
FEV	ATP13A4	0.61545	45.86	0.857	rgb(226, 53, 55)	1.8974	None
SPIB	ATP13A4	0.23296	29	0	rgb(217,217,217)	1.5601	None
ETV1	ATP6V0E2	0.45204	40.06	0.061	rgb(218,205,205)	1.7814	None
FEV	ATP6V0E2	0.016605	14	0	rgb(217,217,217)	1.2601	None
ETV1	ATP6V1B1	-0.74886	49.48	-0.48	rgb(114,154,235)	1.9698	None
SPIB	ATP6V1B1	-0.69827	48.37	-0.37	rgb(136,168,231)	1.9476	None
ETV1	ATP6V1G2	-0.49971	42.63	-0.63	rgb( 80,134,241)	1.8328	None
FEV	ATP6V1G2	-0.61347	45.69	-0.69	rgb( 67,126,243)	1.894	None
SPIB	ATP6V1G2	0.36568	37.12	0.121	rgb(218,194,194)	1.7225	None
ETV1	AVPR1B	0.96026	50.76	0.765	rgb(225, 71, 72)	1.9954	None
FEV	AVPR1B	-0.93036	50.72	-0.72	rgb( 61,122,244)	1.9946	None
ETV1	AX746677	-0.56964	44.32	-0.32	rgb(147,174,229)	1.8666	2,2
FEV	AX746677	-0.53858	43.2	-0.2	rgb(173,190,225)	1.8442	2,2
ETV1	AX747598	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
FEV	AX747598	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
ETV1	B3GAT1	0.90913	50.63	0.629	rgb(224, 97, 98)	1.9928	None
FEV	B3GAT1	0.83635	50.46	0.459	rgb(222,129,130)	1.9894	None
FEV	B3GNTL1	-0.38063	36.39	-0.39	rgb(132,165,232)	1.7079	None
SPIB	B3GNTL1	-0.73622	49.26	-0.26	rgb(161,183,227)	1.9654	None
ETV1	BAIAP3	0.13825	22	0	rgb(217,217,217)	1.4201	None
FEV	BAIAP3	-0.5014	43.03	-0.049	rgb(206,210,219)	1.8408	None
FEV	BC033961	0.34684	36.1	0.098	rgb(218,198,199)	1.7021	2,2
SPIB	BC033961	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
ETV1	BC053580	-0.54932	43.43	-0.43	rgb(124,160,233)	1.8488	2,2
FEV	BC053580	-0.34857	35.05	-0.048	rgb(206,211,219)	1.6811	2,2
ETV1	BCAT1	-0.34358	34.38	-0.38	rgb(134,167,231)	1.6677	None
FEV	BCAT1	0.54601	43.37	0.371	rgb(221,146,147)	1.8476	None
SPIB	BCAT1	0.76613	49.61	0.61	rgb(224,100,102)	1.9724	None
ETV1	BEGAIN	0.45729	41.22	0.22	rgb(219,175,175)	1.8046	None
FEV	BEGAIN	0.45762	41.23	0.228	rgb(220,173,174)	1.8048	None
SPIB	BEGAIN	0.70545	48.45	0.45	rgb(222,131,132)	1.9492	None
ETV1	BEND5	0.1881	26	0	rgb(217,217,217)	1.5001	None
FEV	BEND5	0.82656	50.43	0.433	rgb(222,134,135)	1.9888	None
SPIB	BEND5	-0.80558	50.33	-0.33	rgb(146,174,230)	1.9868	None
FEV	BRS3	0.89488	50.6	0.598	rgb(224,103,104)	1.9922	None
SPIB	BRS3	0.38364	36.48	0.481	rgb(222,125,126)	1.7097	None
ETV1	BSN	0.9665	50.77	0.771	rgb(225, 70, 71)	1.9956	None
FEV	BSN	-0.83804	50.48	-0.48	rgb(113,154,235)	1.9898	None
SPIB	BSN	0.68418	48.33	0.326	rgb(221,155,155)	1.9468	None
ETV1	C10orf82	-0.8304	50.45	-0.45	rgb(119,157,234)	1.9892	None
