TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXJ1	ABCA9	-0.65271	47.5	-0.5	rgb(109,151,236)	1.9302	None
FOXJ1	ABCC4	0.84337	50.48	0.476	rgb(222,126,127)	1.9898	None
FOXJ1	ABLIM2	0.48823	42.34	0.336	rgb(221,153,153)	1.827	None
FOXJ1	ACSL6	-0.48228	42.26	-0.26	rgb(161,183,227)	1.8254	None
FOXJ1	ADCY5	-0.62652	46.34	-0.34	rgb(142,172,230)	1.907	None
FOXJ1	ADH6	0.44531	40.46	0.457	rgb(222,130,131)	1.7894	None
FOXJ1	AHNAK	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXJ1	AK024092	-0.73717	49.39	-0.39	rgb(133,166,232)	1.968	2,2
FOXJ1	AK025975	0.76613	49.61	0.613	rgb(224,100,101)	1.9724	2,2
FOXJ1	AK091729	-0.69773	48.48	-0.48	rgb(112,153,235)	1.9498	2,2
FOXJ1	AK091996	-0.61132	46.47	-0.47	rgb(115,155,235)	1.9096	2,2
FOXJ1	AK094916	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
FOXJ1	AK127339	-0.48757	42.33	-0.33	rgb(145,173,230)	1.8268	2,2
FOXJ1	AK130076	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXJ1	AK309215	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
FOXJ1	AK311257	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXJ1	ANGPT2	-0.80768	50.36	-0.63	rgb( 80,134,241)	1.9874	None
FOXJ1	ANK2	-0.6147	46.52	-0.52	rgb(105,149,237)	1.9106	None
FOXJ1	ANKFN1	0.96943	50.78	0.782	rgb(226, 68, 69)	1.9958	None
FOXJ1	ANKRD20A9P	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXJ1	APBB1	0.62619	47.2	0.2	rgb(219,179,179)	1.9242	None
FOXJ1	APLN	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXJ1	ARHGAP24	-0.38364	38.06	-0.056	rgb(205,210,219)	1.7413	None
FOXJ1	ARNT2	0.8905	50.59	0.593	rgb(224,104,105)	1.992	None
FOXJ1	ASCL2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
FOXJ1	AX746775	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
FOXJ1	AX747179	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
FOXJ1	AX747590	-0.42193	39.48	-0.48	rgb(112,153,235)	1.7698	2,2
FOXJ1	BASP1	0.67741	48.23	0.233	rgb(220,172,173)	1.9448	None
FOXJ1	BC005905	-0.65271	47.5	-0.5	rgb(108,150,236)	1.9302	2,2
