TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
GRHL3	AK022997	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GRHL3	AK026379	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
GRHL3	AK125437	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
GRHL3	ANKRD20A9P	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GRHL3	ANP32A-IT1	-0.44275	39.4	-0.4	rgb(130,164,232)	1.7682	2,2
GRHL3	ARHGEF25	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
GRHL3	AX746640	-0.39926	37.37	-0.37	rgb(137,169,231)	1.7275	2,2
GRHL3	AX746771	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
GRHL3	AX746991	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	AX747179	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
GRHL3	AX747756	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	BC041484	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
GRHL3	BEND5	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
GRHL3	C10orf10	0.86456	50.56	0.563	rgb(223,109,111)	1.9914	2,2
GRHL3	C14orf105	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
GRHL3	C17orf65	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GRHL3	C6orf185	0.62652	46.34	0.341	rgb(221,152,153)	1.907	2,2
GRHL3	C9orf66	0.36353	35.46	0.465	rgb(222,128,129)	1.6893	2,2
GRHL3	CA8	0.67675	47.6	0.603	rgb(224,102,103)	1.9322	2,2
GRHL3	CCDC154	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	CCNA1	-0.62007	46.67	-0.67	rgb( 72,129,242)	1.9136	2,2
GRHL3	CHL1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GRHL3	CNR1	0.36679	35.61	0.605	rgb(224,101,103)	1.6923	2,2
GRHL3	CR627206	-0.9665	50.77	-0.77	rgb( 50,115,246)	1.9956	2,2
GRHL3	CYGB	0.72441	48.72	0.72	rgb(225, 80, 81)	1.9546	2,2
GRHL3	DPCR1	-0.58154	44.56	-0.56	rgb( 96,144,238)	1.8714	2,2
GRHL3	ECEL1	0.55258	43.5	0.543	rgb(223,113,114)	1.8502	2,2
GRHL3	FAM105A	0.92197	50.7	0.701	rgb(225, 83, 85)	1.9942	2,2
GRHL3	FAM19A5	0.79971	50.28	0.326	rgb(221,155,155)	1.9858	2,2
GRHL3	FAM65C	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
GRHL3	FLJ31662	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
GRHL3	GDF1	0.52024	43.44	0.437	rgb(222,134,134)	1.849	2,2
GRHL3	GPR133	0.42264	38.42	0.416	rgb(222,138,138)	1.7485	2,2
GRHL3	GRAMD2	0.39711	37.3	0.304	rgb(220,159,159)	1.7261	2,2
GRHL3	GRASP	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
GRHL3	HSPB7	0.34341	34.37	0.367	rgb(221,147,148)	1.6675	2,2
GRHL3	IGHG1	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
GRHL3	IL17C	0.90202	50.61	0.688	rgb(225, 86, 87)	1.9924	2,2
GRHL3	LIMD2	0.95147	50.74	0.738	rgb(225, 76, 77)	1.995	2,2
GRHL3	LINC00842	-0.50017	42.66	-0.66	rgb( 74,130,242)	1.8334	2,2
GRHL3	LINC00930	0.69711	48.36	0.361	rgb(221,148,149)	1.9474	2,2
GRHL3	LOC100216546	0.16638	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	LOC389332	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	LOC729683	0.92197	50.7	0.7	rgb(225, 83, 85)	1.9942	2,2
GRHL3	LRRC16B	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	MUC15	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GRHL3	MYBPC2	0.42214	38.41	0.413	rgb(222,138,139)	1.7483	2,2
GRHL3	NAT8L	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	NCAM1	-0.44287	39.41	-0.41	rgb(128,163,233)	1.7684	2,2
GRHL3	NEURL	0.83474	50.47	0.508	rgb(223,120,121)	1.9896	2,2
GRHL3	NHLH1	0.55713	43.66	0.66	rgb(224, 91, 92)	1.8534	2,2
GRHL3	NPTX2	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GRHL3	NTRK1	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GRHL3	PBOV1	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
GRHL3	PCDHB10	0.88819	50.62	0.625	rgb(224, 98, 99)	1.9926	2,2
GRHL3	PCDHB14	0.63201	46.42	0.417	rgb(222,137,138)	1.9086	2,2
GRHL3	PCDHB16	0.91322	50.68	0.683	rgb(225, 87, 88)	1.9938	2,2
GRHL3	PTHLH	0.34209	34.3	0.3	rgb(220,160,160)	1.6661	2,2
GRHL3	SDPR	0.35787	35.31	0.311	rgb(220,158,158)	1.6863	2,2
GRHL3	SRRM4	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
GRHL3	TCL6	-0.66745	47.61	-0.61	rgb( 84,136,240)	1.9324	2,2
GRHL3	TMEM35	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
GRHL3	TMPRSS11E	0.38207	36.42	0.424	rgb(222,136,137)	1.7085	2,2
GRHL3	TUBB4A	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	UNQ2560	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	ZCCHC12	0.84192	50.49	0.494	rgb(222,123,124)	1.99	2,2
