TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HES4	ACBD7	0.52363	42.5	0.498	rgb(222,122,123)	1.8302	None
HES4	ADORA2A	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
HES4	AEBP1	0.04399	16	0	rgb(217,217,217)	1.3001	None
HES4	AF086126	-0.90913	50.63	-0.63	rgb( 81,134,241)	1.9928	2,2
HES4	AF086346	0.59265	46.19	0.186	rgb(219,182,182)	1.904	2,2
HES4	AF116693	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HES4	AGT	0.92396	50.66	0.664	rgb(224, 90, 92)	1.9934	None
HES4	AHNAK	-0.66361	47.63	-0.63	rgb( 81,134,241)	1.9328	None
HES4	AK025975	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
HES4	AK026392	0.55919	45.11	0.11	rgb(218,196,196)	1.8824	2,2
HES4	AK027252	0.63247	47.29	0.285	rgb(220,163,163)	1.926	2,2
HES4	AK027840	0.55952	45.12	0.124	rgb(218,193,194)	1.8826	2,2
HES4	AK055257	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HES4	AK091624	0.66894	47.74	0.737	rgb(225, 76, 78)	1.935	2,2
HES4	AK094156	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HES4	AK094909	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
HES4	AK095546	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HES4	AK097012	0.59215	46.18	0.178	rgb(219,183,183)	1.9038	2,2
HES4	AK126286	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
HES4	AK128361	0.55919	45.11	0.114	rgb(218,195,195)	1.8824	2,2
HES4	AK128400	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
HES4	AK129879	0.36568	37.12	0.118	rgb(218,195,195)	1.7225	2,2
HES4	AK293147	0.38542	38.1	0.099	rgb(218,198,198)	1.7421	2,2
HES4	AL110171	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HES4	AL832937	0.59327	46.2	0.201	rgb(219,179,179)	1.9042	2,2
HES4	ANKS1B	0.87278	50.55	0.553	rgb(223,111,112)	1.9912	None
HES4	APBB1	0.18104	25	0	rgb(217,217,217)	1.4801	None
HES4	APOA1	0.84998	50.5	0.5	rgb(223,121,122)	1.9902	None
HES4	APOA4	0.52325	43.54	0.536	rgb(223,115,116)	1.851	2,2
HES4	APOC3	0.69773	48.48	0.481	rgb(222,125,126)	1.9498	None
HES4	AX747264	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
HES4	AX747535	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
HES4	AX747658	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HES4	AX747853	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HES4	BC007880	0.6292	47.25	0.248	rgb(220,170,170)	1.9252	2,2
