TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HEY1	AK025975	0.70781	48.48	0.48	rgb(222,125,126)	1.9498	2,2
HEYL	AK025975	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HEY1	AK096592	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HEYL	AK096592	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HEY1	AK126318	-0.93222	50.68	-0.68	rgb( 69,127,243)	1.9938	2,2
HEYL	AK126318	-0.87922	50.6	-0.6	rgb( 87,138,240)	1.9922	2,2
HEY1	AK128400	-0.83994	50.47	-0.47	rgb(115,155,235)	1.9896	2,2
HEYL	AK128400	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HEY1	ANP32A-IT1	-0.88141	50.57	-0.57	rgb( 93,142,239)	1.9916	2,2
HEYL	ANP32A-IT1	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
HEY1	AX746823	-0.75394	49.52	-0.52	rgb(103,148,237)	1.9706	2,2
HEYL	AX746823	-0.64387	46.65	-0.65	rgb( 76,131,242)	1.9132	2,2
HEY1	BC040563	-0.80768	50.36	-0.36	rgb(138,169,231)	1.9874	2,2
HEYL	BC040563	-0.51908	42.41	-0.41	rgb(129,164,232)	1.8284	2,2
HEY1	BRSK2	0.36245	36.62	0.62	rgb(224, 99,100)	1.7125	None
HEYL	BRSK2	-0.40801	38.03	-0.027	rgb(211,213,218)	1.7407	None
HEY1	BST2	0.86254	50.53	0.526	rgb(223,117,118)	1.9908	2,2
HEYL	BST2	0.54655	43.38	0.378	rgb(221,145,146)	1.8478	2,2
HEY1	C11orf92	0.64102	46.58	0.579	rgb(223,106,108)	1.9118	2,2
HEYL	C11orf92	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
HEY1	CCDC78	-0.50987	43.27	-0.27	rgb(157,181,227)	1.8456	None
HEYL	CCDC78	0.33825	34.04	0.043	rgb(217,209,209)	1.6609	None
HEY1	CD37	0.95374	50.78	0.777	rgb(226, 69, 70)	1.9958	None
HEYL	CD37	0.86456	50.56	0.558	rgb(223,110,112)	1.9914	None
HEY1	CECR6	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
HEYL	CECR6	0.8691	50.57	0.567	rgb(223,109,110)	1.9916	2,2
HEY1	CELSR3	0.14469	23	0	rgb(217,217,217)	1.4401	None
HEYL	CELSR3	0.4589	40.24	0.243	rgb(220,171,171)	1.785	None
HEY1	DNAH11	-0.96799	50.82	-0.82	rgb( 39,109,248)	1.9966	None
HEYL	DNAH11	0.62582	46.33	0.33	rgb(221,154,155)	1.9068	None
HEY1	DPCR1	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HEYL	DPCR1	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
HEY1	FJX1	0.63693	46.48	0.483	rgb(222,125,126)	1.9098	None
HEYL	FJX1	0.36675	35.6	0.603	rgb(224,102,103)	1.6921	None
HEY1	FW340055	-0.38249	36.43	-0.43	rgb(123,160,233)	1.7087	2,2
HEYL	FW340055	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HEY1	GYLTL1B	0.84519	50.5	0.496	rgb(222,122,123)	1.9902	2,2
HEYL	GYLTL1B	0.88141	50.57	0.575	rgb(223,107,108)	1.9916	2,2
HEY1	IFI27	0.83317	50.45	0.447	rgb(222,132,133)	1.9892	2,2
HEYL	IFI27	0.60062	45.4	0.396	rgb(221,141,142)	1.8882	2,2
HEY1	IFNE	-0.44304	40.4	-0.4	rgb(130,164,232)	1.7882	2,2
HEYL	IFNE	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HEY1	IGF2	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HEYL	IGF2	0.34932	35.08	0.082	rgb(218,201,201)	1.6817	2,2
HEY1	IGHG1	0.70322	48.43	0.431	rgb(222,135,136)	1.9488	2,2
HEYL	IGHG1	0.75014	49.49	0.494	rgb(222,123,124)	1.97	2,2
HEY1	IL11	0.90202	50.61	0.614	rgb(224,100,101)	1.9924	2,2
HEYL	IL11	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HEY1	LOC145837	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HEYL	LOC145837	0.75394	49.52	0.523	rgb(223,117,118)	1.9706	2,2
HEY1	LOC151009	-0.86679	50.54	-0.54	rgb(100,146,238)	1.991	2,2
HEYL	LOC151009	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEY1	LOC389332	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HEYL	LOC389332	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
HEY1	LPPR3	0.56002	45.14	0.14	rgb(219,190,191)	1.883	2,2
HEYL	LPPR3	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
HEY1	LRP4-AS1	-0.40822	38.05	-0.44	rgb(121,158,234)	1.7411	None
HEYL	LRP4-AS1	-0.96026	50.75	-0.75	rgb( 54,118,245)	1.9952	None
HEY1	MFAP2	0.59157	46.15	0.147	rgb(219,189,189)	1.9032	2,2
HEYL	MFAP2	0.66745	47.47	0.473	rgb(222,127,128)	1.9296	2,2
HEY1	MUC5AC	-0.90434	50.62	-0.62	rgb( 83,135,241)	1.9926	2,2
HEYL	MUC5AC	0.40983	38.11	0.112	rgb(218,196,196)	1.7423	2,2
HEY1	NEUROD2	0.91322	50.68	0.685	rgb(225, 86, 88)	1.9938	None
HEYL	NEUROD2	0.90913	50.63	0.628	rgb(224, 97, 98)	1.9928	None
HEY1	NEUROG3	0.49162	41.41	0.406	rgb(221,140,140)	1.8084	2,2
HEYL	NEUROG3	0.84692	50.49	0.49	rgb(222,123,124)	1.99	2,2
HEY1	NPPB	0.81033	50.37	0.37	rgb(221,146,147)	1.9876	2,2
HEYL	NPPB	0.57328	44.4	0.397	rgb(221,141,142)	1.8682	2,2
HEY1	POM121L10P	0.82292	50.42	0.425	rgb(222,136,137)	1.9886	None
HEYL	POM121L10P	0.93222	50.68	0.68	rgb(224, 87, 88)	1.9938	None
HEY1	SCUBE1	0.32805	35	0	rgb(217,217,217)	1.6801	None
HEYL	SCUBE1	0.69277	48.32	0.32	rgb(221,156,157)	1.9466	None
HEY1	SPEG	0.31152	34	0	rgb(217,217,217)	1.6601	None
HEYL	SPEG	-0.5361	43.11	-0.11	rgb(194,203,221)	1.8424	None
