TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
LTF	AB007962	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
LTF	ACE	-0.48216	41.22	-0.22	rgb(169,188,225)	1.8046	2,2
LTF	AK027252	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
LTF	AK057681	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
LTF	AK092380	-0.52569	43.62	-0.62	rgb( 83,135,241)	1.8526	2,2
LTF	AK094909	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
LTF	AK095546	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
LTF	AK123654	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
LTF	AK126180	0.63416	46.45	0.453	rgb(222,130,131)	1.9092	2,2
LTF	AK126286	-0.39612	38.32	-0.32	rgb(148,175,229)	1.7465	2,2
LTF	AL110171	0.76055	49.57	0.572	rgb(223,108,109)	1.9716	2,2
LTF	APOA4	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
LTF	AX746734	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
LTF	AX746834	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
LTF	AX747535	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
LTF	AX747850	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
LTF	BC007880	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	BC010924	-0.56431	45.24	-0.24	rgb(165,186,226)	1.885	2,2
LTF	BC040358	0.54973	43.44	0.438	rgb(222,133,134)	1.849	2,2
LTF	BC040563	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	BC041347	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
LTF	BC041484	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
LTF	BC053580	-0.35481	36.29	-0.29	rgb(154,179,228)	1.7059	2,2
LTF	BC073817	-0.48757	42.33	-0.33	rgb(146,174,229)	1.8268	2,2
LTF	BC131755	0.67774	47.62	0.616	rgb(224, 99,101)	1.9326	2,2
LTF	BC150585	-0.64139	47.38	-0.38	rgb(134,167,232)	1.9278	2,2
LTF	BGN	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
LTF	BST2	-0.37336	36.21	-0.21	rgb(171,189,225)	1.7043	2,2
LTF	C10orf82	-0.67551	47.58	-0.58	rgb( 91,140,239)	1.9318	2,2
LTF	C11orf92	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
LTF	C12orf55	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LTF	C12orf68	-0.37852	36.34	-0.34	rgb(144,173,230)	1.7069	2,2
LTF	C19orf70	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
LTF	C3orf80	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
LTF	C6orf226	-0.53061	42.72	-0.72	rgb( 60,121,245)	1.8346	2,2
LTF	C7orf41	-0.36621	35.57	-0.57	rgb( 94,142,239)	1.6915	2,2
LTF	CACNB2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
