TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NFAT5	AB073649	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
NFAT5	ABCC4	0.38294	38.01	0.006	rgb(217,216,216)	1.7403	None
NFAT5	ABCC9	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
NFAT5	ADCY1	-0.62371	46.29	-0.29	rgb(153,178,228)	1.906	None
NFAT5	AF198444	0.70132	48.52	0.523	rgb(223,117,118)	1.9506	2,2
NFAT5	AF420437	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AGAP11	0.64523	47.42	0.415	rgb(222,138,139)	1.9286	None
NFAT5	AHNAK	0.42123	38.39	0.386	rgb(221,143,144)	1.7479	None
NFAT5	AK025511	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	AK055017	0.9278	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
NFAT5	AK055694	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
NFAT5	AK057596	0.34494	36.04	0.043	rgb(217,209,209)	1.7009	2,2
NFAT5	AK090844	0.65774	47.55	0.547	rgb(223,113,114)	1.9312	2,2
NFAT5	AK091729	0.35787	35.31	0.306	rgb(220,158,159)	1.6863	2,2
NFAT5	AK092380	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AK094156	0.4653	41.39	0.392	rgb(221,142,143)	1.808	2,2
NFAT5	AK094909	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
NFAT5	AK096291	0.46634	41.41	0.409	rgb(222,139,140)	1.8084	2,2
NFAT5	AK096592	0.6748	48.18	0.178	rgb(219,183,183)	1.9438	2,2
NFAT5	AK097119	0.6893	48.39	0.389	rgb(221,143,144)	1.948	2,2
NFAT5	AK123332	0.49442	42.47	0.475	rgb(222,126,127)	1.8296	2,2
NFAT5	AK123654	0.46559	40.39	0.394	rgb(221,142,142)	1.788	2,2
NFAT5	AK123889	-0.58992	46.1	-0.1	rgb(195,204,221)	1.9022	2,2
NFAT5	AK124970	0.71446	48.72	0.716	rgb(225, 80, 82)	1.9546	2,2
NFAT5	AK125301	0.98249	50.83	0.828	rgb(226, 59, 60)	1.9968	2,2
NFAT5	AK125858	0.60318	46.35	0.352	rgb(221,150,150)	1.9072	2,2
NFAT5	AK126286	0.49025	41.38	0.384	rgb(221,144,144)	1.8078	2,2
NFAT5	AK126532	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	AK128400	0.70409	48.55	0.555	rgb(223,111,112)	1.9512	2,2
NFAT5	AK128619	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NFAT5	AL831889	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
NFAT5	AL832212	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	AL832439	0.77451	49.68	0.676	rgb(224, 88, 89)	1.9738	2,2
NFAT5	ANKRD20A9P	0.80281	50.33	0.33	rgb(221,154,155)	1.9868	2,2
NFAT5	ANKRD36	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
NFAT5	ANKRD36B	0.83635	50.46	0.461	rgb(222,129,130)	1.9894	2,2
NFAT5	ANP32A-IT1	0.90202	50.61	0.607	rgb(224,101,102)	1.9924	2,2
NFAT5	APOA4	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
NFAT5	ARHGAP24	0.30343	32	0	rgb(217,217,217)	1.6201	None
NFAT5	ARL4D	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
NFAT5	ARNT2	-0.80392	50.31	-0.31	rgb(149,176,229)	1.9864	None
NFAT5	ASRGL1	0.46753	41.43	0.43	rgb(222,135,136)	1.8088	None
NFAT5	ATCAY	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
NFAT5	ATP8B2	0.21045	26	0	rgb(217,217,217)	1.5001	None
NFAT5	AX746775	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	AX746823	0.786	50.13	0.133	rgb(218,192,192)	1.9828	2,2
NFAT5	AX746869	0.72986	49.32	0.324	rgb(221,155,156)	1.9666	2,2
NFAT5	AX747175	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AX747639	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
NFAT5	AX747756	0.78806	50.19	0.192	rgb(219,180,181)	1.984	2,2
NFAT5	AX748283	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
NFAT5	AX748322	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
NFAT5	AX748371	0.96943	50.78	0.778	rgb(226, 68, 70)	1.9958	2,2
NFAT5	AX748379	0.62404	47.14	0.142	rgb(219,190,190)	1.923	2,2
NFAT5	BC022892	0.36328	37.02	0.021	rgb(217,213,213)	1.7205	2,2
NFAT5	BC029255	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	BC042825	0.72094	48.64	0.638	rgb(224, 95, 96)	1.953	2,2
NFAT5	BC053580	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
NFAT5	BC073807	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
NFAT5	BHMT	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NFAT5	BMS1P1	0.97476	50.8	0.804	rgb(226, 63, 65)	1.9962	2,2
NFAT5	BMS1P6	0.80636	50.35	0.35	rgb(221,150,151)	1.9872	2,2
NFAT5	BRSK1	0.45262	40.08	0.077	rgb(218,202,202)	1.7818	None
NFAT5	BST2	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	BX647938	0.586	44.73	0.733	rgb(225, 77, 79)	1.8748	2,2
NFAT5	BX648496	0.66039	47.37	0.375	rgb(221,145,146)	1.9276	2,2
NFAT5	C10orf82	-0.36258	35.44	-0.44	rgb(122,159,234)	1.6889	2,2
NFAT5	C12orf55	0.51066	43.28	0.276	rgb(220,164,165)	1.8458	2,2
NFAT5	C14orf105	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
NFAT5	C17orf65	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	C1RL-AS1	0.85308	50.51	0.51	rgb(223,119,121)	1.9904	None
NFAT5	C1orf110	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	C4orf21	0.46853	40.45	0.448	rgb(222,131,132)	1.7892	2,2
NFAT5	C8orf15	-0.58992	46.1	-0.099	rgb(196,204,221)	1.9022	2,2
NFAT5	C9orf16	-0.97476	50.8	-0.8	rgb( 42,111,248)	1.9962	None
NFAT5	CACNG7	-0.66518	47.44	-0.44	rgb(122,159,234)	1.929	2,2
NFAT5	CADM2	-0.39285	37.18	-0.18	rgb(177,193,224)	1.7237	None
NFAT5	CCDC150	0.41351	38.2	0.236	rgb(220,172,172)	1.7441	None
NFAT5	CCDC154	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	CCDC162P	0.67088	47.51	0.594	rgb(224,104,105)	1.9304	None
NFAT5	CCDC17	0.58406	44.61	0.61	rgb(224,100,102)	1.8724	2,2
NFAT5	CCDC39	0.80636	50.35	0.354	rgb(221,149,150)	1.9872	None
NFAT5	CCDC78	-0.47034	40.51	-0.51	rgb(105,149,237)	1.7904	None
NFAT5	CCDC86	-0.8905	50.59	-0.59	rgb( 89,139,239)	1.992	None
NFAT5	CD37	0.85828	50.52	0.516	rgb(223,119,120)	1.9906	None
NFAT5	CDH22	-0.5537	44.55	-0.55	rgb( 99,145,238)	1.8712	None
NFAT5	CDRT4	0.21727	28	0	rgb(217,217,217)	1.5401	None
NFAT5	CELA3A	-0.63057	47.27	-0.27	rgb(158,181,227)	1.9256	None
NFAT5	CELA3B	0.34044	34.2	0.205	rgb(219,178,178)	1.6641	None
NFAT5	CENPE	0.9482	50.72	0.721	rgb(225, 79, 81)	1.9946	None
NFAT5	CHGB	0.56815	44.28	0.279	rgb(220,164,164)	1.8658	None
NFAT5	CHL1	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	CHRNA1	-0.76712	49.62	-0.62	rgb( 82,135,241)	1.9726	None
NFAT5	CLEC4GP1	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	CLSPN	0.27096	30	0	rgb(217,217,217)	1.5801	None
NFAT5	COL1A2	-0.94217	50.75	-0.75	rgb( 54,118,245)	1.9952	None
NFAT5	CR627206	0.90913	50.63	0.631	rgb(224, 97, 98)	1.9928	2,2
NFAT5	CSH2	-0.56964	44.32	-0.32	rgb(147,174,229)	1.8666	2,2
NFAT5	CTSL2	0.55514	43.56	0.559	rgb(223,110,111)	1.8514	2,2
NFAT5	CYP27C1	0.57431	44.43	0.427	rgb(222,135,136)	1.8688	None
NFAT5	DCHS1	-0.3727	36.2	-0.2	rgb(174,191,224)	1.7041	None
NFAT5	DDC	-0.35295	35.18	-0.18	rgb(178,193,224)	1.6837	None
NFAT5	DKFZP434K028	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	DKFZp564E1082	0.46208	40.3	0.298	rgb(220,160,161)	1.7862	2,2
NFAT5	DLL3	-0.66981	47.5	-0.5	rgb(108,151,236)	1.9302	2,2
NFAT5	DNAJB13	0.99434	50.9	0.895	rgb(227, 46, 48)	1.9982	None
NFAT5	DNM3	0.45642	40.18	0.176	rgb(219,183,184)	1.7838	None
NFAT5	DQ570835	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	DQ586822	0.62491	47.18	0.179	rgb(219,183,183)	1.9238	2,2
NFAT5	DQ600483	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
NFAT5	DST	0.052045	17	0	rgb(217,217,217)	1.3201	None
NFAT5	EBF3	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
NFAT5	EPHA4	-0.81119	50.36	-0.36	rgb(138,169,231)	1.9874	None
NFAT5	FAM153A	-0.68538	48.16	-0.16	rgb(182,196,223)	1.9434	2,2
NFAT5	FAM155B	-0.58616	44.75	-0.75	rgb( 55,118,245)	1.8752	2,2
NFAT5	FAM196A	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
NFAT5	FAM57B	-0.51285	42.31	-0.31	rgb(149,175,229)	1.8264	2,2
NFAT5	FAT3	-0.89261	50.63	-0.63	rgb( 81,134,241)	1.9928	None
NFAT5	FBXL16	-0.45642	40.18	-0.18	rgb(178,193,224)	1.7838	None
NFAT5	FKSG51	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
NFAT5	FOXD4L5	0.51359	43.33	0.331	rgb(221,154,154)	1.8468	2,2
NFAT5	GABRE	0.83317	50.45	0.447	rgb(222,132,133)	1.9892	None
NFAT5	GABRP	0.4653	41.39	0.394	rgb(221,142,142)	1.808	None
NFAT5	GADD45G	0.49372	41.45	0.454	rgb(222,130,131)	1.8092	None
NFAT5	GDF1	-0.90669	50.66	-0.66	rgb( 74,130,242)	1.9934	2,2
NFAT5	GJD2	-0.55737	43.68	-0.68	rgb( 69,127,243)	1.8538	2,2
NFAT5	GLUD1P3	0.77311	49.64	0.642	rgb(224, 94, 96)	1.973	None
NFAT5	GOLGA6L4	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
NFAT5	GOLGA6L5	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	GOLGA6L9	0.45948	41.25	0.252	rgb(220,169,169)	1.8052	2,2
NFAT5	GOLGA7B	0.72986	49.13	0.13	rgb(218,192,192)	1.9628	None
NFAT5	GPM6B	0.95147	50.73	0.731	rgb(225, 77, 79)	1.9948	2,2
NFAT5	GRAMD2	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	GTF2IRD1P1	-0.70611	48.46	-0.69	rgb( 67,126,243)	1.9494	None
NFAT5	HERC5	-0.64957	47.14	-0.14	rgb(186,198,222)	1.923	None
NFAT5	HMP19	-0.86456	50.56	-0.56	rgb( 95,143,238)	1.9914	2,2
NFAT5	HNRNPU-AS1	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	HSPA12A	0.076869	18	0	rgb(217,217,217)	1.3401	None
NFAT5	IFI44	-0.543	43.3	-0.3	rgb(153,178,228)	1.8462	2,2
NFAT5	IFI44L	-0.74577	49.39	-0.39	rgb(132,165,232)	1.968	2,2
NFAT5	IGF2	-0.65031	47.16	-0.16	rgb(182,196,223)	1.9234	2,2
NFAT5	IL11	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
NFAT5	INA	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
NFAT5	IQCA1	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
NFAT5	JAKMIP2	0.14469	23	0	rgb(217,217,217)	1.4401	None
NFAT5	JX088243	0.94403	50.71	0.707	rgb(225, 82, 83)	1.9944	2,2
NFAT5	KCNMA1	0.016605	14	0	rgb(217,217,217)	1.2601	None
NFAT5	KIF5A	-0.76444	49.56	-0.56	rgb( 96,143,238)	1.9714	None
NFAT5	KLB	0.93656	50.69	0.686	rgb(225, 86, 87)	1.994	None
NFAT5	LAPTM5	0.43974	40.25	0.354	rgb(221,149,150)	1.7852	None
NFAT5	LHFPL4	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	LINC00202-1	0.44073	39.36	0.359	rgb(221,148,149)	1.7674	2,2
NFAT5	LINC00340	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
NFAT5	LOC100128288	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
NFAT5	LOC100131257	-0.55836	45.05	-0.051	rgb(206,210,219)	1.8812	2,2
NFAT5	LOC100216546	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
NFAT5	LOC100652999	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	LOC151009	0.44073	39.36	0.364	rgb(221,147,148)	1.7674	2,2
NFAT5	LOC284581	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
NFAT5	LOC286437	0.69876	48.49	0.493	rgb(222,123,124)	1.95	2,2
NFAT5	LOC389332	-0.49785	41.58	-0.58	rgb( 91,141,239)	1.8118	2,2
NFAT5	LOC400927	-0.40413	39.01	-0.0053	rgb(216,216,217)	1.7604	2,2
NFAT5	LOC643406	0.91722	50.65	0.654	rgb(224, 92, 93)	1.9932	2,2
NFAT5	LOC646214	0.97476	50.8	0.805	rgb(226, 63, 65)	1.9962	2,2
NFAT5	LOC729603	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
NFAT5	LTF	0.63309	46.43	0.427	rgb(222,135,136)	1.9088	None
NFAT5	LYPD8	0.42606	38.54	0.537	rgb(223,114,115)	1.751	2,2
NFAT5	MAGEA5	0.67728	47.61	0.609	rgb(224,101,102)	1.9324	2,2
NFAT5	MALAT1	0.36778	37.16	0.165	rgb(219,185,186)	1.7233	None
NFAT5	MAP2	0.31941	33	0	rgb(217,217,217)	1.6401	None
NFAT5	MAPK10	0.084387	19	0	rgb(217,217,217)	1.3601	None
NFAT5	MAPK8IP2	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
NFAT5	MCF2L	-0.42214	38.41	-0.41	rgb(127,162,233)	1.7483	None
NFAT5	MED12L	0.36212	36.58	0.58	rgb(223,106,107)	1.7117	None
NFAT5	MSH5	-0.64019	46.56	-0.56	rgb( 96,143,238)	1.9114	None
NFAT5	MSMB	-0.68447	48.12	-0.12	rgb(190,201,222)	1.9426	None
NFAT5	NAT8L	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	NEAT1	0.75919	49.56	0.56	rgb(223,110,111)	1.9714	None
NFAT5	NEK10	0.77761	49.75	0.754	rgb(225, 73, 74)	1.9752	None
NFAT5	NOTUM	0.68794	48.23	0.229	rgb(220,173,174)	1.9448	None
