TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NHLH1	ABCA9	0.46691	41.42	0.415	rgb(222,138,139)	1.8086	None
NHLH1	ACBD7	0.81219	50.38	0.381	rgb(221,144,145)	1.9878	None
NHLH1	ACOT7	0.75394	49.52	0.516	rgb(223,118,119)	1.9706	None
NHLH1	ACTN3	0.92396	50.66	0.664	rgb(224, 90, 92)	1.9934	None
NHLH1	ADAMTSL2	0.1881	26	0	rgb(217,217,217)	1.5001	None
NHLH1	AEBP1	0.94031	50.7	0.696	rgb(225, 84, 85)	1.9942	None
NHLH1	AF198444	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NHLH1	AK024248	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NHLH1	AK027332	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NHLH1	AK055257	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
NHLH1	AK091624	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
NHLH1	AK124197	-0.63375	47.3	-0.3	rgb(152,178,228)	1.9262	2,2
NHLH1	AK125437	0.72685	49.29	0.291	rgb(220,161,162)	1.966	2,2
NHLH1	AK126532	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
NHLH1	AK128619	-0.47753	41.09	-0.091	rgb(197,205,220)	1.802	2,2
NHLH1	AK302511	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
NHLH1	AMBP	-0.43061	39.08	-0.083	rgb(199,206,220)	1.7618	None
NHLH1	ANK2	0.27869	32	0	rgb(217,217,217)	1.6201	None
NHLH1	ANKFN1	-0.37513	37.33	-0.33	rgb(146,174,229)	1.7267	None
NHLH1	ANKRD45	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	ANKS1B	0.21727	28	0	rgb(217,217,217)	1.5401	None
NHLH1	ANP32A-IT1	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
NHLH1	ANXA6	0.13825	22	0	rgb(217,217,217)	1.4201	None
NHLH1	ARC	-0.64019	46.56	-0.56	rgb( 95,143,238)	1.9114	None
NHLH1	ARHGAP9	0.94403	50.71	0.712	rgb(225, 81, 82)	1.9944	None
NHLH1	ARL9	0.69711	48.36	0.356	rgb(221,149,150)	1.9474	None
NHLH1	ASIC1	-0.46935	41.49	-0.49	rgb(112,153,235)	1.81	None
NHLH1	ATOH8	-0.34221	34.31	-0.31	rgb(150,176,229)	1.6663	None
NHLH1	ATP8B2	0.51161	42.29	0.293	rgb(220,161,162)	1.826	None
NHLH1	AX746640	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
NHLH1	AX746775	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
NHLH1	AX746995	0.63622	47.33	0.335	rgb(221,153,154)	1.9268	2,2
NHLH1	AX747264	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
NHLH1	AX747516	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
NHLH1	AX747853	0.58633	45.62	0.619	rgb(224, 99,100)	1.8926	2,2
NHLH1	BAI2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
NHLH1	BC041484	0.36088	35.39	0.392	rgb(221,142,143)	1.6879	2,2
NHLH1	BGN	0.72685	49.29	0.286	rgb(220,162,163)	1.966	None
NHLH1	BLMH	-0.90913	50.63	-0.63	rgb( 79,133,241)	1.9928	None
NHLH1	BTBD11	0.26378	31	0	rgb(217,217,217)	1.6001	None
NHLH1	BX647938	0.49054	42.38	0.384	rgb(221,144,145)	1.8278	2,2
NHLH1	C1RL-AS1	-0.66646	47.67	-0.67	rgb( 71,128,243)	1.9336	None
NHLH1	C1orf127	0.28724	31	0	rgb(217,217,217)	1.6001	None
NHLH1	C21orf58	-0.56551	44.23	-0.23	rgb(166,186,226)	1.8648	None
NHLH1	C22orf42	0.73065	49.33	0.326	rgb(221,155,155)	1.9668	None
NHLH1	C2CD4A	0.82887	50.44	0.436	rgb(222,134,135)	1.989	None
NHLH1	C2CD4B	0.83143	50.46	0.458	rgb(222,129,130)	1.9894	None
NHLH1	C3orf80	0.37092	36.15	0.153	rgb(219,188,188)	1.7031	None
NHLH1	C4orf21	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NHLH1	C6orf201	0.54511	44.38	0.384	rgb(221,144,144)	1.8678	None
NHLH1	C8orf15	-0.35262	35.17	-0.17	rgb(180,195,223)	1.6835	2,2
NHLH1	C9orf102	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NHLH1	C9orf16	0.68038	48.28	0.736	rgb(225, 76, 78)	1.9458	None
NHLH1	C9orf66	0.73556	49.38	0.382	rgb(221,144,145)	1.9678	2,2
NHLH1	CABP4	0.60545	45.48	0.476	rgb(222,126,127)	1.8898	None
NHLH1	CACNA1H	0.44391	39.44	0.439	rgb(222,133,134)	1.769	None
NHLH1	CACNA2D2	0.15832	24	0	rgb(217,217,217)	1.4601	None
NHLH1	CALY	-0.82887	50.44	-0.44	rgb(120,158,234)	1.989	None
NHLH1	CAMK2B	0.95799	50.79	0.792	rgb(226, 66, 67)	1.996	None
NHLH1	CAMK2N2	-0.69248	48.31	-0.31	rgb(150,177,229)	1.9464	None
NHLH1	CBFA2T3	0.21045	26	0	rgb(217,217,217)	1.5001	None
NHLH1	CCDC146	0.27869	32	0	rgb(217,217,217)	1.6201	None
NHLH1	CCDC154	0.41508	39.32	0.319	rgb(221,156,157)	1.7666	2,2
NHLH1	CCDC28B	0.31152	34	0	rgb(217,217,217)	1.6601	None
NHLH1	CCDC39	-0.38505	38.09	-0.089	rgb(198,205,220)	1.7419	None
NHLH1	CCDC40	0.10777	20	0	rgb(217,217,217)	1.3801	None
NHLH1	CCDC78	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	CCDC86	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	CCNA1	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
NHLH1	CCR6	-0.83143	50.46	-0.46	rgb(117,156,234)	1.9894	None
NHLH1	CD52	0.35328	36.26	0.258	rgb(220,168,168)	1.7053	2,2
NHLH1	CD70	0.58831	45.09	0.089	rgb(218,200,200)	1.882	None
NHLH1	CDK5R1	-0.57328	44.4	-0.4	rgb(131,165,232)	1.8682	None
NHLH1	CDKN1C	0.9278	50.67	0.667	rgb(224, 90, 91)	1.9936	None
NHLH1	CDRT4	0.49112	42.39	0.386	rgb(221,143,144)	1.828	None
NHLH1	CELA3B	0.87278	50.55	0.551	rgb(223,112,113)	1.9912	None
NHLH1	CELF4	0.10029	19	0	rgb(217,217,217)	1.3601	None
NHLH1	CEND1	0.26378	31	0	rgb(217,217,217)	1.6001	None
NHLH1	CENPE	-0.46613	40.41	-0.41	rgb(129,164,232)	1.7884	None
NHLH1	CLCA1	0.6252	46.32	0.315	rgb(220,157,157)	1.9066	None
NHLH1	CLCNKA	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	CLGN	0.80153	50.29	0.287	rgb(220,162,163)	1.986	None
NHLH1	CLSPN	0.28724	31	0	rgb(217,217,217)	1.6001	None
NHLH1	CNGA4	-0.81908	50.4	-0.4	rgb(130,164,232)	1.9882	None
NHLH1	CNTD2	0.11582	20	0	rgb(217,217,217)	1.3801	None
NHLH1	COL12A1	0.035399	15	0	rgb(217,217,217)	1.2801	None
NHLH1	COL16A1	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	None
NHLH1	COL22A1	-0.74201	49.43	-0.43	rgb(125,161,233)	1.9688	None
NHLH1	CORO2B	0.37984	36.38	0.382	rgb(221,144,145)	1.7077	None
NHLH1	CR627206	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NHLH1	CRH	-0.88385	50.61	-0.61	rgb( 85,137,240)	1.9924	None
NHLH1	CRIP2	0.52425	42.52	0.523	rgb(223,117,118)	1.8306	None
NHLH1	CRLF1	0.22515	27	0	rgb(217,217,217)	1.5201	None
NHLH1	CSF1R	0.51132	43.29	0.291	rgb(220,161,162)	1.846	None
NHLH1	CTPS1	-0.47456	40.65	-0.65	rgb( 76,131,242)	1.7932	None
NHLH1	CTSL2	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
NHLH1	CYP27A1	0.29533	33	0	rgb(217,217,217)	1.6401	None
NHLH1	DDC	0.27096	30	0	rgb(217,217,217)	1.5801	None
NHLH1	DENND2A	0.26378	31	0	rgb(217,217,217)	1.6001	None
NHLH1	DKFZp564E1082	-0.3938	37.2	-0.2	rgb(174,191,225)	1.7241	2,2
NHLH1	DKFZp586B1922	0.49054	42.38	0.384	rgb(221,144,144)	1.8278	2,2
NHLH1	DKFZp686M11215	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
