TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
POU5F1	ABCC4	0.32805	35	0	rgb(217,217,217)	1.6801	None
POU5F1	ABLIM2	0.44713	40.51	0.508	rgb(223,120,121)	1.7904	None
POU5F1	ACBD7	0.56382	44.19	0.194	rgb(219,180,180)	1.864	None
POU5F1	ACOT7	0.23296	29	0	rgb(217,217,217)	1.5601	None
POU5F1	ACTG1P4	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU5F1	ADAM12	-0.37435	37.32	-0.32	rgb(148,175,229)	1.7265	None
POU5F1	ADAM20P1	0.60636	46.39	0.395	rgb(221,142,142)	1.908	2,2
POU5F1	ADCY1	0.56584	45.26	0.265	rgb(220,166,167)	1.8854	None
POU5F1	ADCY2	0.83994	50.47	0.467	rgb(222,128,129)	1.9896	None
POU5F1	ADH6	-0.72986	49.32	-0.32	rgb(147,174,229)	1.9666	None
POU5F1	AF258560	0.58868	45.78	0.776	rgb(226, 69, 70)	1.8958	2,2
POU5F1	AGAP9	0.70669	48.58	0.58	rgb(223,106,107)	1.9518	2,2
POU5F1	AIF1	0.66126	47.59	0.591	rgb(224,104,105)	1.932	None
POU5F1	AK023417	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
POU5F1	AK024092	0.52569	43.62	0.619	rgb(224, 99,100)	1.8526	2,2
POU5F1	AK024248	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
POU5F1	AK025511	0.41722	39.37	0.367	rgb(221,147,148)	1.7676	2,2
POU5F1	AK055694	0.71169	48.65	0.648	rgb(224, 93, 94)	1.9532	2,2
POU5F1	AK056486	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
POU5F1	AK091275	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU5F1	AK091996	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
POU5F1	AK093555	0.8691	50.57	0.57	rgb(223,108,109)	1.9916	2,2
POU5F1	AK094909	0.60863	46.43	0.428	rgb(222,135,136)	1.9088	2,2
POU5F1	AK094916	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
POU5F1	AK095242	0.93656	50.69	0.693	rgb(225, 85, 86)	1.994	2,2
POU5F1	AK096291	0.52061	43.45	0.452	rgb(222,131,132)	1.8492	2,2
POU5F1	AK096592	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
POU5F1	AK122764	0.51066	43.28	0.282	rgb(220,163,164)	1.8458	2,2
POU5F1	AK123654	0.4202	39.43	0.432	rgb(222,134,135)	1.7688	2,2
POU5F1	AK125301	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
POU5F1	AK125437	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
POU5F1	AK126180	0.60318	46.35	0.352	rgb(221,150,150)	1.9072	2,2
POU5F1	AK126532	0.36055	36.49	0.488	rgb(222,124,125)	1.7099	2,2
POU5F1	AK127443	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
POU5F1	AK128559	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
POU5F1	AK128833	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	2,2
POU5F1	AK310876	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
POU5F1	AK311213	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
POU5F1	AK5	-0.3577	36.37	-0.37	rgb(136,168,231)	1.7075	None
POU5F1	AKR1B1	-0.7221	49.22	-0.22	rgb(168,187,226)	1.9646	None
POU5F1	AL137655	0.4639	41.35	0.346	rgb(221,151,152)	1.8072	2,2
POU5F1	AL832212	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
POU5F1	ANK2	0.12321	21	0	rgb(217,217,217)	1.4001	None
POU5F1	APLN	-0.74283	49.34	-0.34	rgb(144,173,230)	1.967	None
POU5F1	APOB	0.65246	47.22	0.221	rgb(219,175,175)	1.9246	2,2
POU5F1	ARHGAP24	0.1881	26	0	rgb(217,217,217)	1.5001	None
POU5F1	ATCAY	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
POU5F1	AX746605	0.55535	44.6	0.595	rgb(224,103,104)	1.8722	2,2
POU5F1	AX746677	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
POU5F1	AX746734	0.52111	43.46	0.463	rgb(222,128,129)	1.8494	2,2
POU5F1	AX746764	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
POU5F1	AX746869	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
POU5F1	AX747140	0.58133	45.5	0.498	rgb(222,122,123)	1.8902	2,2
POU5F1	AX747175	0.45052	40.79	0.792	rgb(226, 66, 67)	1.796	2,2
POU5F1	AX747393	0.77162	49.65	0.649	rgb(224, 93, 94)	1.9732	2,2
POU5F1	AX747535	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU5F1	AX747590	0.93222	50.68	0.682	rgb(225, 87, 88)	1.9938	2,2
POU5F1	AX747598	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
