TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZNF519	AADAT	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	None
ZNF519	ABCC9	0.71425	48.71	0.715	rgb(225, 80, 82)	1.9544	2,2
ZNF519	ABLIM2	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ZNF519	ACBD7	0.57266	45.37	0.371	rgb(221,146,147)	1.8876	None
ZNF519	ACOT7	0.084387	19	0	rgb(217,217,217)	1.3601	None
ZNF519	AF086346	-0.66592	47.45	-0.45	rgb(120,158,234)	1.9292	2,2
ZNF519	AGAP11	0.43238	40.19	0.19	rgb(219,181,181)	1.784	None
ZNF519	AIF1	-0.82887	50.44	-0.44	rgb(122,159,234)	1.989	None
ZNF519	AK025664	0.61958	46.66	0.659	rgb(224, 91, 93)	1.9134	2,2
ZNF519	AK026392	-0.69248	48.31	-0.31	rgb(150,176,229)	1.9464	2,2
ZNF519	AK027252	0.34915	35.07	0.071	rgb(218,203,204)	1.6815	2,2
ZNF519	AK027332	0.67063	47.83	0.827	rgb(226, 59, 61)	1.9368	2,2
ZNF519	AK027840	-0.6919	48.3	-0.3	rgb(152,178,228)	1.9462	2,2
ZNF519	AK054970	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
ZNF519	AK055017	0.45729	41.22	0.217	rgb(219,176,176)	1.8046	2,2
ZNF519	AK055257	0.75436	49.53	0.528	rgb(223,116,117)	1.9708	2,2
ZNF519	AK055694	0.57559	45.41	0.406	rgb(221,139,140)	1.8884	2,2
ZNF519	AK055910	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ZNF519	AK091275	0.4202	39.43	0.43	rgb(222,135,136)	1.7688	2,2
ZNF519	AK091624	0.78042	49.79	0.795	rgb(226, 65, 67)	1.976	2,2
ZNF519	AK091729	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF519	AK096592	0.85828	50.52	0.521	rgb(223,117,118)	1.9906	2,2
ZNF519	AK097012	-0.63201	46.42	-0.42	rgb(125,161,233)	1.9086	2,2
ZNF519	AK123654	0.37914	37.47	0.465	rgb(222,128,129)	1.7295	2,2
ZNF519	AK123889	0.54791	44.44	0.439	rgb(222,133,134)	1.869	2,2
ZNF519	AK124970	0.53234	44.2	0.201	rgb(219,179,179)	1.8642	2,2
ZNF519	AK125437	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZNF519	AK125727	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
ZNF519	AK125858	0.35056	36.19	0.19	rgb(219,181,181)	1.7039	2,2
ZNF519	AK125871	0.5715	45.34	0.336	rgb(221,153,154)	1.887	2,2
ZNF519	AK126318	0.54118	44.33	0.333	rgb(221,153,154)	1.8668	2,2
ZNF519	AK126532	0.50198	43.08	0.083	rgb(218,201,201)	1.8418	2,2
ZNF519	AK128361	-0.65824	47.33	-0.33	rgb(145,173,230)	1.9268	2,2
ZNF519	AK128619	0.70132	48.52	0.524	rgb(223,117,118)	1.9506	2,2
ZNF519	AK129879	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
ZNF519	AK311497	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF519	AK316321	-0.75919	49.56	-0.56	rgb( 95,143,238)	1.9714	2,2
ZNF519	AL831889	0.99071	50.88	0.877	rgb(227, 49, 51)	1.9978	2,2
ZNF519	AL832212	0.82656	50.43	0.434	rgb(222,134,135)	1.9888	2,2
ZNF519	AL832937	-0.70917	48.49	-0.49	rgb(111,153,235)	1.95	2,2
ZNF519	ANKS1B	0.96026	50.75	0.75	rgb(225, 74, 75)	1.9952	None
ZNF519	ANXA6	-0.70223	48.53	-0.53	rgb(103,148,237)	1.9508	None
ZNF519	AP3B2	0.04399	16	0	rgb(217,217,217)	1.3001	None
ZNF519	APOB	0.69455	48.34	0.344	rgb(221,151,152)	1.947	2,2
ZNF519	ARC	0.7242	48.71	0.714	rgb(225, 81, 82)	1.9544	None
ZNF519	ARHGAP33	-0.7741	49.65	-0.65	rgb( 76,131,242)	1.9732	None
ZNF519	ARHGAP9	0.24796	30	0	rgb(217,217,217)	1.5801	None
ZNF519	ATP1A3	-0.91722	50.65	-0.65	rgb( 76,131,242)	1.9932	None
ZNF519	ATP6V0E2	0.35481	36.29	0.29	rgb(220,162,162)	1.7059	None
ZNF519	ATP6V1G2	0.89488	50.6	0.6	rgb(224,102,104)	1.9922	None
