	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY										CHRNA1 FLT1 PDE2A	CHRNA1 PDE2A	CHRNA1 FLT1		FLT1 PDE2A										CHRNA1 FLT1			CHRNA1 FLT1 PDE2A	FLT1 PDE2A		CHRNA1 FLT1 PDE2A		CHRNA1 FLT1							FLT1 PDE2A			CHRNA1 PDE2A		CHRNA1 FLT1 PDE2A		CHRNA1 FLT1	CHRNA1 PDE2A									CHRNA1 PDE2A
KEGG_AXON_GUIDANCE																																					EPHB3 SEMA6B																			
KEGG_CALCIUM_SIGNALING_PATHWAY																														CACNA1H CAMK2B P2RX6 PLCG2												CACNA1H CAMK2B P2RX6									CAMK2B PLCG2					
KEGG_CELL_ADHESION_MOLECULES_CAMS													CDH5 JAM3																																											
KEGG_CELL_CYCLE					CDKN1C GADD45G															CDKN1C GADD45G																									CDKN1C GADD45G MAD2L2											
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM																														BHMT SRM		BHMT SRM																								
KEGG_ENDOCYTOSIS								CSF1R HSPA2 NTRK1					CSF1R FLT1 HSPA2																		HSPA2 KIT NTRK1									FLT1 HSPA2										CSF1R FLT1 HSPA2 KIT NTRK1						
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION			JAM3 PLCG2																						JAM3 PLCG2																															
KEGG_ERBB_SIGNALING_PATHWAY			CAMK2B PLCG2		CAMK2B PLCG2																																														CAMK2B PLCG2					
KEGG_GAP_JUNCTION			DRD2 TUBA1A TUBB3																					DRD2 TUBA1A													TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A				DRD2 TUBA1A TUBB3				TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3	
KEGG_GLIOMA			CAMK2B PLCG2		CAMK2B PLCG2																				CAMK2B PLCG2					CAMK2B PLCG2		CAMK2B PLCG2													CAMK2B PLCG2						CAMK2B PLCG2					
KEGG_GLUTATHIONE_METABOLISM								GGT5 SRM																								GGT5 SRM		GGT5 SRM																GGT5 SRM						GGT5 SRM
KEGG_INSULIN_SIGNALING_PATHWAY																																																						PPP1R3C SOCS1		
KEGG_JAK_STAT_SIGNALING_PATHWAY																																																						CSH1 IFNE SOCS1		
