	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY	1	1	1	1	1	1	1	1	1	0.0013122910825521528	0.020345978321344327	0.0024731509364464	1	0.011228213381673124	1	1	1	1	1	1	1	1	1	0.008813590963413054	1	1	0.0016698149113766325	0.019258513344663997	1	0.0012758754024688734	1	0.0189017131773197	1	1	1	1	1	1	0.009327359965073834	1	1	0.012384789528894324	1	0.000425643065336323	1	0.029499838396264466	0.014213286408884196	1	1	1	1	1	1	1	1	0.009589175161682895
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09771448724366238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04912147216472318	1	1	1	1	1	1	1	1	1	1	1	0.09357539817538785	1	1	1	1	1	1	1	1	0.06892338442209067	1	1	1	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	1	1	1	1	1	1	1	1	1	1	0.06962673159541732	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CELL_CYCLE	1	1	1	1	0.09558345944838709	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015124375426270653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05975798260123033	1	1	1	1	1	1	1	1	1	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02825880429494021	1	0.02724280567347781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ENDOCYTOSIS	1	1	1	1	1	1	1	0.07375453876264504	1	1	1	1	0.020955672273885728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027952936314669996	1	1	1	1	1	1	1	1	0.03918794283573135	1	1	1	1	1	1	1	1	1	0.03930232124136501	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	0.05842006769841346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0784565421320198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	1	0.08955441317839541	1	0.050930289914567384	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018743224757229893	1	1	1	1	1
KEGG_GAP_JUNCTION	1	1	0.015068782696604499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07647747386172532	1	1	1	1	1	1	1	1	1	1	1	1	0.005918031193164808	1	1	1	1	0.017272556236856973	1	1	1	0.055901726959691866	1	1	1	0.06587015553658504	1	1	1	1	0.04236132347854493	1
KEGG_GLIOMA	1	1	0.05392846440805621	1	0.03000027591233434	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07256880462275017	1	1	1	1	0.08994626930549598	1	0.08696962154988419	1	1	1	1	1	1	1	1	1	1	1	1	0.07822904093632888	1	1	1	1	1	0.010771249844951591	1	1	1	1	1
KEGG_GLUTATHIONE_METABOLISM	1	1	1	1	1	1	1	0.029605847006651254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05504639548008483	1	0.020977476778020976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09378797790259796	1	1	1	1	1	0.02884060687549983
