TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
RFX6	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	70	4	3.614996413325855e-09	0.000996350851455	INSM1 NEUROD1 NKX2-2 PAX4
NEUROD1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	100	4	1.542290295475368e-08	0.00425078339787	INSM1 NEUROD1 NKX2-2 PAX4
RFX6	REACTOME	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	42	up	70	5	2.652054980956109e-06	0.730943481521	INSM1 MAFA NEUROD1 NKX2-2 PAX4
SOX4	NABA	NABA_MATRISOME	1026	up	89	21	3.2552882334169198e-06	0.897199755877	AMBP CELA3A COL16A1 CSH1 GPC2 HGFAC IFNE LEFTY1 LTBP2 MATN2 MMP11 MUC15 PRELP SEMA6B SERPINI1 SFTPA2 SPARC SPON2 VWCE WIF1 WNT9A
SMAD9	REACTOME	REACTOME_POTASSIUM_CHANNELS	103	up	82	7	3.378514505603114e-06	0.931159139918	ABCC8 GABBR2 GNG4 KCNF1 KCNH6 KCNJ11 KCNK3
POU5F1	REACTOME	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_	57	down	9	3	6.298996810150115e-06	1	DYNC1I1 HSPA2 TUBA1A
INSM1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	12	2	7.567150993370575e-06	1	NKX2-2 PAX4
SMAD9	REACTOME	REACTOME_NEURONAL_SYSTEM	410	up	82	12	7.9736226281657e-06	1	ABCC8 CAMK2B CHRNA1 CPLX1 GABBR2 GNG4 KCNF1 KCNH6 KCNJ11 KCNK3 SLC1A2 TUBB3
RFX6	KEGG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	up	70	4	8.438299137769611e-06	1	MAFA NEUROD1 NKX2-2 PAX4
ATOH8	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	14	2	1.043031587688592e-05	1	NEUROG3 PAX4
DACH1	REACTOME	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	5	up	15	2	1.203314335074257e-05	1	NKX2-2 PAX4
RFX6	REACTOME	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	up	70	8	1.2222294977881631e-05	1	CACNG4 CAMK2B CHRNA3 GABBR2 GNG4 TUBA1A TUBB3 TUBB4A
FOXP2	REACTOME	REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS	7	down	11	2	1.3232469272206338e-05	1	CHRNA3 CHRNB2
PAX4	REACTOME	REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	21	up	31	3	1.5165668149186295e-05	1	TUBA1A TUBB3 TUBB4A
PAX4	REACTOME	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	23	up	31	3	2.0130068263402023e-05	1	TUBA1A TUBB3 TUBB4A
FOXP2	REACTOME	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	down	11	2	2.2663604196004883e-05	1	CHRNA3 CHRNB2
NEUROG3	WP	WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL	21	down	5	2	2.404447982262692e-05	1	CYP27A1 IL17C
ETV1	REACTOME	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	up	90	3	2.50069010466758e-05	1	CHRNA1 CHRNA3 CHRNB2
ZNF519	WP	WP_OSTEOBLAST_DIFFERENTIATION	119	down	20	4	2.7226673211866448e-05	1	DLL4 MAPK4 SMAD9 WNT9A
PAX4	REACTOME	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	26	up	31	3	2.941214741725151e-05	1	TUBA1A TUBB3 TUBB4A
FOXP2	REACTOME	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	11	down	11	2	3.459350531676009e-05	1	CHRNA3 CHRNB2
ARX	REACTOME	REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	15	up	60	3	3.9094839514142166e-05	1	SFRP1 WIF1 WNT9A
PAX4	REACTOME	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	29	up	31	3	4.11385504553996e-05	1	TUBA1A TUBB3 TUBB4A
