	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
BIOCARTA_NO1_PATHWAY									CHRNA1 FLT1 PDE2A				FLT1 PDE2A												CHRNA1 FLT1 PDE2A	FLT1 PDE2A		CHRNA1 FLT1 PDE2A		CHRNA1 FLT1							FLT1 PDE2A					CHRNA1 PDE2A		CHRNA1 FLT1								
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC																																														ACTN3 CACNG4						
KEGG_CALCIUM_SIGNALING_PATHWAY																												CACNA1H CAMK2B P2RX6 PLCG2					CACNA1H CAMK2B P2RX6										ADORA2A CAMK2B PLCG2		ADORA2A P2RX6 PLCG2		CAMK2B PLCG2					
KEGG_CELL_ADHESION_MOLECULES_CAMS												CDH5 JAM3																																								
KEGG_CELL_CYCLE				CDKN1C GADD45G															CDKN1C GADD45G													CDKN1C MAD2L2					CDKN1C GADD45G									CDKN1C GADD45G MAD2L2						
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM																												BHMT SRM		BHMT SRM																						
KEGG_ENDOCYTOSIS												CSF1R FLT1																	HSPA2 KIT NTRK1																	CSF1R FLT1 HSPA2 KIT NTRK1						
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		JAM3 PLCG2																						JAM3 PLCG2																												
KEGG_ERBB_SIGNALING_PATHWAY				CAMK2B PLCG2																				CAMK2B PLCG2																							CAMK2B PLCG2					
KEGG_GAP_JUNCTION		DRD2 TUBA1A								TUBA1A TUBB3														DRD2 TUBA1A											TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
KEGG_GLIOMA				CAMK2B PLCG2																				CAMK2B PLCG2				CAMK2B PLCG2		CAMK2B PLCG2													CAMK2B PLCG2				CAMK2B PLCG2					
KEGG_GLUTATHIONE_METABOLISM							GGT5 SRM																							GGT5 SRM		GGT5 SRM																				
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		ACTN3 JAM3 MMP2 PLCG2		ACTN3 CDH5 PLCG2								CDH5 JAM3											ACTN3 JAM3	ACTN3 JAM3 MMP2 PLCG2		CDH5 JAM3 MMP2		CDH5 MMP2 PLCG2	CDH5 MMP2 PLCG2					CDH5 MMP2 PLCG2			ACTN3 MMP2															
KEGG_MAPK_SIGNALING_PATHWAY																			GADD45G HSPA2							CACNA1H CACNG4 GADD45G HSPA2																										
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG					NEUROG3 PAX4	NKX2-2 PAX4		MAFA NEUROG3													NKX2-2 PAX4							NEUROD1 NKX2-2 PAX4												MAFA NEUROD1 NKX2-2 PAX4												MAFA NEUROG3
KEGG_MELANOGENESIS			CAMK2B WNT9A	CAMK2B WNT9A			GNAO1 WNT9A		CAMK2B GNAO1 WNT9A																			CAMK2B GNAO1 WNT9A	GNAO1 KIT WNT9A	CAMK2B GNAO1 KIT													CAMK2B GNAO1 WNT9A			GNAO1 KIT WNT9A	CAMK2B KIT					
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION						ADORA2A CHRNA3 CSH1	CHRNB2 P2RX6 SSTR1		CHRNA1 CHRNA3 CHRNB2 GABRE P2RX6 SSTR2	CHRNA1 CHRNB2 P2RX6 SSTR1	CHRNB2 CSH1 DRD2 GABBR2 SSTR2												GABRE P2RX6 SSTR1	CHRNA1 DRD2 GABBR2 GABRE SSTR1 SSTR2	CHRNA1 CHRNB2 DRD2 GABRE P2RX6 SSTR1					CHRNA1 DRD2 GABBR2 P2RX6 SSTR2			CHRNA3 CHRNB2 GABRE P2RX6			CHRNB2 GABBR2 P2RX6							ADORA2A CHRNA1 GABBR2 SSTR1	CHRNA1 CHRNB2 CSH1 GABBR2 SSTR2	ADORA2A GABBR2 GABRE P2RX6							
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY			CAMK2B TP73	CAMK2B PLCG2 TP73																								CAMK2B NTRK1 PLCG2 TP73	NTRK1 PLCG2	CAMK2B PLCG2 TP73		CAMK2B TP73	CAMK2B NTRK1 TP73										CAMK2B PLCG2 TP73				CAMK2B PLCG2					
KEGG_NOTCH_SIGNALING_PATHWAY				DLL1 DLL4																																								DLL1 DLL4		DLL1 DLL4						
KEGG_OOCYTE_MEIOSIS																																CAMK2B MAD2L2																				
KEGG_P53_SIGNALING_PATHWAY			GADD45G TP73	GADD45G TP73					GADD45G TP73																GADD45G TP73			GADD45G TP73		GADD45G TP73							GADD45G TP73							GADD45G TP73		GADD45G TP73						
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
KEGG_PATHWAYS_IN_CANCER		CSF1R MMP2 PLCG2 WNT9A																											KIT MMP2 NTRK1 PLCG2 WNT9A					MMP2 PLCG2																		
KEGG_PPAR_SIGNALING_PATHWAY																																	CYP27A1 PLTP										CYP27A1 PLTP		CYP27A1 PLTP	CYP27A1 PLTP						
KEGG_PURINE_METABOLISM									AK5 PDE2A PDE6B			AK5 AMPD3	AMPD3 PDE2A																							AK5 PDE6B	AK5 AMPD3 PDE2A					AK5 AMPD3 PDE2A										
KEGG_TIGHT_JUNCTION																							ACTN3 JAM3																													
