	ASCL2	E2F7	ETV1	FEV	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX6	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	0.580926054841	1	1	1	1	1	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	0.0166702986226	0.109225069436	0.0249662883439	0.0984834732568	1	0.158431009999	1	1	0.000341092742866	1	1	0.796913849955	1	1	0.0654241270612	0.441549110483	0.36313854183	0.152005034963	0.0311081975254	0.573872471665
GO_EXTRACELLULAR_MATRIX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.499232431978	1	1	1	0.642961308387	1	1
GO_MULTIVESICULAR_BODY_LUMEN	1	1	1	1	1	1	1	1	1	0.665912096358	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1	1	1	1	1	1	0.479586074382	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEUROGENESIS	1	1	1	1	1	1	1	0.919651027745	0.543245431938	1	0.119486802245	1	0.0381282969323	1	1	1	0.518952765051	0.0598992817128	1	0.521240838227	1	1
GO_NEURONAL_DENSE_CORE_VESICLE	1	1	1	1	1	1	1	0.680555874161	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	0.65882099103	1	1	1	1	0.200222210584	1	1	1	1
GO_NEURON_DIFFERENTIATION	0.743542080618	0.0932066074519	0.0707647603393	1	1	1	0.0627381036769	0.021537039164	0.0516517493564	1	0.0333531923355	0.0853343333025	0.000631249191354	1	0.719298848245	1	0.0138956269403	0.00171589580756	1	0.0751750813925	1	1
GO_NEURON_PROJECTION	1	1	1	1	1	1	1	0.154953512114	1	1	1	1	1	1	0.0271846104509	1	1	1	1	1	1	1
GO_REGULATION_OF_CELL_DEVELOPMENT	1	1	1	1	1	1	1	1	0.907843577014	1	1	1	0.194993069148	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	0.125498843266	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_NEURON_DIFFERENTIATION	1	1	1	1	1	1	1	1	1	1	1	1	0.219456503025	1	1	1	1	1	1	1	1	1
GO_SYNAPSE	1	1	1	1	1	0.00960281238486	1	1	1	1	0.216390260759	1	1	1	0.0977275344896	1	1	0.270198947421	1	0.10498352723	1	1
GO_SYNAPTIC_SIGNALING	1	1	1	1	1	0.133064504397	1	1	1	1	0.0213415289826	1	1	1	1	1	1	1	1	1	1	1
