	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACETATE_ESTER_TRANSPORT								ADORA2A CHRNA3																																		ADORA2A CHRNA3																	
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2	CHRNA1 CHRNB2	CHRNA3 CHRNB2																CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2							CHRNA1 CHRNA3				CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2	CHRNA1 CHRNB2	CHRNA3 CHRNB2																CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2							CHRNA1 CHRNA3				CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2	CHRNA1 CHRNB2	CHRNA3 CHRNB2																CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2							CHRNA1 CHRNA3				CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2	CHRNA1 CHRNB2	CHRNA3 CHRNB2																CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2							CHRNA1 CHRNA3				CHRNA1 CHRNB2										
GO_ACIDIC_AMINO_ACID_TRANSPORT			CPLX1 SLC1A2												ADORA2A SLC1A2																ADORA2A CPLX1 SLC1A2		CPLX1 SLC1A2		CPLX1 SLC1A2							ADORA2A CPLX1 SLC1A2					CPLX1 SLC1A2	ADORA2A CPLX1 SLC1A2		ADORA2A CPLX1									
GO_ACTIN_BASED_CELL_PROJECTION												AKR1B1 DPEP1 JAM3 TUBB3																														AKR1B1 DPEP1 TUBB3																	
GO_ACTIN_BINDING				ACTN3 CAMK2B LSP1 SAMD14	ACTN3 CAMK2B LSP1 SAMD14																																																						
GO_ACTIN_CYTOSKELETON				ACTN3 DPYSL3 FLT1 LSP1 SAMD14									DPYSL3 FLT1 SAMD14 TMOD1																																														
GO_ACTIN_CYTOSKELETON_REORGANIZATION																																			CSF1R KIT MDK																		CSF1R KIT MDK					CSF1R MDK	
GO_ACTIN_FILAMENT			ACTN3 JAM3 TMOD1	ACTN3 DPYSL3									DPYSL3 TMOD1	JAM3 TMOD1													ACTN3 JAM3 TMOD1	ACTN3 DPYSL3 JAM3 TMOD1			DPYSL3 JAM3 TMOD1								DPYSL3 TMOD1										DPYSL3 JAM3 TMOD1				ACTN3 DPYSL3 JAM3 TMOD1				DPYSL3 TMOD1		
GO_ACTIN_FILAMENT_BASED_MOVEMENT				ACTN3 SCN1B								ACTN3 MYBPC2 SCN1B		MYBPC2 TMOD1																																		MYBPC2 SCN1B TMOD1										SCN1B TMOD1	ACTN3 SCN1B TMOD1
GO_ACTIN_FILAMENT_BASED_PROCESS			ACTN3 CSF1R GRHL3 JAM3 MDK PROX1 RGS4 SFRP1 TMOD1								ACTN3 GRHL3 JAM3 MAD2L2 MDK MYBPC2 PROX1 RGS4 SAMD14 SCN1B SFRP1	ACTN3 CSF1R JAM3 MAD2L2 MYBPC2 PROX1 RGS4 SAMD14 SCN1B SFRP1															ACTN3 GRHL3 JAM3 MDK RGS4 SAMD14 SFRP1 TMOD1	ACTN3 DPYSL3 GRHL3 JAM3 MDK RGS4 SAMD14 SFRP1 TMOD1																														CSF1R GRHL3 MAD2L2 MDK SCN1B SFRP1 TMOD1	ACTN3 GRHL3 MAD2L2 MDK SAMD14 SCN1B SFRP1 TMOD1
GO_ACTIN_FILAMENT_ORGANIZATION																																																									DPYSL3 PROX1 TMOD1		
GO_ACTIN_MEDIATED_CELL_CONTRACTION				ACTN3 SCN1B	ACTN3 SCN1B						ACTN3 MYBPC2 SCN1B	ACTN3 MYBPC2 SCN1B		MYBPC2 TMOD1																							ACTN3 SCN1B											MYBPC2 SCN1B TMOD1										SCN1B TMOD1	ACTN3 SCN1B TMOD1
GO_ACTION_POTENTIAL		CACNA1H CHRNB2		CHRNB2 SCN1B SCN3A							CHRNA1 CHRNB2 SCN1B SCN3A	CHRNA1 CHRNB2 SCN1B	CHRNA1 CHRNB2																	CACNA1H CHRNA1 CHRNB2								CACNA1H CHRNB2 SCN1B			CACNA1H CHRNB2 SCN1B																		
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING											ATOH8 BEX1 MAD2L2																						ATOH8 BEX1 NEUROD1				ATOH8 MAD2L2				ATOH8 BEX1 MAD2L2				ATOH8 NEUROD1								ATOH8 MAD2L2 NEUROD1						ATOH8 MAD2L2
GO_ACTIVATION_OF_IMMUNE_RESPONSE																IGHG1 MUC15			IGHG1 MUC5AC	IGHG1 MUC5AC									IGHG1 MUC5AC																														
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE															FFAR2 MUC15 MUC5AC								MUC15 PLCG2																FFAR2 PLCG2																				
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY												AGT SOCS1																					AGT SOCS1					AGT SOCS1															AGT SOCS1						AGT SOCS1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY					CHRNA3 GADD45G SOCS1 TP73												AGT GADD45G																AGT CHRNA3 GADD45G NTRK1 SOCS1 TP73		DRD2 GADD45G KIT SOCS1 TP73			AGT CHRNA3 DRD2 NTRK1 SOCS1 TP73												AGT DRD2 GADD45G NTRK1 TP73			AGT GADD45G KIT NTRK1 SOCS1 TP73	CHRNA3 GADD45G KIT					
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY					ABCC8 KCNJ11 SLC1A2																																																						
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																							SLC16A12 SLC1A2 SLC38A3																				
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION			PROX1 SFRP1 TMOD1																																																						PROX1 TMOD1		
GO_ACUTE_INFLAMMATORY_RESPONSE													C2CD4A FFAR2																								C2CD4A FFAR2																				C2CD4A FFAR2		
GO_ADAPTIVE_IMMUNE_RESPONSE																			IFNE IGHG1	IFNE IGHG1																																							
GO_ADAPTIVE_THERMOGENESIS				ACTN3 G0S2 GADD45G	ACTN3 G0S2 GADD45G UCP2						ACTN3 G0S2 GADD45G UCP2	ACTN3 G0S2 UCP2	GADD45G UCP2															ACTN3 GADD45G UCP2								GADD45G UCP2																G0S2 GADD45G	ACTN3 G0S2 GADD45G UCP2	GADD45G UCP2					
