	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1.2326515535843185e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0003559076821132434	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.0011332229516775039	1	1	1	1	1	0.00010827694602744131	0.0035582540003621377	0.0005254445690848764	0.0007029836106708931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004435240102086846	1	1	0.0031541451152138356	1	1	1	1	0.0031052594242205744	1	1	1	1	1	1	0.0024591962855979865	1	1	1	0.0064581638148272225	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.0017302908619902801	1	1	1	1	1	0.00020857679341224067	0.005400076590089675	0.0008042815276592119	0.001075144958174512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006719948463237646	1	1	0.004790733890184029	1	1	1	1	0.004716968351733741	1	1	1	1	1	1	0.003740970320637027	1	1	1	0.009752862326972922	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.0017302908619902801	1	1	1	1	1	0.00020857679341224067	0.005400076590089675	0.0008042815276592119	0.001075144958174512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006719948463237646	1	1	0.004790733890184029	1	1	1	1	0.004716968351733741	1	1	1	1	1	1	0.003740970320637027	1	1	1	0.009752862326972922	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.0032808953704602795	1	1	1	1	1	0.0005551828970691286	0.010116086547102388	0.0015326091506097095	0.0020453753336306946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012547526436749723	1	1	0.008989300106216125	1	1	1	1	0.00885269988753179	1	1	1	1	1	1	0.007041146936181075	1	1	1	0.018092201862604407	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	0.05537823526669772	1	1	1	1	1	1	1	1	1	1	1	0.047055504926590275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01384936436546591	1	0.07871166565646237	1	0.08413226835678844	1	1	1	1	1	1	0.005202471926491148	1	1	1	1	0.04886193825709628	0.009666743993798188	1	0.06119271648295255	1	1	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	1	1	1	1	1	1	1	1	1	1	0.06762571648949234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09492759498152537	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_BINDING	1	1	1	0.05991225218810048	0.09060741597872479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON	1	1	1	0.027220622980089648	1	1	1	1	1	1	1	1	0.0437140872794608	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON_REORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.034830871989901535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07056563443846742	1	1	1	1	0.042398504943231274	1
