TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
NEUROG3	GO	GO_CELL_CELL_SIGNALING	1809	up	124	36	3.9494285619667835e-10	0.000397532891448	ABCC8 AMER3 CACNG4 CADPS CAMK2B CHRNA1 CPLX1 CSF1R DRD2 GABBR2 GAL GNAO1 KCNK3 KIT LZTS1 MDK MPP2 NEUROD1 NKD1 NOTUM NPTX1 NPTXR P2RX6 PCDHB16 PCSK1 PDE6B PLCG2 PMP22 RAB26 RFX6 RGS4 RIMBP2 SCGN SLC1A2 SOCS1 WIF1
SMAD9	GO	GO_CELL_CELL_SIGNALING	1809	up	107	31	7.135454560547316e-09	0.0071822417361	ABCC8 ADORA2A CAMK2B CHRNA1 CNIH2 CPE CPLX1 CSF1R FJX1 GABBR2 GNAO1 GRHL3 IL17C KCNJ11 KCNK3 LZTS1 MAD2L2 MAFA NKD1 NOTUM PCSK1 PLCG2 PMP22 RFX6 SCN1B SLC1A2 SOCS1 SOX4 SYT5 TMEM198 WNT9A
NEUROG3	GO	GO_SYNAPTIC_SIGNALING	751	up	124	21	1.2955451711427202e-08	0.0130403876528	CACNG4 CADPS CAMK2B CHRNA1 CPLX1 DRD2 GABBR2 KCNK3 KIT LZTS1 MPP2 NPTX1 NPTXR P2RX6 PCDHB16 PMP22 RAB26 RGS4 RIMBP2 SCGN SLC1A2
SMAD9	GO	GO_NEURON_DIFFERENTIATION	1406	up	107	26	3.5803337072870534e-08	0.0360380279474	ADORA2A C1QL1 CAMK2B CSF1R DLL4 DPYSL3 DSCAML1 EPHB3 HECW2 HEYL LINGO1 LMX1B LZTS1 MAP6 NKD1 NREP PMP22 PROX1 SCN1B SDK2 SEMA6B SOX4 STMN3 TP73 TUBB3 WNT9A
PAX6	GO	GO_NEURON_PROJECTION	1366	up	46	16	4.806470865759138e-08	0.0483797247581	ANKS1B CHRNB2 CNIH2 CPLX1 FAM126A GABBR2 GNAO1 KCNJ11 MAP6 MPP2 P2RX6 PCSK1 PDE6B PTGDR2 QDPR SYP
NEUROG3	GO	GO_NEURON_DIFFERENTIATION	1406	up	124	28	5.9273375763169156e-08	0.0596617941945	ATOH8 CAMK2B CSF1R DPYSL3 DRD2 DSCAML1 EPHB3 HEYL INSM1 LINGO1 LMX1B LZTS1 MAP6 MATN2 MDK NEUROD1 NKD1 NPTX1 NREP PMP22 PROX1 SDK2 SEMA6B SERPINI1 STMN3 TOX TP73 VASH2
NEUROG3	GO	GO_SYNAPSE	1357	up	124	27	1.097629114266141e-07	0.110482078022	BAALC CACNG4 CADPS CAMK2B CHRNA1 CPLX1 DPYSL3 DRD2 DSCAML1 GABBR2 KCNK3 KCTD12 LZTS1 MPP2 NPTX1 NPTXR P2RX6 PCDHB16 PDZRN3 PMP22 RAB26 RGS9 RIMBP2 SCGN SDK2 SLC1A2 SPARC
LMX1A	GO	GO_HYALOID_VASCULAR_PLEXUS_REGRESSION	8	down	29	3	1.7057284718013932e-07	0.171690269902	DRD2 FLT1 NINJ1
NEUROG3	GO	GO_NEUROGENESIS	1674	up	124	30	1.839157841576622e-07	0.185120432544	ATOH8 CAMK2B CSF1R DPYSL3 DRD2 DSCAML1 EPHB3 HES6 HEYL INSM1 KIT LINGO1 LMX1B LZTS1 MAP6 MATN2 MDK NEUROD1 NKD1 NPTX1 NREP PMP22 PROX1 SDK2 SEMA6B SERPINI1 STMN3 TOX TP73 VASH2
NEUROD1	GO	GO_NEURON_DIFFERENTIATION	1406	up	123	27	1.882231527305933e-07	0.189455826158	AGT ATOH8 C1QL1 CAMK2B CHRNA3 DLL4 DPYSL3 DSCAML1 GPC2 INSM1 LINGO1 MAP6 MATN2 MDK NEUROD1 NKX2-2 NPTX1 NREP NTRK1 PMP22 SDK2 SEMA6B SERPINI1 SOX4 TP73 VASH2 WNT9A
