	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACETATE_ESTER_TRANSPORT								ADORA2A CHRNA3																																																		
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2																	CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2																	CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2																	CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2										
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2						CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2																	CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2										
GO_ACIDIC_AMINO_ACID_TRANSPORT			CPLX1 SLC1A2												ADORA2A SLC1A2														CPLX1 SLC1A2	ADORA2A CPLX1		CPLX1 SLC1A2		CPLX1 SLC1A2							CPLX1 SLC1A2						ADORA2A CPLX1 SLC1A2		ADORA2A CPLX1									
GO_ACTIN_BASED_CELL_PROJECTION																																									AKR1B1 DPEP1 TUBB3			DPEP1 JAM3 TUBB3														
GO_ACTIN_BINDING					ACTN3 CAMK2B LSP1 SAMD14																						ACTN3 CAMK2B SAMD14 TMOD1 VASH2														ACTN3 SAMD14 TMOD1 VASH2																	
GO_ACTIN_CYTOSKELETON													DPYSL3 FLT1 SAMD14																	DPYSL3 FLT1 JAM3 LSP1 SAMD14 TMOD1																												
GO_ACTIN_CYTOSKELETON_REORGANIZATION			CSF1R MDK																															CSF1R KIT MDK																								
GO_ACTIN_FILAMENT			ACTN3 JAM3 TMOD1																							ACTN3 JAM3 TMOD1	ACTN3 DPYSL3 JAM3 TMOD1			DPYSL3 JAM3 TMOD1											ACTN3 TMOD1																	
