	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1.2326515535843185e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.0010163409424830405	1	1	1	1	1	7.434884219614801e-05	0.0017721291346267654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0030567369574204806	1	1	0.0030085781825830438	1	1	1	1	0.0022044021531743008	1	1	1	1	1	1	1	1	1	1	0.003203393565294421	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.0015524678751422938	1	1	1	1	1	0.00014350409850638624	0.0027005203882876083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004643739348482501	1	1	0.004571047793698213	1	1	1	1	0.0033554470457388685	1	1	1	1	1	1	1	1	1	1	0.004865035205928736	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.0015524678751422938	1	1	1	1	1	0.00014350409850638624	0.0027005203882876083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004643739348482501	1	1	0.004571047793698213	1	1	1	1	0.0033554470457388685	1	1	1	1	1	1	1	1	1	1	0.004865035205928736	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.0029461430489734486	1	1	1	1	1	0.0003834858869531388	0.005100617271694752	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008717050755224443	1	1	0.008582354979740914	1	1	1	1	0.006323307496101438	1	1	1	1	1	1	1	1	1	1	0.009126849324146424	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	0.037587458658591144	1	1	1	1	1	1	1	1	1	1	1	0.012994001176060754	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07657581732025542	0.05729355620657994	1	0.0755150262268458	1	0.07657581732025542	1	1	1	1	1	1	0.03046879142674519	1	1	1	1	1	0.007229976398018589	1	0.037587458658591144	1	1	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05268355960012627	1	1	0.09950755407997658	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_BINDING	1	1	1	1	0.07755866312699422	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07975031963823032	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08725185473461816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON	1	1	1	1	1	1	1	1	1	1	1	1	0.058203459804821334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05700709980663399	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON_REORGANIZATION	1	1	0.07527098839396107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030309159408105968	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
