TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARNT2	AK5	-0.56634	44.24	-0.24	rgb(165,186,226)	1.865	None
ARNT2	ARHGEF26-AS1	-0.55097	43.46	-0.46	rgb(117,156,235)	1.8494	None
ARNT2	ASRGL1	-0.7741	49.65	-0.65	rgb( 76,131,242)	1.9732	None
ARNT2	ATP13A4	0.7176	48.91	0.905	rgb(227, 44, 46)	1.9584	None
ARNT2	BHMT	0.50715	43.22	0.217	rgb(219,176,176)	1.8446	2,2
ARNT2	CACNA1H	0.86254	50.53	0.528	rgb(223,116,117)	1.9908	None
ARNT2	CATSPERB	0.31152	34	0	rgb(217,217,217)	1.6601	None
ARNT2	CD99L2	0.96026	50.75	0.745	rgb(225, 75, 76)	1.9952	None
ARNT2	CDKN1C	-0.89938	50.65	-0.65	rgb( 76,131,242)	1.9932	None
ARNT2	CHRNB2	-0.70458	48.44	-0.44	rgb(121,159,234)	1.949	None
ARNT2	CSH2	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ARNT2	DLL4	0.092482	18	0	rgb(217,217,217)	1.3401	None
ARNT2	DPYSL3	0.87641	50.56	0.557	rgb(223,111,112)	1.9914	None
ARNT2	DPYSL4	0.93222	50.68	0.683	rgb(225, 87, 88)	1.9938	None
ARNT2	FJX1	0.68236	47.81	0.811	rgb(226, 62, 64)	1.9364	None
ARNT2	G0S2	0.23961	28	0	rgb(217,217,217)	1.5401	None
ARNT2	GLT8D2	0.52569	42.55	0.548	rgb(223,112,113)	1.8312	None
ARNT2	HSPA2	0.11582	20	0	rgb(217,217,217)	1.3801	None
ARNT2	KCNF1	0.8178	50.4	0.401	rgb(221,140,141)	1.9882	None
ARNT2	LAPTM5	0.67604	47.59	0.595	rgb(224,103,105)	1.932	None
ARNT2	LINC00261	0.72123	49.21	0.214	rgb(219,176,176)	1.9644	None
ARNT2	LINC00842	-0.71809	48.6	-0.6	rgb( 88,138,240)	1.9522	2,2
ARNT2	LMX1B	0.9482	50.72	0.722	rgb(225, 79, 80)	1.9946	None
ARNT2	LRIG1	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ARNT2	MEX3B	0.21045	26	0	rgb(217,217,217)	1.5001	None
ARNT2	MRPL34	0.016605	14	0	rgb(217,217,217)	1.2601	None
ARNT2	MS4A8	0.28724	31	0	rgb(217,217,217)	1.6001	None
ARNT2	NEUROD2	0.42102	38.38	0.383	rgb(221,144,145)	1.7477	None
ARNT2	NKD1	0.40107	37.41	0.413	rgb(222,138,139)	1.7283	None
ARNT2	NOXO1	-0.90202	50.61	-0.61	rgb( 84,136,240)	1.9924	None
ARNT2	OSBPL6	-0.65853	47.34	-0.34	rgb(143,172,230)	1.927	None
ARNT2	PCBP4	-0.38042	37.54	-0.54	rgb(100,146,237)	1.7309	None
ARNT2	PDE6B	0.11582	20	0	rgb(217,217,217)	1.3801	None
ARNT2	PPP1R3C	-0.69434	48.44	-0.44	rgb(120,158,234)	1.949	None
ARNT2	PRRT3	0.27096	30	0	rgb(217,217,217)	1.5801	None
ARNT2	PTCHD2	0.47691	42.16	0.161	rgb(219,186,187)	1.8234	2,2
ARNT2	PTGDR2	0.13057	21	0	rgb(217,217,217)	1.4001	None
ARNT2	RCOR2	0.67836	47.64	0.64	rgb(224, 95, 96)	1.933	None
ARNT2	RGAG4	0.64585	47.43	0.43	rgb(222,135,136)	1.9288	2,2
ARNT2	RGS5	0.46035	41.27	0.272	rgb(220,165,166)	1.8056	None
ARNT2	RUNDC3A	0.79347	50.26	0.263	rgb(220,167,167)	1.9854	None
ARNT2	SAP30	0.5057	43.19	0.272	rgb(220,165,166)	1.844	None
ARNT2	SEPT5-GP1BB	0.63759	47.34	0.336	rgb(221,153,153)	1.927	2,2
ARNT2	SERPINI1	0.67604	47.59	0.594	rgb(224,104,105)	1.932	None
ARNT2	SHF	0.87476	50.59	0.594	rgb(224,104,105)	1.992	None
ARNT2	SLC38A5	0.63912	46.54	0.54	rgb(223,114,115)	1.911	None
ARNT2	STARD9	-0.78753	50.07	-0.066	rgb(203,208,219)	1.9816	None
ARNT2	TMEM158	0.98459	50.84	0.841	rgb(226, 56, 58)	1.997	None
ARNT2	TUBB3	0.77542	49.69	0.69	rgb(225, 85, 87)	1.974	None
ARNT2	UNC93A	0.42214	38.41	0.406	rgb(221,139,140)	1.7483	None
ARNT2	VWA5B2	-0.5145	42.34	-0.34	rgb(142,172,230)	1.827	None
