TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ATOH8	AL110171	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
LTF	AL110171	0.76055	49.57	0.572	rgb(223,108,109)	1.9716	2,2
ATOH8	CD52	0.78207	49.75	0.745	rgb(225, 75, 76)	1.9752	2,2
LTF	CD52	0.728	49.3	0.296	rgb(220,160,161)	1.9662	2,2
ATOH8	CTSL2	0.96171	50.8	0.803	rgb(226, 64, 65)	1.9962	2,2
LTF	CTSL2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	DKFZp686O16217	0.95799	50.79	0.789	rgb(226, 66, 68)	1.996	2,2
LTF	DKFZp686O16217	0.86254	50.53	0.532	rgb(223,115,116)	1.9908	2,2
ATOH8	FAM46C	0.92197	50.7	0.696	rgb(225, 84, 85)	1.9942	2,2
LTF	FAM46C	0.48963	42.36	0.358	rgb(221,149,149)	1.8274	2,2
ATOH8	FLJ00385	0.90669	50.66	0.656	rgb(224, 92, 93)	1.9934	2,2
LTF	FLJ00385	0.95147	50.73	0.729	rgb(225, 78, 79)	1.9948	2,2
ATOH8	G0S2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	G0S2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	HV535469	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
LTF	HV535469	-0.54387	44.37	-0.37	rgb(138,169,231)	1.8676	2,2
ATOH8	IGHG1	0.91322	50.68	0.683	rgb(225, 87, 88)	1.9938	2,2
LTF	IGHG1	0.9482	50.72	0.718	rgb(225, 80, 81)	1.9946	2,2
ATOH8	LOC100188947	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
LTF	LOC100188947	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	LOC145837	0.92197	50.7	0.699	rgb(225, 84, 85)	1.9942	2,2
LTF	LOC145837	0.46159	41.3	0.3	rgb(220,160,160)	1.8062	2,2
ATOH8	MUC5AC	-0.44994	39.71	-0.71	rgb( 62,123,244)	1.7744	2,2
LTF	MUC5AC	0.94973	50.77	0.767	rgb(225, 71, 72)	1.9956	2,2
ATOH8	NEUROG3	0.96799	50.82	0.82	rgb(226, 60, 62)	1.9966	2,2
LTF	NEUROG3	0.80504	50.34	0.342	rgb(221,152,152)	1.987	2,2
ATOH8	SDPR	0.68988	48.26	0.261	rgb(220,167,168)	1.9454	2,2
LTF	SDPR	0.68472	48.34	0.339	rgb(221,152,153)	1.947	2,2
ATOH8	TMEM8C	0.99793	50.94	0.938	rgb(227, 38, 40)	1.999	2,2
LTF	TMEM8C	0.38021	37.53	0.525	rgb(223,117,118)	1.7307	2,2
ATOH8	abParts	0.96171	50.8	0.798	rgb(226, 65, 66)	1.9962	2,2
LTF	abParts	0.87641	50.56	0.562	rgb(223,110,111)	1.9914	2,2
