TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
DACH1	ADORA2A	0.37807	36.33	0.331	rgb(221,154,154)	1.7067	2,2
DACH1	AK092048	0.99632	50.95	0.953	rgb(227, 35, 37)	1.9992	2,2
DACH1	ARHGEF25	0.95374	50.78	0.78	rgb(226, 68, 70)	1.9958	2,2
DACH1	BAI1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
DACH1	C10orf10	0.98344	50.88	0.884	rgb(227, 48, 50)	1.9978	2,2
DACH1	CA8	0.99913	50.98	0.976	rgb(228, 31, 33)	1.9998	2,2
DACH1	CHRNA3	0.79405	50.22	0.225	rgb(219,174,175)	1.9846	2,2
DACH1	CSH1	0.78439	49.83	0.827	rgb(226, 59, 61)	1.9768	2,2
DACH1	CSH2	0.94217	50.75	0.752	rgb(225, 73, 75)	1.9952	2,2
DACH1	DPEP1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
DACH1	FAM105A	0.95374	50.78	0.783	rgb(226, 67, 69)	1.9958	2,2
DACH1	IGFBPL1	0.8045	50.32	0.324	rgb(221,155,156)	1.9866	2,2
DACH1	LIMD2	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
DACH1	LRFN1	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
DACH1	MUC5AC	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
DACH1	NEURL	0.8071	50.34	0.338	rgb(221,152,153)	1.987	2,2
DACH1	NKX2-2	0.99632	50.95	0.951	rgb(227, 35, 37)	1.9992	2,2
DACH1	NPTXR	0.39645	37.28	0.285	rgb(220,163,163)	1.7257	2,2
DACH1	PAX4	0.98893	50.91	0.909	rgb(227, 43, 45)	1.9984	2,2
DACH1	PTCHD2	0.43445	39.23	0.229	rgb(220,173,174)	1.7648	2,2
DACH1	RAB39B	0.63201	46.42	0.418	rgb(222,137,138)	1.9086	2,2
DACH1	RGAG4	-0.78629	50.04	-0.039	rgb(209,212,218)	1.981	2,2
DACH1	RGS4	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
DACH1	SEPT5-GP1BB	-0.39178	37.16	-0.16	rgb(182,196,223)	1.7233	2,2
DACH1	TMEM35	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
DACH1	TMEM59L	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
DACH1	ZCCHC12	0.34279	34.34	0.337	rgb(221,153,153)	1.6669	2,2
DACH1	ZCCHC18	0.36766	35.88	0.881	rgb(227, 49, 50)	1.6977	2,2
