TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
E2F7	AK126532	0.38042	37.54	0.544	rgb(223,113,114)	1.7309	2,2
E2F7	ANKS1B	0.21727	28	0	rgb(217,217,217)	1.5401	None
E2F7	ARHGEF26-AS1	0.016605	14	0	rgb(217,217,217)	1.2601	None
E2F7	ATP13A4	-0.97336	50.84	-0.84	rgb( 35,106,249)	1.997	None
E2F7	AX747833	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
E2F7	C1QL1	-0.98563	50.89	-0.89	rgb( 23, 99,251)	1.998	None
E2F7	C2CD4A	0.64804	47.45	0.455	rgb(222,130,131)	1.9292	None
E2F7	CATSPERB	0.39504	38.3	0.295	rgb(220,161,161)	1.7461	None
E2F7	CCDC85B	0.84337	50.48	0.483	rgb(222,125,126)	1.9898	None
E2F7	CDH22	0.54548	44.4	0.398	rgb(221,141,142)	1.8682	None
E2F7	CDKN1C	-0.71293	48.53	-0.53	rgb(101,147,237)	1.9508	None
E2F7	CHGB	-0.8178	50.4	-0.4	rgb(129,164,232)	1.9882	None
E2F7	CHRNB2	0.42871	39.01	0.014	rgb(217,214,214)	1.7604	None
E2F7	CIB4	0.30343	32	0	rgb(217,217,217)	1.6201	None
E2F7	CNIH2	-0.79736	50.27	-0.27	rgb(159,182,227)	1.9856	None
E2F7	CRISPLD2	0.94031	50.7	0.697	rgb(225, 84, 85)	1.9942	None
E2F7	CRLF1	0.56324	45.22	0.219	rgb(219,175,176)	1.8846	None
E2F7	CSF1R	0.88616	50.58	0.576	rgb(223,107,108)	1.9918	None
E2F7	CYP27A1	-0.95568	50.74	-0.74	rgb( 56,119,245)	1.995	None
E2F7	DLL4	0.31152	34	0	rgb(217,217,217)	1.6601	None
E2F7	DPYSL3	0.48418	42.28	0.283	rgb(220,163,163)	1.8258	None
E2F7	DPYSL4	-0.88819	50.62	-0.62	rgb( 83,136,240)	1.9926	None
E2F7	DSCAML1	-0.96799	50.82	-0.82	rgb( 39,109,248)	1.9966	None
E2F7	DYNC1I1	0.43598	40.26	0.256	rgb(220,168,169)	1.7854	None
E2F7	FJX1	0.98459	50.84	0.842	rgb(226, 56, 58)	1.997	None
E2F7	FLJ00385	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
E2F7	FLJ38723	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
E2F7	G0S2	0.21727	28	0	rgb(217,217,217)	1.5401	None
E2F7	GAL	0.10777	20	0	rgb(217,217,217)	1.3801	None
