TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ETV1	ABCC8	0.84998	50.5	0.496	rgb(222,122,123)	1.9902	None
ETV1	ACTN3	0.30343	32	0	rgb(217,217,217)	1.6201	None
ETV1	ADAMTSL2	0.51619	43.38	0.384	rgb(221,144,144)	1.8478	None
ETV1	AK5	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ETV1	AKR1B1	0.73304	49.21	0.21	rgb(219,177,177)	1.9644	None
ETV1	AMER3	0.79831	50.3	0.301	rgb(220,160,160)	1.9862	None
ETV1	ANKRD65	0.76572	49.57	0.568	rgb(223,109,110)	1.9716	None
ETV1	ARHGAP9	0.13057	21	0	rgb(217,217,217)	1.4001	None
ETV1	ARL9	0.64957	47.14	0.145	rgb(219,189,190)	1.923	None
ETV1	ASRGL1	-0.39765	38.36	-0.36	rgb(138,169,231)	1.7473	None
ETV1	ATOH8	0.66832	47.48	0.479	rgb(222,126,127)	1.9298	None
ETV1	ATP13A4	0.17332	24	0	rgb(217,217,217)	1.4601	None
ETV1	BEX1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ETV1	C14orf132	0.86679	50.54	0.541	rgb(223,114,115)	1.991	None
ETV1	C9orf16	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
ETV1	CADPS	0.27869	32	0	rgb(217,217,217)	1.6201	None
ETV1	CAMK2B	0.61611	46.55	0.601	rgb(224,102,103)	1.9112	None
ETV1	CCDC85B	-0.73119	49.16	-0.16	rgb(183,196,223)	1.9634	None
ETV1	CD52	0.96171	50.8	0.799	rgb(226, 64, 66)	1.9962	None
ETV1	CDH22	0.27096	30	0	rgb(217,217,217)	1.5801	None
ETV1	CHGB	0.9722	50.79	0.786	rgb(226, 67, 68)	1.996	None
ETV1	CHRNA1	0.67398	47.56	0.558	rgb(223,110,112)	1.9314	None
ETV1	CHRNA3	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ETV1	CHRNB2	0.40917	39.17	0.172	rgb(219,184,185)	1.7636	None
ETV1	CIB4	0.5178	42.4	0.4	rgb(221,141,141)	1.8282	None
ETV1	CLCNKA	0.15118	22	0	rgb(217,217,217)	1.4201	None
ETV1	CNIH2	0.32805	35	0	rgb(217,217,217)	1.6801	None
ETV1	CPA1	0.25535	29	0	rgb(217,217,217)	1.5601	None
ETV1	CRISPLD2	0.30343	32	0	rgb(217,217,217)	1.6201	None
ETV1	CRLF1	0.41921	38.34	0.34	rgb(221,152,153)	1.7469	None
ETV1	CTXN1	0.74717	49.4	0.396	rgb(221,141,142)	1.9682	None
ETV1	CYGB	-0.4297	39.05	-0.19	rgb(177,192,224)	1.7612	None
ETV1	CYMP	0.62652	46.34	0.34	rgb(221,152,153)	1.907	None
ETV1	DNAJC12	0.83474	50.47	0.474	rgb(222,126,127)	1.9896	None
ETV1	DOCK8	0.75717	49.55	0.549	rgb(223,112,113)	1.9712	None
ETV1	DPEP1	-0.80768	50.36	-0.36	rgb(139,170,231)	1.9874	None
ETV1	DPYSL4	-0.77451	49.68	-0.68	rgb( 69,127,243)	1.9738	None
ETV1	DYNC1I1	0.19533	25	0	rgb(217,217,217)	1.4801	None
