TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXJ1	C14orf132	0.82887	50.44	0.442	rgb(222,133,133)	1.989	None
FOXJ1	C2CD4A	0.84337	50.48	0.483	rgb(222,125,126)	1.9898	None
FOXJ1	CADPS	0.63375	47.3	0.295	rgb(220,161,161)	1.9262	None
FOXJ1	CATSPERB	0.60863	46.43	0.425	rgb(222,136,137)	1.9088	None
FOXJ1	CDH5	-0.83994	50.47	-0.47	rgb(114,155,235)	1.9896	None
FOXJ1	CDRT4	0.29533	33	0	rgb(217,217,217)	1.6401	None
FOXJ1	CELA3A	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXJ1	CELA3B	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXJ1	CHRNA1	-0.97476	50.8	-0.8	rgb( 43,111,247)	1.9962	None
FOXJ1	CHRNB2	0.63143	47.28	0.283	rgb(220,163,163)	1.9258	None
FOXJ1	CIB4	-0.53416	44.22	-0.22	rgb(169,188,225)	1.8646	None
FOXJ1	CRISPLD2	0.63143	47.28	0.279	rgb(220,164,164)	1.9258	None
FOXJ1	CSH1	0.59756	46.27	0.271	rgb(220,165,166)	1.9056	None
FOXJ1	CYP27A1	-0.84692	50.49	-0.49	rgb(111,153,235)	1.99	None
FOXJ1	DNAJC12	-0.55217	44.53	-0.53	rgb(103,148,237)	1.8708	None
FOXJ1	DPYSL3	0.59265	46.19	0.186	rgb(219,181,182)	1.904	None
FOXJ1	DRD2	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXJ1	EVA1A	-0.61702	46.58	-0.58	rgb( 92,141,239)	1.9118	None
FOXJ1	FAIM2	0.73337	49.36	0.359	rgb(221,148,149)	1.9674	None
FOXJ1	FAM167A	0.88141	50.57	0.57	rgb(223,108,109)	1.9916	None
FOXJ1	FAM65C	0.90434	50.62	0.619	rgb(224, 99,100)	1.9926	2,2
FOXJ1	FFAR2	0.43974	39.35	0.353	rgb(221,150,150)	1.7672	None
FOXJ1	FLT1	0.59864	46.29	0.288	rgb(220,162,163)	1.906	None
FOXJ1	GABBR2	0.13825	22	0	rgb(217,217,217)	1.4201	None
FOXJ1	GADD45G	-0.66303	47.62	-0.62	rgb( 82,135,241)	1.9326	None
FOXJ1	GLT8D2	-0.76712	49.62	-0.62	rgb( 82,135,241)	1.9726	None
FOXJ1	GOLGA7B	0.38852	38.19	0.189	rgb(219,181,181)	1.7439	None
FOXJ1	ITPRIP	0.9665	50.77	0.769	rgb(225, 70, 72)	1.9956	None
FOXJ1	LAPTM5	-0.86679	50.54	-0.54	rgb(100,146,237)	1.991	None
FOXJ1	LEFTY1	0.28724	31	0	rgb(217,217,217)	1.6001	None
FOXJ1	LRIG1	0.91722	50.65	0.651	rgb(224, 93, 94)	1.9932	None
FOXJ1	LTBP2	0.84692	50.49	0.485	rgb(222,124,125)	1.99	None
FOXJ1	LYPD8	-0.70892	48.61	-0.61	rgb( 86,137,240)	1.9524	2,2
FOXJ1	MS4A8	-0.51722	43.4	-0.4	rgb(129,164,232)	1.8482	None
FOXJ1	NNMT	0.73172	49.34	0.337	rgb(221,153,153)	1.967	None
FOXJ1	NPSR1-AS1	0.83635	50.46	0.462	rgb(222,129,130)	1.9894	None
FOXJ1	NREP	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXJ1	PPP1R14A	-0.8905	50.59	-0.59	rgb( 88,139,240)	1.992	None
FOXJ1	PPP1R16B	0.084387	19	0	rgb(217,217,217)	1.3601	None
FOXJ1	PRELP	-0.81524	50.39	-0.39	rgb(132,165,232)	1.988	None
FOXJ1	RASL11B	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXJ1	RIMBP2	0.6292	47.25	0.246	rgb(220,170,170)	1.9252	None
FOXJ1	SAMD14	0.8905	50.59	0.589	rgb(223,105,106)	1.992	None
FOXJ1	SBK1	0.83635	50.46	0.463	rgb(222,129,130)	1.9894	None
FOXJ1	SIDT1	0.13825	22	0	rgb(217,217,217)	1.4201	None
FOXJ1	SLC16A12	0.24796	30	0	rgb(217,217,217)	1.5801	None
FOXJ1	SLC1A2	0.59909	46.3	0.303	rgb(220,159,160)	1.9062	None
FOXJ1	SLC25A34	0.3639	37.04	0.037	rgb(217,210,210)	1.7209	None
FOXJ1	SLITRK6	-0.70669	48.58	-0.58	rgb( 91,140,239)	1.9518	None
FOXJ1	SPON2	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXJ1	SSTR2	0.26378	31	0	rgb(217,217,217)	1.6001	None
FOXJ1	SUSD2	-0.75919	49.56	-0.56	rgb( 95,143,238)	1.9714	None
FOXJ1	TFPI2	-0.36353	36.16	-0.46	rgb(117,156,234)	1.7033	None
FOXJ1	TMEM61	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXJ1	TMOD1	-0.94403	50.71	-0.71	rgb( 63,123,244)	1.9944	None
FOXJ1	TMPRSS11E	0.52891	44.06	0.059	rgb(218,206,206)	1.8614	None
FOXJ1	TOX	-0.43974	39.35	-0.35	rgb(141,171,230)	1.7672	None
FOXJ1	TSIX	-0.58352	45.54	-0.54	rgb(100,146,237)	1.891	2,2
FOXJ1	TSNAX-DISC1	0.13825	22	0	rgb(217,217,217)	1.4201	None
FOXJ1	UCP2	0.57051	45.33	0.335	rgb(221,153,154)	1.8868	None
FOXJ1	WIF1	-0.84998	50.5	-0.5	rgb(108,151,236)	1.9902	None
