TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HIC1	AK057596	-0.53763	43.17	-0.17	rgb(179,194,224)	1.8436	2,2
HIC1	AK126532	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
HIC1	AX747756	-0.93437	50.73	-0.73	rgb( 58,120,245)	1.9948	2,2
HIC1	AX747833	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HIC1	BC010924	-0.93437	50.73	-0.73	rgb( 58,120,245)	1.9948	2,2
HIC1	C14orf105	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HIC1	CD99L2	0.50363	42.12	0.123	rgb(218,193,194)	1.8226	None
HIC1	CDKN1C	0.12321	21	0	rgb(217,217,217)	1.4001	None
HIC1	CHGA	-0.91144	50.67	-0.67	rgb( 71,128,243)	1.9936	2,2
HIC1	DKFZp564E1082	-0.70458	48.44	-0.44	rgb(121,159,234)	1.949	2,2
HIC1	DLL1	0.060595	16	0	rgb(217,217,217)	1.3001	None
HIC1	DSCAML1	0.15832	24	0	rgb(217,217,217)	1.4601	None
HIC1	GADD45G	0.65238	47.21	0.212	rgb(219,176,177)	1.9244	None
HIC1	GLT8D2	0.71458	48.55	0.651	rgb(224, 93, 94)	1.9512	None
HIC1	HSPA2	0.68315	48.03	0.03	rgb(217,211,211)	1.9408	None
HIC1	HSPB7	0.60669	45.51	0.513	rgb(223,119,120)	1.8904	2,2
HIC1	IFNE	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HIC1	LOC100506123	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HIC1	MAP6	-0.43416	39.21	-0.21	rgb(172,190,225)	1.7644	None
HIC1	MSI1	-0.37166	36.18	-0.18	rgb(177,193,224)	1.7037	None
HIC1	OSBPL6	0.61347	46.5	0.496	rgb(222,122,123)	1.9102	None
HIC1	P2RX6	0.36832	37.18	0.18	rgb(219,183,183)	1.7237	None
HIC1	PCBP4	0.27869	32	0	rgb(217,217,217)	1.6201	None
HIC1	PDE6B	0.31941	33	0	rgb(217,217,217)	1.6401	None
HIC1	SERPINI1	0.29533	33	0	rgb(217,217,217)	1.6401	None
HIC1	SLC38A3	-0.62867	46.37	-0.41	rgb(128,163,233)	1.9076	None
HIC1	SSTR1	-0.68889	48.25	-0.25	rgb(162,184,227)	1.9452	None
HIC1	SYT5	-0.83474	50.47	-0.47	rgb(116,156,235)	1.9896	None
HIC1	TFPI2	0.70983	48.62	0.618	rgb(224, 99,100)	1.9526	None
HIC1	TMEM158	0.21727	28	0	rgb(217,217,217)	1.5401	None
HIC1	TSIX	-0.92003	50.69	-0.69	rgb( 68,126,243)	1.994	2,2
HIC1	TUBA3FP	0.10777	20	0	rgb(217,217,217)	1.3801	None
HIC1	VASH2	0.74201	49.43	0.431	rgb(222,135,136)	1.9688	None
HIC1	VWCE	0.25535	29	0	rgb(217,217,217)	1.5601	None
HIC1	YPEL1	0.035399	15	0	rgb(217,217,217)	1.2801	None
