TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
INSM1	AK126532	-0.4354	39.25	-0.25	rgb(162,183,227)	1.7652	2,2
INSM1	AMBP	0.035399	15	0	rgb(217,217,217)	1.2801	None
INSM1	ANKS1B	-0.57621	44.44	-0.44	rgb(121,159,234)	1.869	None
INSM1	ASRGL1	0.22515	27	0	rgb(217,217,217)	1.5201	None
INSM1	BAI1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
INSM1	BHMT	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
INSM1	C10orf10	0.78711	50.17	0.166	rgb(219,185,186)	1.9836	2,2
INSM1	CA8	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
INSM1	CAMK2B	0.71888	49.11	0.107	rgb(218,197,197)	1.9624	None
INSM1	COL16A1	-0.6247	46.31	-0.31	rgb(150,176,229)	1.9064	None
INSM1	CPLX1	0.67741	48.23	0.228	rgb(220,173,174)	1.9448	None
INSM1	DPYSL3	0.25535	29	0	rgb(217,217,217)	1.5601	None
INSM1	DYNC1I1	-0.41276	38.19	-0.19	rgb(176,192,224)	1.7439	None
INSM1	FAM105A	0.70983	48.62	0.624	rgb(224, 98, 99)	1.9526	2,2
INSM1	NEURL	0.78323	49.86	0.865	rgb(227, 52, 54)	1.9774	2,2
INSM1	NKX2-2	0.40202	38.52	0.516	rgb(223,118,119)	1.7506	2,2
INSM1	PAX4	0.93656	50.69	0.695	rgb(225, 84, 86)	1.994	2,2
INSM1	PGA5	0.90202	50.61	0.613	rgb(224,100,101)	1.9924	None
INSM1	PPP1R14A	0.16638	23	0	rgb(217,217,217)	1.4401	None
INSM1	RUNDC3A	0.50363	42.12	0.294	rgb(220,161,161)	1.8226	None
INSM1	SLC25A34	0.5418	43.28	0.281	rgb(220,163,164)	1.8458	None
INSM1	SYP	0.10777	20	0	rgb(217,217,217)	1.3801	None
