TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
LMX1A	ABCC8	0.59071	46.13	0.134	rgb(218,191,192)	1.9028	None
LMX1A	ACTN3	0.21727	28	0	rgb(217,217,217)	1.5401	None
LMX1A	AGT	0.93437	50.73	0.73	rgb(225, 78, 79)	1.9948	None
LMX1A	AK5	0.11582	20	0	rgb(217,217,217)	1.3801	None
LMX1A	AMBP	0.60062	45.4	0.4	rgb(221,141,141)	1.8882	None
LMX1A	AMPD3	0.10777	20	0	rgb(217,217,217)	1.3801	None
LMX1A	ANKS1B	0.71974	48.63	0.635	rgb(224, 96, 97)	1.9528	None
LMX1A	ARL9	-0.34015	34.18	-0.18	rgb(178,194,224)	1.6637	None
LMX1A	ASRGL1	-0.39475	37.24	-0.24	rgb(166,186,226)	1.7249	None
LMX1A	BAALC	0.53486	44.23	0.234	rgb(220,172,173)	1.8648	None
LMX1A	BEX1	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
LMX1A	C1QL1	0.58269	45.53	0.526	rgb(223,117,118)	1.8908	None
LMX1A	CATSPERB	0.30343	32	0	rgb(217,217,217)	1.6201	None
LMX1A	CD200	0.45576	40.16	0.163	rgb(219,186,186)	1.7834	None
LMX1A	CD99L2	-0.41466	38.23	-0.23	rgb(168,187,226)	1.7447	None
LMX1A	CDKN1C	0.46658	40.42	0.416	rgb(222,138,138)	1.7886	None
LMX1A	CELA3A	0.23961	28	0	rgb(217,217,217)	1.5401	None
LMX1A	CELF3	0.44506	39.47	0.471	rgb(222,127,128)	1.7696	None
LMX1A	CHRNA1	-0.40145	37.42	-0.42	rgb(126,162,233)	1.7285	None
LMX1A	CIB4	-0.60359	45.44	-0.44	rgb(121,158,234)	1.889	None
LMX1A	CNIH2	0.21045	26	0	rgb(217,217,217)	1.5001	None
LMX1A	CPA1	0.32805	35	0	rgb(217,217,217)	1.6801	None
LMX1A	CPE	0.55766	43.69	0.69	rgb(225, 85, 87)	1.854	None
LMX1A	CPLX1	-0.37926	36.36	-0.36	rgb(139,169,231)	1.7073	None
LMX1A	CYMP	-0.60599	45.49	-0.49	rgb(111,153,235)	1.89	None
LMX1A	DACH1	0.63726	46.49	0.488	rgb(222,124,125)	1.91	None
LMX1A	DLL4	-0.49674	41.54	-0.54	rgb(101,146,237)	1.811	None
LMX1A	DPEP1	0.78439	50.05	0.277	rgb(220,164,165)	1.9812	None
LMX1A	DRD2	-0.75523	49.47	-0.47	rgb(115,155,235)	1.9696	None
LMX1A	DSCAML1	0.76055	49.57	0.566	rgb(223,109,110)	1.9716	None
LMX1A	ENPP2	-0.4114	38.15	-0.15	rgb(184,197,223)	1.7431	None
LMX1A	EPHB3	-0.76311	49.55	-0.55	rgb( 98,144,238)	1.9712	None
LMX1A	EVA1A	0.068278	17	0	rgb(217,217,217)	1.3201	None
LMX1A	FAM110B	0.23296	29	0	rgb(217,217,217)	1.5601	None
LMX1A	FFAR2	0.60487	46.37	0.374	rgb(221,146,146)	1.9076	None
LMX1A	FJX1	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1A	FLT1	-0.67955	47.68	-0.68	rgb( 69,127,243)	1.9338	None
LMX1A	GABRE	0.41351	38.2	0.2	rgb(219,179,179)	1.7441	None
LMX1A	GAL	0.10777	20	0	rgb(217,217,217)	1.3801	None
LMX1A	GLT8D2	0.016605	14	0	rgb(217,217,217)	1.2601	None
LMX1A	GOLGA7B	0.19533	25	0	rgb(217,217,217)	1.4801	None
LMX1A	GRHL3	0.016605	14	0	rgb(217,217,217)	1.2601	None
LMX1A	HCP5	0.55919	44.03	0.343	rgb(221,152,152)	1.8608	None
LMX1A	HECW2	0.61446	45.73	0.734	rgb(225, 77, 78)	1.8948	None
LMX1A	HMGB3	-0.75613	49.54	-0.54	rgb(100,146,237)	1.971	None
LMX1A	HOPX	0.50789	42.22	0.222	rgb(219,175,175)	1.8246	None
LMX1A	HSPA2	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1A	ITPRIP	0.15118	22	0	rgb(217,217,217)	1.4201	None
LMX1A	JAM3	0.58476	44.66	0.66	rgb(224, 91, 92)	1.8734	None
LMX1A	LAPTM5	0.060595	16	0	rgb(217,217,217)	1.3001	None
LMX1A	LRIG1	-0.92577	50.71	-0.71	rgb( 64,124,244)	1.9944	None
LMX1A	LRRC10B	-0.38426	36.51	-0.51	rgb(105,149,237)	1.7103	None
LMX1A	LZTS1	-0.68158	47.73	-0.73	rgb( 58,120,245)	1.9348	None
LMX1A	MALAT1	0.25535	29	0	rgb(217,217,217)	1.5601	None
LMX1A	MDK	0.27096	30	0	rgb(217,217,217)	1.5801	None
LMX1A	MPP2	-0.65923	47.35	-0.35	rgb(141,171,230)	1.9272	None
LMX1A	MS4A8	0.70715	48.47	0.472	rgb(222,127,128)	1.9496	None
LMX1A	MUC15	-0.54767	43.4	-0.4	rgb(129,164,232)	1.8482	None
LMX1A	MYT1	0.016605	14	0	rgb(217,217,217)	1.2601	None
LMX1A	NEUROD2	0.16638	23	0	rgb(217,217,217)	1.4401	None
LMX1A	NINJ1	-0.62189	46.83	-0.83	rgb( 37,108,249)	1.9168	None
LMX1A	NKAIN1	0.23961	28	0	rgb(217,217,217)	1.5401	None
LMX1A	NNMT	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1A	NOTUM	-0.49162	41.41	-0.41	rgb(129,163,232)	1.8084	None
LMX1A	P2RX6	0.30343	32	0	rgb(217,217,217)	1.6201	None
LMX1A	PCSK1	0.53416	44.22	0.218	rgb(219,175,176)	1.8646	None
LMX1A	PDZRN3	-0.49025	41.38	-0.38	rgb(134,166,232)	1.8078	None
