TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MAFA	ADAMTSL2	0.69979	48.5	0.505	rgb(223,121,122)	1.9502	None
MAFB	ADAMTSL2	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFA	AKR1B1	0.786	50.13	0.126	rgb(218,193,193)	1.9828	None
MAFB	AKR1B1	-0.48104	42.24	-0.24	rgb(164,185,226)	1.825	None
MAFA	AMBP	0.7254	49.27	0.266	rgb(220,166,167)	1.9656	None
MAFB	AMBP	0.21045	26	0	rgb(217,217,217)	1.5001	None
MAFA	AMER3	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFB	AMER3	0.76663	49.58	0.577	rgb(223,107,108)	1.9718	None
MAFA	ANKS1B	0.27869	32	0	rgb(217,217,217)	1.6201	None
MAFB	ANKS1B	0.016605	14	0	rgb(217,217,217)	1.2601	None
MAFA	ASRGL1	-0.5418	43.28	-0.28	rgb(157,181,227)	1.8458	None
MAFB	ASRGL1	0.32805	35	0	rgb(217,217,217)	1.6801	None
MAFA	ATP13A4	0.12321	21	0	rgb(217,217,217)	1.4001	None
MAFB	ATP13A4	0.35019	36.18	0.185	rgb(219,182,182)	1.7037	None
MAFA	BCRP3	0.96026	50.75	0.754	rgb(225, 73, 75)	1.9952	None
MAFB	BCRP3	-0.82656	50.43	-0.43	rgb(123,160,234)	1.9888	None
MAFA	C1QL1	0.59983	45.38	0.382	rgb(221,144,145)	1.8878	None
MAFB	C1QL1	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	C2CD4A	0.83635	50.46	0.455	rgb(222,130,131)	1.9894	None
MAFB	C2CD4A	0.0067328	14	0	rgb(217,217,217)	1.2601	None
MAFA	CACNA1H	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	None
MAFB	CACNA1H	0.10777	20	0	rgb(217,217,217)	1.3801	None
MAFA	CACNG4	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	CACNG4	0.97336	50.84	0.844	rgb(226, 56, 57)	1.997	None
MAFA	CADPS	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFB	CADPS	-0.63416	46.45	-0.45	rgb(119,158,234)	1.9092	None
MAFA	CATSPERB	-0.91144	50.67	-0.67	rgb( 71,128,242)	1.9936	None
MAFB	CATSPERB	0.027303	15	0	rgb(217,217,217)	1.2801	None
MAFA	CD99L2	0.86679	50.54	0.542	rgb(223,113,115)	1.991	None
MAFB	CD99L2	-0.49831	42.56	-0.56	rgb( 94,142,238)	1.8314	None
MAFA	CDH22	0.79228	50.25	0.253	rgb(220,169,169)	1.9852	None
MAFB	CDH22	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	CDH5	0.27869	32	0	rgb(217,217,217)	1.6201	None
MAFB	CDH5	0.035399	15	0	rgb(217,217,217)	1.2801	None
MAFA	CDKN1C	0.56382	45.23	0.225	rgb(219,174,174)	1.8848	None
MAFB	CDKN1C	0.95568	50.74	0.744	rgb(225, 75, 76)	1.995	None
MAFA	CDRT4	0.21727	28	0	rgb(217,217,217)	1.5401	None
MAFB	CDRT4	0.37241	37.28	0.28	rgb(220,164,164)	1.7257	None
MAFA	CELA3A	0.25535	29	0	rgb(217,217,217)	1.5601	None
MAFB	CELA3A	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFA	CELA3B	0.93656	50.69	0.691	rgb(225, 85, 86)	1.994	None
MAFB	CELA3B	-0.93656	50.69	-0.69	rgb( 68,126,243)	1.994	None
MAFA	CHGA	-0.99281	50.89	-0.89	rgb( 24,100,251)	1.998	None
MAFB	CHGA	0.96026	50.75	0.747	rgb(225, 74, 76)	1.9952	None
MAFA	CHGB	0.42454	38.49	0.488	rgb(222,124,125)	1.7499	None
MAFB	CHGB	0.82148	50.41	0.411	rgb(222,138,139)	1.9884	None
MAFA	CIB4	-0.66093	47.38	-0.38	rgb(135,167,231)	1.9278	None
MAFB	CIB4	0.20355	27	0	rgb(217,217,217)	1.5201	None
MAFA	CNIH2	0.34932	35.08	0.083	rgb(218,201,201)	1.6817	None
MAFB	CNIH2	0.59091	45.19	0.188	rgb(219,181,181)	1.884	None
MAFA	COL16A1	0.084387	19	0	rgb(217,217,217)	1.3601	None
