TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NEUROD1	ABCC8	0.91722	50.65	0.653	rgb(224, 92, 94)	1.9932	None
NEUROD1	ADAMTSL2	0.99356	50.93	0.931	rgb(227, 39, 41)	1.9988	None
NEUROD1	AGT	0.99632	50.95	0.949	rgb(227, 36, 38)	1.9992	None
NEUROD1	AKR1B1	0.99356	50.93	0.933	rgb(227, 39, 41)	1.9988	None
NEUROD1	AMBP	0.87922	50.6	0.604	rgb(224,102,103)	1.9922	None
NEUROD1	AMPD3	0.99847	50.97	0.967	rgb(228, 32, 34)	1.9996	None
NEUROD1	ANKRD65	0.98563	50.89	0.886	rgb(227, 48, 50)	1.998	None
NEUROD1	ARHGAP9	0.99157	50.92	0.919	rgb(227, 42, 43)	1.9986	None
NEUROD1	ARHGEF25	0.84866	50.51	0.511	rgb(223,119,120)	1.9904	2,2
NEUROD1	ARHGEF26-AS1	-0.37852	36.34	-0.34	rgb(142,172,230)	1.7069	None
NEUROD1	ATOH8	0.94973	50.77	0.772	rgb(225, 70, 71)	1.9956	None
NEUROD1	ATP13A4	-0.62222	46.9	-0.9	rgb( 21, 98,251)	1.9182	None
NEUROD1	BAI1	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
NEUROD1	BCRP3	0.97336	50.84	0.845	rgb(226, 56, 57)	1.997	None
NEUROD1	BEX1	0.94403	50.71	0.711	rgb(225, 81, 83)	1.9944	2,2
NEUROD1	BHMT	0.89261	50.63	0.629	rgb(224, 97, 98)	1.9928	2,2
NEUROD1	C10orf10	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
NEUROD1	C14orf132	0.75192	49.45	0.449	rgb(222,131,132)	1.9692	None
NEUROD1	C1QL1	0.99847	50.97	0.966	rgb(228, 33, 35)	1.9996	None
NEUROD1	C9orf16	0.72292	48.68	0.679	rgb(224, 87, 89)	1.9538	None
NEUROD1	CABP7	0.99748	50.96	0.961	rgb(228, 33, 35)	1.9994	None
NEUROD1	CACNA1H	0.98736	50.9	0.899	rgb(227, 45, 47)	1.9982	None
NEUROD1	CADPS	0.971	50.83	0.829	rgb(226, 59, 60)	1.9968	None
NEUROD1	CAMK2B	0.79438	50.23	0.227	rgb(219,174,174)	1.9848	None
NEUROD1	CD99L2	0.95799	50.79	0.787	rgb(226, 67, 68)	1.996	None
NEUROD1	CDH22	0.99356	50.93	0.932	rgb(227, 39, 41)	1.9988	None
NEUROD1	CDH5	0.92577	50.71	0.715	rgb(225, 81, 82)	1.9944	None
NEUROD1	CHGA	0.99988	50.98	0.981	rgb(228, 30, 32)	1.9998	None
NEUROD1	CHGB	0.60091	46.32	0.319	rgb(221,156,157)	1.9066	None
NEUROD1	CHRNA1	0.99748	50.96	0.956	rgb(228, 34, 36)	1.9994	None
NEUROD1	CHRNA3	0.72986	49.13	0.127	rgb(218,193,193)	1.9628	2,2
NEUROD1	CIB4	0.37109	36.16	0.163	rgb(219,186,186)	1.7033	None
NEUROD1	CLCNKA	0.91322	50.68	0.675	rgb(224, 88, 89)	1.9938	None
NEUROD1	CLPS	0.99632	50.95	0.949	rgb(227, 36, 38)	1.9992	None
NEUROD1	COL16A1	0.98893	50.91	0.914	rgb(227, 42, 44)	1.9984	None
NEUROD1	CPLX1	0.79211	50.18	0.184	rgb(219,182,182)	1.9838	None
NEUROD1	CRISPLD2	0.95374	50.78	0.784	rgb(226, 67, 69)	1.9958	None
NEUROD1	DACH1	0.98344	50.88	0.881	rgb(227, 49, 50)	1.9978	None
NEUROD1	DLL4	0.98121	50.87	0.869	rgb(227, 51, 53)	1.9976	None
NEUROD1	DPYSL3	0.7494	49.43	0.435	rgb(222,134,135)	1.9688	None
