TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NEUROG3	ABCC8	0.99632	50.95	0.953	rgb(227, 35, 37)	1.9992	None
NEUROG3	AK5	0.98563	50.89	0.889	rgb(227, 47, 49)	1.998	None
NEUROG3	AMER3	0.98563	50.89	0.891	rgb(227, 47, 49)	1.998	None
NEUROG3	AMPD3	0.21045	26	0	rgb(217,217,217)	1.5001	None
NEUROG3	ARHGAP9	0.8905	50.59	0.587	rgb(223,105,106)	1.992	None
NEUROG3	ATOH8	0.36592	37.13	0.135	rgb(218,191,192)	1.7227	None
NEUROG3	AX747833	-0.37914	37.47	-0.47	rgb(116,155,235)	1.7295	2,2
NEUROG3	BAALC	0.99632	50.95	0.954	rgb(227, 35, 37)	1.9992	None
NEUROG3	BAI2	0.64502	46.69	0.688	rgb(225, 86, 87)	1.914	2,2
NEUROG3	BHMT	0.93036	50.72	0.725	rgb(225, 79, 80)	1.9946	2,2
NEUROG3	C14orf132	0.99847	50.97	0.969	rgb(228, 32, 34)	1.9996	None
NEUROG3	C9orf16	0.90434	50.62	0.621	rgb(224, 98,100)	1.9926	None
NEUROG3	CABP7	0.98249	50.83	0.827	rgb(226, 59, 61)	1.9968	None
NEUROG3	CACNG4	0.94601	50.76	0.764	rgb(225, 71, 73)	1.9954	None
NEUROG3	CADPS	0.94031	50.74	0.742	rgb(225, 75, 77)	1.995	None
NEUROG3	CAMK2B	0.98563	50.89	0.886	rgb(227, 48, 50)	1.998	None
NEUROG3	CDH22	0.060595	16	0	rgb(217,217,217)	1.3001	None
NEUROG3	CDRT4	0.72441	48.72	0.724	rgb(225, 79, 80)	1.9546	None
NEUROG3	CELA3A	0.98996	50.91	0.912	rgb(227, 43, 45)	1.9984	None
NEUROG3	CHGB	0.99913	50.98	0.984	rgb(228, 29, 31)	1.9998	None
NEUROG3	CHRNA1	0.7126	48.67	0.667	rgb(224, 90, 91)	1.9536	None
NEUROG3	CIB4	0.71169	48.65	0.652	rgb(224, 92, 94)	1.9532	None
NEUROG3	CLPS	0.98637	50.85	0.846	rgb(226, 56, 57)	1.9972	None
NEUROG3	CPLX1	0.83143	50.46	0.464	rgb(222,128,129)	1.9894	None
NEUROG3	CRISPLD2	0.94031	50.7	0.702	rgb(225, 83, 84)	1.9942	None
NEUROG3	CSF1R	0.89938	50.65	0.648	rgb(224, 93, 95)	1.9932	None
NEUROG3	CYP27A1	-0.64436	47.41	-0.41	rgb(129,163,232)	1.9284	None
NEUROG3	DKFZp686O16217	0.87278	50.55	0.549	rgb(223,112,113)	1.9912	2,2
NEUROG3	DNAJC12	0.99959	50.99	0.987	rgb(228, 28, 30)	2	None
NEUROG3	DOCK8	0.98563	50.89	0.891	rgb(227, 47, 49)	1.998	None
NEUROG3	DPYSL3	0.59488	46.23	0.23	rgb(220,173,174)	1.9048	None
NEUROG3	DRD2	0.95568	50.74	0.739	rgb(225, 76, 77)	1.995	None
NEUROG3	DSCAML1	0.96501	50.81	0.814	rgb(226, 62, 63)	1.9964	None
NEUROG3	ENPP2	0.99748	50.96	0.963	rgb(228, 33, 35)	1.9994	None
NEUROG3	EPHB3	0.85502	50.53	0.534	rgb(223,115,116)	1.9908	None
NEUROG3	FAM126A	0.97889	50.86	0.863	rgb(226, 52, 54)	1.9974	None
NEUROG3	FAM46C	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
NEUROG3	FAM65C	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
NEUROG3	FLJ00385	0.71904	49.12	0.121	rgb(218,194,194)	1.9626	2,2
NEUROG3	FLJ38723	0.39021	37.1	0.098	rgb(218,198,199)	1.7221	2,2
NEUROG3	FLT1	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
