TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NHLH1	ACTN3	0.92396	50.66	0.664	rgb(224, 90, 92)	1.9934	None
NHLH1	ADAMTSL2	0.1881	26	0	rgb(217,217,217)	1.5001	None
NHLH1	AK027332	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NHLH1	AK126532	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
NHLH1	AMBP	-0.43061	39.08	-0.083	rgb(199,206,220)	1.7618	None
NHLH1	ANKS1B	0.21727	28	0	rgb(217,217,217)	1.5401	None
NHLH1	ARHGAP9	0.94403	50.71	0.712	rgb(225, 81, 82)	1.9944	None
NHLH1	ARL9	0.69711	48.36	0.356	rgb(221,149,150)	1.9474	None
NHLH1	ATOH8	-0.34221	34.31	-0.31	rgb(150,176,229)	1.6663	None
NHLH1	AX747264	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
NHLH1	BAI2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
NHLH1	C2CD4A	0.82887	50.44	0.436	rgb(222,134,135)	1.989	None
NHLH1	C9orf16	0.68038	48.28	0.736	rgb(225, 76, 78)	1.9458	None
NHLH1	CACNA1H	0.44391	39.44	0.439	rgb(222,133,134)	1.769	None
NHLH1	CAMK2B	0.95799	50.79	0.792	rgb(226, 66, 67)	1.996	None
NHLH1	CBFA2T3	0.21045	26	0	rgb(217,217,217)	1.5001	None
NHLH1	CD52	0.35328	36.26	0.258	rgb(220,168,168)	1.7053	2,2
NHLH1	CDKN1C	0.9278	50.67	0.667	rgb(224, 90, 91)	1.9936	None
NHLH1	CDRT4	0.49112	42.39	0.386	rgb(221,143,144)	1.828	None
NHLH1	CELA3B	0.87278	50.55	0.551	rgb(223,112,113)	1.9912	None
NHLH1	CLCNKA	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	COL16A1	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	None
NHLH1	CR627206	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NHLH1	CRLF1	0.22515	27	0	rgb(217,217,217)	1.5201	None
NHLH1	CSF1R	0.51132	43.29	0.291	rgb(220,161,162)	1.846	None
NHLH1	CTSL2	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
NHLH1	CYP27A1	0.29533	33	0	rgb(217,217,217)	1.6401	None
NHLH1	DKFZp564E1082	-0.3938	37.2	-0.2	rgb(174,191,225)	1.7241	2,2
NHLH1	DKFZp686O16217	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
NHLH1	DLL4	0.0067328	14	0	rgb(217,217,217)	1.2601	None
