TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NR4A3	AGT	0.90913	50.63	0.63	rgb(224, 97, 98)	1.9928	None
NR4A3	AK092048	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
NR4A3	AMBP	0.22515	27	0	rgb(217,217,217)	1.5201	None
NR4A3	ANKS1B	0.13825	22	0	rgb(217,217,217)	1.4201	None
NR4A3	ARHGEF25	0.46117	41.29	0.294	rgb(220,161,161)	1.806	2,2
NR4A3	ATP13A4	0.37757	37.4	0.396	rgb(221,141,142)	1.7281	None
NR4A3	BCRP3	0.15832	24	0	rgb(217,217,217)	1.4601	None
NR4A3	BTBD17	0.10777	20	0	rgb(217,217,217)	1.3801	None
NR4A3	C14orf132	0.21727	28	0	rgb(217,217,217)	1.5401	None
NR4A3	C2CD4A	0.10777	20	0	rgb(217,217,217)	1.3801	None
NR4A3	CACNA1H	0.80768	50.36	0.363	rgb(221,148,148)	1.9874	None
NR4A3	CADPS	0.59327	46.2	0.199	rgb(219,179,179)	1.9042	None
NR4A3	CAMK2B	0.21727	28	0	rgb(217,217,217)	1.5401	None
NR4A3	CCDC85B	0.27869	32	0	rgb(217,217,217)	1.6201	None
NR4A3	CD200	0.43722	39.29	0.294	rgb(220,161,161)	1.766	None
NR4A3	CD52	-0.77311	49.64	-0.64	rgb( 79,133,241)	1.973	None
NR4A3	CD99L2	0.54742	44.43	0.429	rgb(222,135,136)	1.8688	None
NR4A3	CDH5	0.068278	17	0	rgb(217,217,217)	1.3201	None
NR4A3	CDKN1C	0.94031	50.7	0.7	rgb(225, 83, 85)	1.9942	None
NR4A3	CHRNA3	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
NR4A3	CHRNB2	0.81524	50.39	0.394	rgb(221,142,143)	1.988	None
NR4A3	CIB4	0.24796	30	0	rgb(217,217,217)	1.5801	None
NR4A3	CLPS	0.027303	15	0	rgb(217,217,217)	1.2801	None
NR4A3	COL16A1	0.97476	50.8	0.803	rgb(226, 64, 65)	1.9962	None
NR4A3	CPLX1	0.39042	38.22	0.222	rgb(219,175,175)	1.7445	None
NR4A3	CRISPLD2	0.28724	31	0	rgb(217,217,217)	1.6001	None
