TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PAX4	AK027252	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
PAX4	AK092048	0.64523	47.42	0.42	rgb(222,137,138)	1.9286	2,2
PAX4	AK5	0.64019	46.56	0.562	rgb(223,110,111)	1.9114	None
PAX4	ARHGAP9	-0.71458	48.55	-0.55	rgb( 98,145,238)	1.9512	None
PAX4	ARHGEF25	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
PAX4	ARHGEF26-AS1	0.36212	35.43	0.435	rgb(222,134,135)	1.6887	None
PAX4	ATOH8	-0.4202	38.36	-0.36	rgb(140,170,231)	1.7473	None
PAX4	C10orf10	-0.55886	45.09	-0.088	rgb(198,205,220)	1.882	2,2
PAX4	C1QL1	0.63494	46.46	0.459	rgb(222,129,130)	1.9094	None
PAX4	C2CD4A	0.74639	49.46	0.457	rgb(222,130,131)	1.9694	None
PAX4	CACNA1H	-0.89261	50.63	-0.63	rgb( 80,133,241)	1.9928	None
PAX4	CADPS	-0.63201	46.42	-0.42	rgb(125,161,233)	1.9086	None
PAX4	CATSPERB	0.77311	49.64	0.642	rgb(224, 94, 96)	1.973	None
PAX4	CD200	0.67307	48.11	0.106	rgb(218,197,197)	1.9424	None
PAX4	CDH5	-0.5102	42.27	-0.27	rgb(159,182,227)	1.8256	None
PAX4	CDRT4	0.092482	18	0	rgb(217,217,217)	1.3401	None
PAX4	CELA3A	0.98001	50.82	0.818	rgb(226, 61, 62)	1.9966	None
PAX4	CELA3B	0.98637	50.85	0.846	rgb(226, 55, 57)	1.9972	None
PAX4	CELF3	-0.63817	46.51	-0.51	rgb(107,150,236)	1.9104	None
PAX4	CHRNA3	0.34552	36.07	0.074	rgb(218,203,203)	1.7015	2,2
PAX4	CNIH2	0.98827	50.86	0.862	rgb(226, 52, 54)	1.9974	None
PAX4	COL16A1	-0.82772	50.44	-0.44	rgb(123,160,234)	1.989	None
PAX4	CRLF1	0.48996	42.37	0.373	rgb(221,146,147)	1.8276	None
PAX4	CSF1R	-0.66435	47.43	-0.43	rgb(123,160,233)	1.9288	None
PAX4	CYGB	0.90202	50.61	0.615	rgb(224,100,101)	1.9924	None
PAX4	DLL1	0.23296	29	0	rgb(217,217,217)	1.5601	None
PAX4	DLL4	-0.82292	50.42	-0.42	rgb(127,162,233)	1.9886	None
PAX4	EPHB3	-0.90669	50.66	-0.66	rgb( 74,130,242)	1.9934	None
PAX4	FAIM2	0.98459	50.84	0.84	rgb(226, 57, 58)	1.997	None
PAX4	FAM110B	0.65973	47.57	0.567	rgb(223,109,110)	1.9316	None
PAX4	FAM167A	-0.66518	47.44	-0.44	rgb(121,159,234)	1.929	None
PAX4	FJX1	0.016605	14	0	rgb(217,217,217)	1.2601	None
PAX4	GABRE	0.63494	46.46	0.456	rgb(222,130,131)	1.9094	None
PAX4	GNG4	-0.43722	39.29	-0.29	rgb(155,179,228)	1.766	None
PAX4	GRASP	-0.82292	50.42	-0.42	rgb(127,162,233)	1.9886	None
PAX4	GRHL3	-0.54577	43.36	-0.36	rgb(139,169,231)	1.8474	None
PAX4	H1FX-AS1	-0.88385	50.61	-0.61	rgb( 86,137,240)	1.9924	None
PAX4	HSPA2	-0.48005	41.17	-0.17	rgb(180,195,223)	1.8036	None
PAX4	HV535469	0.65543	47.28	0.277	rgb(220,164,165)	1.9258	2,2
PAX4	IGFN1	-0.68889	48.25	-0.25	rgb(164,185,226)	1.9452	None
PAX4	ITPRIP	0.22515	27	0	rgb(217,217,217)	1.5201	None
PAX4	KCNH6	-0.56361	44.18	-0.18	rgb(179,194,224)	1.8638	None
PAX4	KCNJ11	0.016605	14	0	rgb(217,217,217)	1.2601	None
