TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
RFX6	AK5	0.51338	42.32	0.319	rgb(221,156,157)	1.8266	None
RFX6	AMER3	0.96943	50.78	0.84	rgb(226, 57, 58)	1.9958	None
RFX6	ANKRD65	0.97749	50.81	0.813	rgb(226, 62, 63)	1.9964	None
RFX6	ANKS1B	0.17332	24	0	rgb(217,217,217)	1.4601	None
RFX6	ARL9	0.91722	50.65	0.652	rgb(224, 93, 94)	1.9932	None
RFX6	ATOH8	-0.34341	34.37	-0.37	rgb(137,168,231)	1.6675	None
RFX6	ATP13A4	0.19533	25	0	rgb(217,217,217)	1.4801	None
RFX6	BCRP3	-0.95374	50.78	-0.78	rgb( 47,114,247)	1.9958	None
RFX6	BTBD17	0.99587	50.92	0.925	rgb(227, 40, 42)	1.9986	None
RFX6	C14orf132	0.95568	50.74	0.737	rgb(225, 76, 78)	1.995	None
RFX6	C2CD4A	0.39083	37.12	0.122	rgb(218,194,194)	1.7225	None
RFX6	CA8	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
RFX6	CABP7	-0.45192	41.07	-0.59	rgb( 90,140,239)	1.8016	None
RFX6	CACNA1H	0.70132	48.52	0.522	rgb(223,117,118)	1.9506	None
RFX6	CACNG4	0.9722	50.79	0.79	rgb(226, 66, 68)	1.996	None
RFX6	CADPS	0.86101	50.55	0.553	rgb(223,111,113)	1.9912	None
RFX6	CAMK2B	0.10029	19	0	rgb(217,217,217)	1.3601	None
RFX6	CBFA2T3	0.73779	49.28	0.284	rgb(220,163,163)	1.9658	None
RFX6	CD200	0.96171	50.8	0.801	rgb(226, 64, 66)	1.9962	None
RFX6	CDH22	0.48331	42.27	0.271	rgb(220,165,166)	1.8256	None
RFX6	CELF3	0.99847	50.97	0.97	rgb(228, 32, 34)	1.9996	None
RFX6	CHRNA1	-0.78476	49.85	-0.85	rgb( 32,105,249)	1.9772	None
RFX6	CHRNA3	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
RFX6	CIB4	0.11582	20	0	rgb(217,217,217)	1.3801	None
RFX6	CNIH2	0.98736	50.9	0.9	rgb(227, 45, 47)	1.9982	None
RFX6	CPA1	0.90669	50.66	0.658	rgb(224, 91, 93)	1.9934	None
RFX6	CTXN1	0.97336	50.84	0.84	rgb(226, 57, 58)	1.997	None
RFX6	DACH1	0.87096	50.58	0.579	rgb(223,106,108)	1.9918	None
RFX6	DLL1	0.76258	49.58	0.581	rgb(223,106,107)	1.9718	None
RFX6	DNAJC12	0.78385	49.91	0.913	rgb(227, 43, 45)	1.9784	None
RFX6	DPEP1	0.87278	50.55	0.553	rgb(223,111,113)	1.9912	None
RFX6	ELFN1	0.97336	50.84	0.837	rgb(226, 57, 59)	1.997	None
RFX6	FAM110B	0.85502	50.53	0.527	rgb(223,116,117)	1.9908	None
RFX6	FAM167A	0.89261	50.63	0.629	rgb(224, 97, 98)	1.9928	None
RFX6	FFAR2	0.93036	50.72	0.723	rgb(225, 79, 80)	1.9946	None
RFX6	FJX1	0.13057	21	0	rgb(217,217,217)	1.4001	None
RFX6	GABBR2	0.77485	49.66	0.659	rgb(224, 91, 92)	1.9734	None
RFX6	GGT5	-0.77683	49.68	-0.68	rgb( 70,127,243)	1.9738	None
RFX6	GNG4	0.34027	34.19	0.193	rgb(219,180,181)	1.6639	None
RFX6	GRHL3	0.45642	40.18	0.178	rgb(219,183,183)	1.7838	None
RFX6	GTF2IRD1P1	0.43189	40.18	0.177	rgb(219,183,184)	1.7838	None
RFX6	H1FX-AS1	0.81429	50.38	0.38	rgb(221,144,145)	1.9878	None
RFX6	HECW2	0.70223	48.42	0.425	rgb(222,136,137)	1.9486	None
RFX6	HEPACAM2	0.79884	50.31	0.307	rgb(220,158,159)	1.9864	None
RFX6	HEYL	0.81524	50.39	0.392	rgb(221,142,143)	1.988	None
RFX6	HOPX	0.99434	50.9	0.901	rgb(227, 45, 47)	1.9982	None
RFX6	HSPB7	-0.83635	50.46	-0.46	rgb(118,157,234)	1.9894	None
RFX6	IGFBPL1	0.40008	37.39	0.393	rgb(221,142,143)	1.7279	2,2
RFX6	INSM1	0.84998	50.5	0.503	rgb(223,121,122)	1.9902	None
RFX6	JAM3	0.99748	50.96	0.962	rgb(228, 33, 35)	1.9994	None
RFX6	KCNF1	-0.7242	48.71	-0.71	rgb( 64,124,244)	1.9544	None
RFX6	KCNH6	0.99748	50.96	0.963	rgb(228, 33, 35)	1.9994	None
RFX6	KCNJ11	0.83804	50.48	0.476	rgb(222,126,127)	1.9898	None
RFX6	KCTD12	0.90669	50.66	0.664	rgb(224, 90, 92)	1.9934	None
RFX6	KIAA1324	-0.53366	43.03	-0.034	rgb(210,213,218)	1.8408	None
