TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
TET1	AF086346	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
TET1	AK026392	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
TET1	AK027252	-0.42784	38.7	-0.7	rgb( 65,124,244)	1.7542	2,2
TET1	AK027840	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
TET1	AK097012	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
TET1	AK129879	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
TET1	AL832937	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
TET1	BC041654	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
TET1	BTBD17	-0.35655	36.33	-0.33	rgb(146,174,229)	1.7067	None
TET1	DACH1	0.69314	48.43	0.427	rgb(222,135,136)	1.9488	None
TET1	DPCR1	0.86679	50.54	0.536	rgb(223,115,116)	1.991	2,2
TET1	DPYSL4	-0.59637	46.25	-0.25	rgb(164,185,226)	1.9052	None
TET1	DQ588114	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
TET1	FAM46C	0.47274	41.63	0.634	rgb(224, 96, 97)	1.8128	2,2
TET1	FAM65C	0.41834	38.33	0.333	rgb(221,153,154)	1.7467	2,2
TET1	FLJ38723	0.87096	50.58	0.603	rgb(224,102,103)	1.9918	2,2
TET1	G0S2	-0.6893	48.39	-0.39	rgb(133,166,232)	1.948	None
TET1	GABRE	-0.99281	50.89	-0.89	rgb( 23, 99,251)	1.998	None
TET1	GADD45G	0.27096	30	0	rgb(217,217,217)	1.5801	None
TET1	HES6	0.10029	19	0	rgb(217,217,217)	1.3601	None
TET1	IL17C	-0.57237	45.36	-0.36	rgb(139,169,231)	1.8874	2,2
TET1	LINC00930	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
TET1	LYPD8	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
TET1	NINJ1	-0.98249	50.83	-0.83	rgb( 38,108,248)	1.9968	None
TET1	NREP	0.37092	36.15	0.147	rgb(219,189,189)	1.7031	None
TET1	P2RX6	0.74886	49.48	0.482	rgb(222,125,126)	1.9698	None
TET1	PPP1R16B	0.70574	48.57	0.57	rgb(223,108,109)	1.9516	None
TET1	RASD1	-0.86254	50.53	-0.53	rgb(102,147,237)	1.9908	None
TET1	SEMA6B	0.73408	49.22	0.346	rgb(221,151,152)	1.9646	None
TET1	TBC1D3C	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
TET1	TMEM158	0.23961	28	0	rgb(217,217,217)	1.5401	None
TET1	TMOD1	-0.65456	47.52	-0.52	rgb(103,148,237)	1.9306	None
TET1	abParts	0.46658	40.42	0.422	rgb(222,136,137)	1.7886	2,2
