TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZNF846	ABCC8	0.27096	30	0	rgb(217,217,217)	1.5801	None
ZNF846	ACTN3	-0.39455	38.29	-0.29	rgb(155,179,228)	1.7459	None
ZNF846	AGT	-0.77658	49.73	-0.73	rgb( 59,121,245)	1.9748	None
ZNF846	AK057596	0.65679	47.54	0.542	rgb(223,114,115)	1.931	2,2
ZNF846	AK5	-0.55646	43.61	-0.61	rgb( 85,137,240)	1.8524	None
ZNF846	AKR1B1	-0.82887	50.44	-0.44	rgb(122,159,234)	1.989	None
ZNF846	AMER3	-0.71974	48.63	-0.63	rgb( 80,133,241)	1.9528	None
ZNF846	ANKRD65	-0.81119	50.36	-0.36	rgb(139,170,231)	1.9874	None
ZNF846	ARHGEF26-AS1	0.81524	50.39	0.391	rgb(221,142,143)	1.988	None
ZNF846	ARL9	0.59418	45.26	0.26	rgb(220,167,168)	1.8854	None
ZNF846	ATOH8	-0.53486	44.23	-0.23	rgb(166,186,226)	1.8648	None
ZNF846	ATP13A4	0.15118	22	0	rgb(217,217,217)	1.4201	None
ZNF846	AX747756	0.76712	49.62	0.623	rgb(224, 98, 99)	1.9726	2,2
ZNF846	AX747833	0.69455	48.34	0.609	rgb(224,101,102)	1.947	2,2
ZNF846	BC010924	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
ZNF846	C14orf105	0.4993	42.61	0.606	rgb(224,101,103)	1.8324	2,2
ZNF846	C2CD4A	-0.45853	41.24	-0.24	rgb(166,186,226)	1.805	None
ZNF846	CAMK2B	-0.38129	36.4	-0.4	rgb(130,164,232)	1.7081	None
ZNF846	CATSPERB	0.95147	50.73	0.734	rgb(225, 77, 78)	1.9948	None
ZNF846	CCDC85B	-0.80768	50.36	-0.36	rgb(139,170,231)	1.9874	None
ZNF846	CD99L2	-0.82148	50.41	-0.41	rgb(129,163,232)	1.9884	None
ZNF846	CDH22	-0.50851	42.23	-0.23	rgb(167,186,226)	1.8248	None
ZNF846	CDKN1C	-0.96353	50.76	-0.76	rgb( 53,117,246)	1.9954	None
ZNF846	CELA3A	0.22515	27	0	rgb(217,217,217)	1.5201	None
ZNF846	CELA3B	0.14469	23	0	rgb(217,217,217)	1.4401	None
ZNF846	CHGB	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ZNF846	CHRNA1	0.12321	21	0	rgb(217,217,217)	1.4001	None
ZNF846	CNIH2	-0.66039	47.58	-0.58	rgb( 92,141,239)	1.9318	None
ZNF846	CPA1	-0.83635	50.46	-0.46	rgb(117,156,234)	1.9894	None
ZNF846	CR627206	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ZNF846	CRLF1	-0.64436	47.41	-0.41	rgb(127,163,233)	1.9284	None
ZNF846	CYMP	0.67836	47.64	0.638	rgb(224, 95, 96)	1.933	None
ZNF846	DACH1	-0.54767	43.4	-0.4	rgb(129,164,232)	1.8482	None
ZNF846	DKFZp564E1082	0.66894	47.74	0.738	rgb(225, 76, 77)	1.935	2,2
ZNF846	DLL4	0.052045	17	0	rgb(217,217,217)	1.3201	None
ZNF846	FAM110B	-0.85308	50.51	-0.51	rgb(107,150,236)	1.9904	None
ZNF846	FAM126A	0.87641	50.56	0.56	rgb(223,110,111)	1.9914	None
ZNF846	FAM167A	0.14469	23	0	rgb(217,217,217)	1.4401	None
ZNF846	FAM65C	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF846	FJX1	0.72045	49.16	0.572	rgb(223,108,109)	1.9634	None
ZNF846	GAL	0.49517	42.48	0.483	rgb(222,125,126)	1.8298	None
ZNF846	GDF10	0.26378	31	0	rgb(217,217,217)	1.6001	None
ZNF846	GGT5	0.04399	16	0	rgb(217,217,217)	1.3001	None
ZNF846	GNG4	0.29533	33	0	rgb(217,217,217)	1.6401	None
ZNF846	GOLGA7B	0.92197	50.7	0.704	rgb(225, 83, 84)	1.9942	None
ZNF846	GRHL3	0.052045	17	0	rgb(217,217,217)	1.3201	None
ZNF846	HCP5	0.98563	50.89	0.893	rgb(227, 46, 48)	1.998	None
ZNF846	HES6	-0.8905	50.59	-0.59	rgb( 89,139,239)	1.992	None
ZNF846	HEYL	0.10029	19	0	rgb(217,217,217)	1.3601	None
ZNF846	HMGB3	-0.45085	41.01	-0.011	rgb(215,216,217)	1.8004	None
ZNF846	HSPA2	0.04399	16	0	rgb(217,217,217)	1.3001	None
ZNF846	IFNE	0.46088	41.28	0.279	rgb(220,164,164)	1.8058	2,2
ZNF846	IGFN1	0.26378	31	0	rgb(217,217,217)	1.6001	None
ZNF846	ITPRIP	-0.60987	46.45	-0.45	rgb(119,157,234)	1.9092	None
ZNF846	KCNF1	-0.79831	50.3	-0.3	rgb(153,178,228)	1.9862	None
ZNF846	KCNJ11	-0.37299	37.29	-0.29	rgb(155,179,228)	1.7259	None
ZNF846	KLK12	-0.82887	50.44	-0.44	rgb(121,159,234)	1.989	None
ZNF846	LINGO1	-0.35204	35.15	-0.15	rgb(185,198,223)	1.6831	None
ZNF846	LOC100506123	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ZNF846	LRFN1	-0.82656	50.43	-0.43	rgb(123,160,234)	1.9888	None
ZNF846	LRRN2	0.1881	26	0	rgb(217,217,217)	1.5001	None
ZNF846	LZTS1	-0.7261	49.28	-0.28	rgb(156,180,228)	1.9658	None
ZNF846	MAD2L2	-0.96943	50.78	-0.78	rgb( 49,115,246)	1.9958	None
ZNF846	MAFA	0.63189	46.41	0.41	rgb(222,139,140)	1.9084	None
ZNF846	MALAT1	0.92396	50.66	0.656	rgb(224, 92, 93)	1.9934	None
ZNF846	MAP6	-0.65874	47.56	-0.56	rgb( 95,143,238)	1.9314	None
ZNF846	MAPK4	0.24796	30	0	rgb(217,217,217)	1.5801	None
ZNF846	MATN2	-0.48418	42.28	-0.28	rgb(156,180,228)	1.8258	None
ZNF846	MDK	-0.42078	39.44	-0.44	rgb(121,158,234)	1.769	None
ZNF846	MEX3A	0.31152	34	0	rgb(217,217,217)	1.6601	None
