	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LTF	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.120525519368	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.0372833028259	1	0.0631003545562	1	1	1	1	0.974902187399	0.894218597295	1
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	1	1	1	1	1	1	0.929954648565	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.852092969684
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	0.458199562357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	0.423583214782	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	0.246658186672	0.889693916135	1	0.179901018715	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	0.661281476076	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	3.7907057987e-06	0.276945536612	1.11136295816e-05	4.13416655839e-05	0.000768265276755	0.0167287323243	4.86690428025e-06	1	3.54455422702e-06	6.93021613216e-05	0.105409711979	0.177338227782	0.000109732175841	0.036369195706	1.2453529691e-05	0.000198157378349	0.0	0.00234110161766	0.101935166261
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	0.449330376715	1	1	0.699986183303	1	0.356416767826	1	1	1	1	1	0.845266465272	1	0.0374686045567	1	0.848089779631
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.140721977746	1	0.000233022170636	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	1	1	0.0596524779575	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.000729726076919	1	0.00036163530755	1	1	1	1	1	0.0144122760095	1.46606649577e-05	0.280157535163	1	1	0.202723433413	1	1	0.0351365151797	1	1
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.396590296202	0.318891679635	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	0.0468400408239	1	1	1	0.244433483616	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	0.569580614508	1	1	0.0323310931684	1	1	1	1	1	1	1	1	1	0.943090577977	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	0.0497709124205	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.325918433989	1	0.626972252973	0.0448720073197	1	0.875190572461	0.000244708274305	1	0.0268885391694	1	1	1	0.0322555155612	1	0.00437080981734	0.00194183967512	3.53883276916e-05	0.0982642925588	0.602582356078
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	1	0.664201900789	1	1	1	1	1	1	1	1	1	0.0656848423294	1	1	1	1	1	1
