	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LTF	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG			GCK ONECUT1 PAX6				GCK PAX6		GCK NEUROG3 NKX6-1	GCK HHEX NKX6-1	GCK NEUROD1 NKX2-2 PAX4	HHEX NEUROD1		HHEX NKX6-1	GCK HHEX MAFA NEUROD1 NKX2-2 PAX4 PAX6	GCK NKX6-1 ONECUT1		GCK PAX6	
REACTOME_CARDIAC_CONDUCTION	CACNB4 CAMK2B FXYD1 KCNJ11 KCNJ2 KCNK17 SCN3A	CACNA2D2 CACNB4 CAMK2B KCNH2 KCNJ11 SCN1B	CACNA2D1 CACNA2D2 CACNG7 CAMK2B FXYD1 KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 CACNG7 FGF14 ITPR1 KCNE4 KCNH2 KCNIP3 KCNK16	ATP1A3 CACNA1C CACNB4 CACNG6 FXYD1 ITPR1 KCNE4 KCNK3 SCN3B		CACNA1C CACNA2D2 CACNG6 FGF14 KCNJ2 KCNK17 SCN2A		CACNA2D1 CACNA2D2 CACNG4 FXYD1 ITPR1 KCNE4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1	CAMK2B KCNE4 KCNH2 KCNIP3 KCNJ11 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 CACNA2D2 CAMK2B FXYD6 ITPR1 KCNJ2 KCNK3 SCN3B	ATP1A3 CACNA2D1 CACNA2D2 CACNG6 FGF14 FXYD6 KCNIP3 KCNJ11 KCNJ2 SCN3B	ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 CAMK2B FGF14 FXYD6 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA2D2 CACNB4 CACNG6 CACNG7 FXYD6 ITPR1 KCNE4 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG7 CAMK2B FXYD6 ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK3 SCN1B	CACNA1C CACNA2D2 CACNB4 CACNG6 FGF14 FXYD1 KCNE4 KCNIP3 KCNJ2 KCNK17 SCN2A SCN3A SLC8A1	ABCC9 ATP1A3 CACNA2D1 CACNA2D2 CACNG4 FXYD6 ITPR1 KCNIP3 KCNJ2 SCN3B
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_			MUC15 MUC16 MUC5B	MUC15 MUC16 MUC17		MUC16 MUC3A MUC5AC MUC5B		MUC16 MUC5AC MUC5B	MUC15 MUC17 MUC3A	MUC15 MUC16 MUC17 MUC3A MUC5B			MUC15 MUC17 MUC5B						MUC16 MUC17 MUC5AC MUC5B
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	ADCY5 CAMK2B GABBR2 GAL RBP2 RGS5 RGS9 SSTR5	ADCY1 CAMK2B CCR6 GAL GPC2 PTGDR2 RGS16 SSTR3	APLN APOA1 APOC3 CAMK2B CCL19 CHRM4 CNR1 GAL GNAO1 GNG2 GNG4 GPC2 PDE6B PRKCG RBP2 RGS16 RGS17 RGS4 RGS5 SST SSTR2 SSTR5 SUCNR1 TTR	ADCY1 ADCY2 ADCY5 CLPS GAL GNAO1 GNG2 GNG4 GPC6 HRH3 ITPR1 LRAT PTGDR2 RBP1 RGS17 RGS9 SSTR1 SSTR5			ADCY2 ADCY5 AGT APLN APOA1 CHRM4 GAL GNG2 LRAT NPW PTGDR2 PYY RBP2 RGS11 RGS17 RGS4 RGS5 SSTR1 TTR		ADCY1 ADCY2 ADCY5 APLN APOA1 CCL19 CHRM4 CNR1 GAL GNG2 GNG4 ITPR1 NPW PDE6B PTGDR2 PYY RBP2 RGS14 RGS16 RGS17 RGS5 SSTR1 TTR	ADCY1 AGT APLN APOA1 CCL19 CHRM4 CNR1 GABBR2 GAL GNAO1 GNG2 GNG4 NPY PTGDR2 PYY RBP1 RBP2 RGS14 RGS16 RGS17 SST SSTR5	ADCY2 AGT APOA1 CAMK2B CLPS GAL GNAO1 GPC2 NPW PDE6B SSTR2 SSTR3	ADCY5 APOA4 APOB CAMK2B CLPS CXCL12 GABBR2 GAL GNAO1 GNG4 GPC6 PDE6B RBP1 RGS14 RGS4 RGS9 SSTR2 SUCNR1	ADCY1 ADCY2 ADCY5 AGT CAMK2B CCR6 CHRM4 CLPS CXCL12 GAL GNAO1 GNG4 GPC6 ITPR1 LRAT NPY PDE6B PRKCG RBP1 RGS11 RGS16 RGS9 SSTR5 TTR	ADCY5 APLN CXCL12 GABBR2 GNAO1 GNG2 NPY PDE6B PTGDR2 PYY RGS17 RGS9 SSTR3 SSTR5	APOA1 CAMK2B GABBR2 GNG2 GNG4 LRAT PRKCG PTGDR2 RBP1 RBP2 RGS14 RGS17 RGS5 RGS9 SSTR1 SSTR5 TTR	ADCY5 APLN GNAO1 GPC6 ITPR1 NPW PRKCG PTGDR2 PYY RGS11 RGS14 RGS17 RGS5 SUCNR1 TAS2R20	ADCY5 APLN CAMK2B CNR1 GABBR2 GNAO1 GNG4 ITPR1 LRAT NPW PRKCG PTGDR2 RGS17 RGS9 SSTR1	ADCY1 AGT APOA1 APOA4 APOC3 CCL19 CNR1 GABBR2 GAL GNAO1 GNG2 GNG4 HRH3 LRAT PTGDR2 RBP2 RGS14 RGS17 RGS5 SSTR5	ADCY1 ADCY5 APOA1 APOC3 CHRM4 CLPS CNR1 GABBR2 GNAO1 GNG4 ITPR1 NPW PDE6B PRKCG PTGDR2 PYY RBP1 RGS16 RGS17 RGS5 RGS9 SSTR1 SSTR3 SSTR5 TTR
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS		CHRNA3 CHRNB2	CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4	CHRNA1 CHRNB2					CHRNA1 CHRNA5 CHRNB2 CHRNB4		CHRNA1 CHRNA3 CHRNB4	CHRNA1 CHRNB4	CHRNA3 CHRNB2 CHRNB4				CHRNA1 CHRNB4		CHRNB2 CHRNB4
REACTOME_INSULIN_PROCESSING			KIF5A KIF5C PCSK1 PCSK2 SLC30A8	PCSK1 STX1A	CPE KIF5A KIF5C PCSK1 STX1A		CPE KIF5A KIF5C PCSK1 PCSK2 SLC30A8 STX1A			CPE KIF5A SLC30A8 STX1A	KIF5A PCSK1	PCSK1 PCSK2 STX1A		CPE PCSK1 PCSK2		KIF5A STX1A	CPE KIF5C PCSK1	CPE PCSK1 SLC30A8	
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	ABCC8 ADCY5 CACNA1A KCNJ11 STXBP1 SYT5	ABCC8 ADCY1 CACNA2D2 KCNJ11 STXBP1	ABCC8 CACNA1A CACNA1E CACNA2D2 GNG2 GNG4 SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C CACNA1E FFAR1 ITPR1 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1C CACNA1E RAPGEF4 SNAP25	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1C CACNA1E CACNA2D2 FFAR1 GNG2 RAPGEF4 SNAP25 STX1A SYT5		ADCY1 ADCY2 ADCY5 CACNA2D2 GNG2 GNG4 ITPR1 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY1 CACNA1A CACNA1C CACNA1E CACNA2D2 CYSLTR2 GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY2 CACNA1E KCNJ11 RAPGEF4 STXBP1	ABCC8 ADCY5 CACNA1A CACNA1C GNG4 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1E CACNA2D2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A	ADCY5 CACNA2D2 GNG2 KCNJ11 RAPGEF4 SNAP25	CACNA1A CACNA1E CACNB2 GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY5 CACNA1A CACNA1E CACNA2D2 CYSLTR2 FFAR1 ITPR1 STX1A STXBP1 SYT5	ABCC8 ADCY5 CACNA1C CACNA1E CACNA2D2 GNG4 ITPR1 KCNJ11 STXBP1 SYT5	ADCY1 CACNA1A CACNA1C CACNA1E CACNA2D2 GNG2 GNG4 RAPGEF4 SYT5	ADCY1 ADCY5 CACNA2D2 GNG4 ITPR1 STX1A SYT5
REACTOME_MUSCLE_CONTRACTION	CACNB4 CAMK2B FXYD1 KCNJ11 KCNJ2 KCNK17 SCN3A	ACTN3 ANXA6 CACNA2D2 CACNB4 CAMK2B KCNH2 KCNJ11 SCN1B	ACTN3 ANXA6 CACNA2D1 CACNA2D2 CACNG7 CAMK2B FXYD1 KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1 TMOD2	ACTN3 ATP1A3 CACNA2D1 CACNG7 FGF14 ITPR1 KCNE4 KCNH2 KCNIP3 KCNK16 MYBPC3	ATP1A3 CACNA1C CACNB4 CACNG6 FXYD1 ITPR1 KCNE4 KCNK3 SCN3B TMOD1		ACTN3 CACNA1C CACNA2D2 CACNG6 FGF14 KCNJ2 KCNK17 SCN2A TMOD1		CACNA2D1 CACNA2D2 CACNG4 FXYD1 ITPR1 KCNE4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 MYBPC3 SLC8A1 TMOD1 TMOD2	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1 TMOD1 TMOD2	CAMK2B KCNE4 KCNH2 KCNIP3 KCNJ11 KCNK17 KCNK3 TMOD1	ANXA6 ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 CACNA2D2 CAMK2B FXYD6 ITPR1 KCNJ2 KCNK3 SCN3B TMOD1	ATP1A3 CACNA2D1 CACNA2D2 CACNG6 FGF14 FXYD6 KCNIP3 KCNJ11 KCNJ2 MYBPC3 SCN3B	ANXA6 ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 CAMK2B FGF14 FXYD6 KCNH2 KCNJ11 KCNK16 MYBPC2 SLC8A1	ATP1A3 CACNA2D2 CACNB4 CACNG6 CACNG7 FXYD6 ITPR1 KCNE4 MYBPC2 SLC8A1 TMOD2	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG7 CAMK2B FXYD6 ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK3 MYBPC3 SCN1B TMOD2	CACNA1C CACNA2D2 CACNB4 CACNG6 FGF14 FXYD1 KCNE4 KCNIP3 KCNJ2 KCNK17 MYBPC3 SCN2A SCN3A SLC8A1 TMOD1	ABCC9 ACTN3 ANXA6 ATP1A3 CACNA2D1 CACNA2D2 CACNG4 FXYD6 ITPR1 KCNIP3 KCNJ2 MYBPC3 SCN3B
REACTOME_NEURONAL_SYSTEM	ABCC8 ADCY5 CACNA1A CACNB4 CAMK1 CAMK2B CHRNB2 GABBR2 GRIK3 GRIN2C HCN4 KCNA6 KCNB2 KCNC1 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 LRRTM3 NRXN2 PPM1E STXBP1	ABCC8 ADCY1 CACNA2D2 CACNB4 CAMK1 CAMK2B CHRNA3 CHRNB2 KCNAB2 KCNC1 KCNF1 KCNH2 KCNJ11 PPM1E SLC1A2 STXBP1 SYT2 TUBB4A	ABCC8 BEGAIN CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK2B CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4 GABRB3 GABRG2 GJD2 GNG2 GNG4 GRIK5 KCNAB2 KCNB2 KCNF1 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 KCNMB3 LIN7A LRFN2 NCALD PRKCG SLITRK6 SYN1 SYT2 TUBA1A	ABCC8 ADCY1 ADCY2 ADCY5 BEGAIN CACNA1A CHRNA1 CHRNB2 DLG2 GABRG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C HCN4 KCNH2 KCNH3 KCNH6 KCNK16 LIN7A LRRTM3 PPM1E SLITRK6 SNAP25 STX1A SYN1 TUBA1A TUBB3	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1E CACNB4 CHRNA5 DLG2 GABRB3 GJD2 GRIA2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 NRXN2 PPM1E SLC1A2 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1E CHRNB4 CPLX1 HCN4 KCNH7 KCNJ3 KCNJ6 KCNK3 LIN7A PPM1E SLITRK6 SNAP25 SYT2 TUBB4A	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CAMK1 CHRNB4 GABRA1 GABRB3 GAD2 GNG2 GRIA2 GRIK5 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMA1 KCNMB2 KCNN3 LIN7A LRFN2 LRRTM3 NCALD NEFL PPM1E SLITRK6 SNAP25 STX1A SYN1 TUBA1A TUBB2B		ADCY1 ADCY2 ADCY5 BEGAIN CACNA2D2 CACNG4 CHRNA1 CHRNA5 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIA2 GRIK5 KCNB2 KCNC1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMB2 KCNMB3 KCNN3 LIN7A LRFN2 NCALD NRXN2 PPM1E SLC1A2 SLITRK6 SNAP25 SYN1 SYT2 TSPAN7 TUBB3	ADCY1 CACNA1A CACNA1E CACNA2D2 CACNB4 CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GABRA1 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNAB2 KCNB2 KCNC1 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNJ3 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 LRFN2 NRXN2 SNAP25 STX1A SYN1 TSPAN7	ABCC8 ADCY2 CACNA1E CAMK2B CHRNA1 CHRNA3 CHRNB4 CPLX1 KCNAB2 KCNB2 KCNF1 KCNH2 KCNH8 KCNJ11 KCNK17 KCNK3 KCNMA1 SLC1A2 STXBP1 TUBB4A	ABCC8 ADCY5 CACNA1A CACNG4 CAMK1 CAMK2B CHRNA1 CHRNB4 CPLX1 DLG2 GABBR2 GABRB3 GNG4 GRIN2C KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 KCNN3 LRRTM3 SLC1A2 SNAP25 STX1A SYT2	ADCY1 ADCY2 ADCY5 CACNA1B CACNA1E CACNA2D2 CAMK1 CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 GRIN1 KCNAB2 KCNB2 KCNC1 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 LRFN2 NCALD NRXN2 PRKCG SNAP25 STX1A SYT2	ADCY5 BEGAIN CACNA2D2 CHRNB2 CPLX1 GABBR2 GNG2 GRIK5 GRIN1 GRIN2C HCN4 KCNC1 KCNJ11 KCNJ2 KCNJ3 KCNJ6 KCNMA1 KCNMB2 KCNN3 LRFN1 LRFN2 NRXN2 SNAP25	CACNA1A CACNA1E CACNB2 CACNB4 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN1 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 KCNN3 LIN7A LRFN2 NCALD NEFL NRXN2 PPM1E PRKCG SNAP25 TUBA1A TUBB3 TUBB4A	ADCY5 CACNA1A CACNA1B CACNA1E CACNA2D2 CACNB4 CHRNA1 DLG2 GABRA1 GABRB3 GABRG2 GAD2 GRIA2 GRIN1 GRIN2C KCNC1 KCNH8 KCNMA1 KCNMB2 KCNN3 NCALD NEFL PPM1E PRKCG SLC1A2 SLITRK6 STX1A STXBP1 SYT2	ABCC8 ADCY5 BEGAIN CACNA1B CACNA1E CACNA2D2 CACNB4 CAMK2B CHRNA1 CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C HCN4 KCNC1 KCNF1 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2 LIN7A NCALD NEFL PPM1E PRKCG SLC1A2 STXBP1 SYT2 TSPAN7 TUBB3	ADCY1 BEGAIN CACNA1A CACNA1E CACNA2D2 CACNB4 CPLX1 DLG2 GABBR2 GAD2 GNG2 GNG4 GRIK5 GRIN2C KCNB2 KCNC1 KCNG1 KCNJ2 KCNJ3 KCNJ6 KCNK17 LIN7A LRRTM3 NCALD NRXN2 SYN1 SYT2 TUBB3	ABCC9 ADCY1 ADCY5 CACNA2D2 CACNG4 CAMK1 CHRNB2 CHRNB4 CPLX1 GABBR2 GNG4 GRIK5 GRIN2C KCNAB2 KCNC1 KCNH7 KCNH8 KCNJ2 KCNMB2 LRFN1 PPM1E PRKCG STX1A TSPAN7 TUBA1A TUBB3 TUBB4A
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	ADCY5 CAMK1 CAMK2B CHRNB2 GABBR2 GRIK3 GRIN2C KCNJ2 KCNJ6 PPM1E	ADCY1 CAMK1 CAMK2B CHRNA3 CHRNB2 PPM1E TUBB4A	CAMK2B CHRNA1 CHRNA3 CHRNA5 CHRNB2 CHRNB4 GABRB3 GABRG2 GNG2 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A NCALD PRKCG TUBA1A	ADCY1 ADCY2 ADCY5 CHRNA1 CHRNB2 DLG2 GABRG2 GNG2 GNG4 GRIK3 GRIK5 GRIN2C LIN7A PPM1E TUBA1A TUBB3	ADCY1 ADCY2 ADCY5 CHRNA5 DLG2 GABRB3 GRIA2 GRIK5 KCNJ6 PPM1E	ADCY1 ADCY2 ADCY5 CHRNB4 KCNJ3 KCNJ6 LIN7A PPM1E TUBB4A	ADCY2 ADCY5 CAMK1 CHRNB4 GABRA1 GABRB3 GNG2 GRIA2 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD NEFL PPM1E TUBA1A TUBB2B		ADCY1 ADCY2 ADCY5 CACNG4 CHRNA1 CHRNA5 CHRNB2 CHRNB4 GNG2 GNG4 GRIA2 GRIK5 KCNJ2 KCNJ3 LIN7A NCALD PPM1E TSPAN7 TUBB3	ADCY1 CACNG4 CHRNB4 DLG2 GABBR2 GABRA1 GNG2 GNG4 GRIK5 KCNJ2 KCNJ3 TSPAN7	ADCY2 CAMK2B CHRNA1 CHRNA3 CHRNB4 TUBB4A	ADCY5 CACNG4 CAMK1 CAMK2B CHRNA1 CHRNB4 DLG2 GABBR2 GABRB3 GNG4 GRIN2C KCNJ6	ADCY1 ADCY2 ADCY5 CAMK1 CAMK2B CHRNA3 CHRNB2 CHRNB4 DLG2 GNG4 GRIK5 GRIN1 KCNJ2 NCALD PRKCG	ADCY5 CHRNB2 GABBR2 GNG2 GRIK5 GRIN1 GRIN2C KCNJ2 KCNJ3 KCNJ6	CACNG4 CAMK2B CHRNA3 GABBR2 GNG2 GNG4 GRIK5 GRIN1 LIN7A NCALD NEFL PPM1E PRKCG TUBA1A TUBB3 TUBB4A	ADCY5 CHRNA1 DLG2 GABRA1 GABRB3 GABRG2 GRIA2 GRIN1 GRIN2C NCALD NEFL PPM1E PRKCG	ADCY5 CAMK2B CHRNA1 CHRNB4 GABBR2 GABRB3 GNG4 GRIK5 GRIN2C KCNJ2 KCNJ6 LIN7A NCALD NEFL PPM1E PRKCG TSPAN7 TUBB3	ADCY1 DLG2 GABBR2 GNG2 GNG4 GRIK5 GRIN2C KCNJ2 KCNJ3 KCNJ6 LIN7A NCALD TUBB3	ADCY1 ADCY5 CACNG4 CAMK1 CHRNB2 CHRNB4 GABBR2 GNG4 GRIK5 GRIN2C KCNJ2 PPM1E PRKCG TSPAN7 TUBA1A TUBB3 TUBB4A
