	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LTF	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0	0	3	0	0	0	2	0	3	3	4	2	0	2	7	3	0	2	0
REACTOME_CARDIAC_CONDUCTION	7	6	13	9	9	0	7	0	12	17	7	15	9	10	12	9	13	13	10
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	0	0	3	3	0	4	0	3	3	5	0	0	3	0	0	0	0	0	4
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	8	8	24	18	0	0	19	0	23	22	12	18	24	14	17	15	15	20	25
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	2	5	2	0	0	0	0	4	0	3	2	3	0	0	0	2	0	2
REACTOME_INSULIN_PROCESSING	0	0	5	2	5	0	7	0	0	4	2	3	0	3	0	2	3	3	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	6	5	7	12	11	7	13	0	11	13	6	7	10	6	9	10	10	9	7
REACTOME_MUSCLE_CONTRACTION	7	8	16	11	10	0	9	0	15	19	8	16	10	11	14	11	15	15	13
REACTOME_NEURONAL_SYSTEM	23	18	40	30	27	17	35	0	40	36	20	26	32	23	32	29	36	28	27
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	10	7	17	16	10	9	17	0	19	12	6	12	15	10	16	13	18	13	17
REACTOME_PEPTIDE_HORMONE_METABOLISM	0	0	10	6	11	0	15	0	6	9	0	6	5	6	0	4	5	7	0
REACTOME_PHASE_0_RAPID_DEPOLARISATION	3	4	7	3	4	2	5	0	3	6	0	9	4	5	6	4	6	7	4
REACTOME_POTASSIUM_CHANNELS	11	6	17	8	9	5	10	0	15	19	10	10	8	11	11	5	13	10	9
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	2	2	4	0	3	0	4	0	2	5	0	2	3	0	5	5	4	4	2
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	2	0	4	2	0	0	4	0	0	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	6	4	7	10	9	5	12	0	9	11	5	7	8	6	9	9	10	8	6
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	0	0	5	3	3	0	6	0	2	0	0	3	2	2	2	0	0	4	0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	13	11	22	20	16	12	25	0	24	20	10	17	22	13	22	22	25	20	20
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	6	5	16	12	9	7	14	0	13	13	0	12	16	6	13	13	12	12	14
