	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
BIOCARTA_ACE2_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.043943604480087495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06821100177775197	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06926319221551913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014088655361368607	1	1	1	1	1	1	1	0.07842313922414745	1	1	1	0.016278974077572617	0.010920504530643749	1	1	1	1	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.9991234641509905e-05	0.0030216875613766625	1	1	0.0028462750104344403	1	1	1	1	1	1	1	1	1	1	1	1	0.004359561433648573	0.0028958769842086785	1	0.005964395852737336	0.006466491505624283	1	1	1	8.769803576591517e-05	1	1	1	0.004450932227129889	1	1	1	1	1	1	1	1	1	1	1	0.003281026129617115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.055588522008882535	1	1	1	0.07918218244723119	1	1	1	1	1	1	1	0.05664401173359468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.046426016131814296	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CK1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04311622490490641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_GHRELIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04256720083378018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_KERATINOCYTE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09824411506840325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0773591950546395	0.03457745290945469	1	1	1	1	1	0.05801131438757223	1	1	1	1
BIOCARTA_LAIR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027510144414815807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_LIS1_PATHWAY	1	1	1	0.012471398844658532	1	1	1	1	1	1	1	1	1	1	1	0.08443934055389835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MAPK_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.063670281321896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07322287873800548	1	1	1	1	1	0.09400471525765997	1	1	1	0.0774741797801064	1	1	1	0.07531765564981074	1	1
BIOCARTA_MELANOCYTE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00914486260521874	0.0008233553919432257	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MPR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.056357797952448885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.050704623279876015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06137436419082043	1	1	0.07501309280139257	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MTA3_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07681343744468827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.055588522008882535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_NO1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.034241945702564	1	1	1	1	0.08314595174592276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032226998205691526	1	1	0.005341072101201605	1	1	1	1	1	1	1	1	1	0.06853551541075331	1	1	1	1	1	1	1	0.09402937452304094	1	0.09533656518285993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_NOS1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.041545475049548086	1	1	1	1	1	1	1	1	0.05676993069226688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_PDZS_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07681343744468827	0.04255715978093155	0.039741765424223696	1	0.012142498417731296	0.03760458424203583	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07918218244723119	1	1	1	0.053499507628931076	1	1	1	0.006393304906856967	1	1	0.03119874134774192	1	1	1	1	1	0.046426016131814296	1	1	0.004147428800336361	1	1	0.046426016131814296	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_PRION_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0260696120809899	1	1	1	1	1	1	1	1	1	1	1	0.02658799414206936	1	1	0.014303010272283201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.026761740223740116	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_TFF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09399597633696799	1	1	1	1	1	0.013022661839031335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
