	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	0.00345777227734	0.851799093043	1	1	1	1	1	1	1	1	1	1	1	1	0.978225584496	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.0360001992344	0.408640151125	1	1	1	1	1	1	1	1	1	0.167584699954	0.882586795624	1	1	1	1	1	1	0.000318282477803	0.242066474165	1	0.00095414562842	1	1	1	1	1	1	1	0.308353949313	1	0.00212675128779	1	1	0.21433890837	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.232217283872	1	1	1	1	1	1	1
GO_AXON	0.0665481060373	0.0	1	0.0852866787204	0.0	0.0	0.0	0.0	0.0203314163575	1	0.0	1	1	1	1	0.0578046464005	0.0	0.00017624652734	0.0	0.0	1	0.267121804574	0.134747044246	0.0	1	1	0.0	0.00827876211424	0.225134309421	0.00735517190036	0.000818492321683	1	1	1	0.0	1	0.15517557404	0.0	0.0	0.0	1.20943025905e-05	1	0.0	1	1	0.00444249619325	0.334065849424
GO_AXON_DEVELOPMENT	1	0.0049177300034	1	1	1	0.000158897312104	0.0146264285281	1	1	1	0.925130070781	1	1	1	1	1	1	1	0.981782000252	1	1	1	1	0.000195435360782	1	1	0.0120212148376	1	1	1	1	1	1	1	1	1	1	1	1	0.00186483369007	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	0.0059560989362	1	0.0314646665972	0.308239098062	1	1	0.215728893978	1	1	1	1	1	0.0356043703494	1	0.000544805818635	4.75608206777e-05	1	1	1	1	1	1	3.28827552769e-05	0.0355214354927	0.954543166894	0.000426197870806	1	1	1	1	1	1	1	0.000955748574578	0.592931115361	0.000111696488013	0.0522341939587	1	9.9490798909e-05	1	1	1	0.0839175456256
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.467573657782	1	1	1	0.388488093739	1	1	1	0.0159383227873	1	1	1	1	1	1	1	1	1	0.0469183140731	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.15041634214	1	1	1	1	1	1	1	1	0.681395156401	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.503550741867	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	0.363803705079	1	1	0.842419945758	1	1	1	1	1	1	1	1	1	1	1	1	1	0.12689265617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.058278276997	1	1	1	1	1	1	1
