	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	6	10	9	8	0	20	17	11	9	4	9	0	0	6	2	4	13	9	16	17	2	8	9	14	4	3	11	9	5	13	7	4	6	5	7	0	4	9	13	18	15	2	13	0	3	4	8
GO_ADULT_BEHAVIOR	7	10	6	8	13	15	16	17	11	8	12	0	0	8	2	6	13	10	18	17	4	8	5	14	5	3	20	12	6	18	11	0	5	4	12	0	3	16	12	22	15	2	18	6	3	9	11
GO_ALCOHOL_BINDING	4	7	3	5	6	9	9	10	5	6	9	0	0	6	2	5	7	11	9	9	0	0	3	7	5	0	12	4	8	5	6	0	0	3	8	0	0	6	6	15	9	0	13	3	5	7	7
GO_AXON	22	55	23	27	40	60	67	50	26	23	46	14	15	22	8	24	48	45	58	74	8	25	22	46	22	5	53	29	26	39	38	16	13	16	55	0	15	52	57	65	47	7	58	15	13	28	34
GO_AXON_DEVELOPMENT	10	35	13	15	22	45	42	29	12	19	30	7	8	22	5	12	30	30	38	35	6	18	9	37	12	4	38	14	21	25	26	10	9	13	29	0	7	32	31	48	29	0	37	0	8	14	17
GO_BEHAVIOR	12	29	16	19	34	37	45	37	20	19	34	9	8	17	7	17	38	30	49	51	9	20	16	32	14	5	46	27	24	40	27	9	11	14	31	3	9	43	35	55	39	4	51	11	12	23	34
GO_BIOLOGICAL_ADHESION	19	55	34	39	42	71	71	65	0	37	54	16	27	36	13	0	60	53	78	80	9	35	26	61	29	8	64	47	37	56	50	0	21	25	47	7	11	72	63	86	63	0	79	25	18	25	44
GO_CALCIUM_CHANNEL_COMPLEX	5	4	3	3	6	9	9	10	4	0	7	0	3	4	2	4	10	7	9	11	0	4	5	5	0	2	7	6	9	8	6	2	4	5	7	0	3	11	9	10	8	0	8	0	0	3	0
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2	0	4	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	4	4	0	2	3	4	0	3	0	0	0	3	0	0	2	3	0	4	0	3	0	4	3	0	7	0	0	0	0
GO_CALCIUM_ION_BINDING	19	36	20	25	31	41	47	34	15	26	27	12	11	17	7	15	37	38	42	44	7	18	16	38	15	8	30	24	0	32	30	0	12	14	34	6	7	37	38	54	34	0	46	14	10	24	28
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0	15	8	10	14	24	28	17	9	0	15	0	6	10	0	10	17	18	21	21	0	0	11	18	8	0	18	18	14	19	11	0	9	7	19	0	5	28	19	25	22	0	20	0	0	11	12
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4	9	6	7	8	16	19	11	5	0	11	0	3	5	2	8	11	10	15	16	2	4	9	12	5	2	10	13	11	11	6	3	7	5	13	0	4	18	13	14	14	0	14	0	0	9	8
GO_CARDIAC_CONDUCTION	5	9	8	11	11	17	22	11	4	0	14	0	0	7	0	8	11	12	16	21	0	8	8	13	7	2	15	10	10	16	9	3	4	5	13	0	0	14	18	21	14	0	18	0	0	11	12
GO_CATECHOLAMINE_SECRETION	2	4	0	3	3	4	8	4	3	3	4	3	0	0	2	3	6	4	7	10	2	3	0	4	0	2	7	3	0	5	3	0	0	0	0	0	4	8	4	9	8	3	11	0	2	4	0
GO_CATION_CHANNEL_ACTIVITY	8	27	25	21	24	50	50	30	14	12	33	7	8	16	7	17	33	26	40	43	8	21	21	36	15	3	28	24	19	33	16	5	15	13	30	0	10	34	34	46	37	3	35	8	4	20	26
GO_CATION_CHANNEL_COMPLEX	9	20	19	15	15	33	33	25	11	9	24	5	8	9	4	11	29	21	25	33	4	15	12	27	8	3	20	17	17	28	14	5	11	9	16	0	7	25	24	34	27	3	26	0	0	11	21
GO_CATION_TRANSMEMBRANE_TRANSPORT	0	44	32	33	44	69	76	46	19	18	46	11	16	21	8	24	50	50	57	67	8	25	23	50	22	0	51	37	26	54	32	12	21	20	44	0	12	56	49	70	58	0	57	13	0	31	43
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	35	27	26	29	58	58	35	15	13	37	8	8	17	8	17	38	34	49	54	8	22	24	43	15	0	37	29	21	39	25	9	16	14	34	0	10	40	42	57	44	5	40	10	0	25	32
GO_CATION_TRANSPORT	0	51	38	40	48	82	89	50	23	24	54	0	19	25	11	27	59	58	67	77	10	32	27	58	25	0	61	41	29	60	39	14	23	21	51	0	14	65	56	80	69	0	67	17	0	37	49
GO_CELLULAR_COMPONENT_MORPHOGENESIS	17	49	20	26	31	62	59	43	22	25	39	10	13	27	7	15	44	43	52	51	11	25	0	44	23	7	53	24	29	38	39	13	0	20	41	0	12	46	51	67	41	0	50	12	14	18	29
GO_CELL_BODY	15	38	21	21	30	48	51	38	17	22	36	9	14	13	6	17	39	27	45	54	11	25	19	40	22	5	47	22	19	38	34	0	12	11	38	0	15	41	40	53	39	5	45	13	10	26	27
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	8	11	9	12	0	16	13	15	8	11	18	0	7	10	0	0	16	13	19	22	4	9	11	18	0	6	14	17	9	10	10	0	0	10	0	6	0	18	14	19	17	0	22	5	5	0	0
GO_CELL_CELL_SIGNALING	35	81	54	61	68	120	126	88	41	41	83	25	26	45	20	33	94	90	117	120	17	49	37	87	45	17	106	51	54	92	72	19	28	31	81	6	24	99	104	137	94	16	124	29	20	52	76
GO_CELL_JUNCTION_ASSEMBLY	15	17	16	16	15	27	27	23	14	12	21	0	9	16	5	11	24	19	34	33	0	11	8	20	9	6	33	20	13	21	15	8	10	13	19	4	6	25	22	33	24	0	35	9	6	0	15
