	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HES4	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.0636845958329	1	1	1	1	1	1	1	1	1	1	0.530989797086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000571923847792	1	1	0.000186901989332	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	0.856876099316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	0.0	1	1	1	0.0	0.0	0.157438980963	0.31898106586	0.0	1	1	1	0.0	0.00342876277331	0.0	0.0	1	0.219480877574	1	0.0	1	1	0.0	0.274594756925	1	0.000985637808447	1	1	0.0	1	1	0.0	0.0	1	0.0	0.0504136180737	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.0648676851035	1	1	1	0.00132945258172	1	1	1	0.221770228298	1	1	1	1	1	1	1	1	1	1	0.000275866863586	1	1	1	1	1	1	1	1	1	1	1	0.343909034123	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0232476437086	1	1	1	0.00220042776173	1	0.0181437421404	0.0	1	1	1	1	1	1	7.44897041209e-05	1	1	0.0	1	1	1	1	1	0.0463863537206	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.200214521576	1	1	1	0.00527936595694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.663045987858	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0432688960451	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0951376348114	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.559621052263	1	1	1	1	1	1	1	0.0520739883908	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0425357974622	1	1	1	1	1	1	1	0.019593706974	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	1	0.180288011282	1	1	1	1	1	1	0.00022288126769	1	1	1	1	1	1	1	1	1	0.272852209852	1	1	1	1	1	1	0.137626296868	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.83213432189	8.78773282962e-05	1	1	0.0	0.000841164948691	0.0352728842802	1	0.0	1	1	1	0.00109428206727	1	0.0	0.0	1	0.00379331483175	0.449029755877	0.0	1	1	0.0330895665531	0.0	1	0.0	1	1	0.00030427703464	1	1	5.14451609432e-05	0.0	1	0.000130113027584	0.272846692976	1	0.284428437411	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	0.00162112103175	1	1	0.00149150329984	0.0621333166116	0.000489487930611	1	0.0	1	1	1	4.7139835309e-05	1	1	0.0	1	0.493377896233	1	0.000443195298532	1	1	0.912831227474	0.0045882795136	1	4.32029534592e-06	1	1	1	1	1	0.000547153926549	0.00125672818525	1	5.00696191302e-05	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	0.0073114962455	0.230248508344	1	1	0.00689643798977	1	1	1	1	1	0.815088909996	0.0	1	1	1	0.0122372255769	1	1	0.0245814500988	0.00028870168963	1	0.0	1	1	0.0635063188786	1	1	0.0243226697911	0.0894332801084	1	0.0435573870569	1	1	0.243661099657	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.370094945307	1	1	0.00233213033466	0.628729888483	1	1	0.0192079966454	1	1	1	1	1	0.0652327195386	0.0	1	1	1	0.000788232610183	1	1	1	0.0127014490985	1	0.000766274626951	1	1	1	1	1	0.135859987474	0.01122359124	1	0.679870266254	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	0.226774492464	1	1	0.00218295251758	0.00765807231408	1	1	0.0131723863478	1	1	1	1	1	1	2.67601931947e-06	1	1	1	0.024170614353	1	1	0.0258826938409	0.00317634775698	1	0.000185866911407	1	1	0.593889773925	1	1	0.0674471260683	0.280231792467	1	0.0181886286743	1	1	0.38918179702	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	0.0457068313391	1	1	1	4.35522780288e-05	1	1	1	0.132038184304	1	1	1	1	0.674981903375	1	1	1	1	1	0.0150318725715	1	1	0.0029312956832	1	1	1	1	1	1	1	1	0.115979814882	0.00139097879291	1	1	1	1	1	1
