	ARNT2	ARX	ASCL1	ASCL2	CCDC17	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF514	ZNF519	ZNF846	ZNF883
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS										SULT1A4 SULT2A1											SULT1A4 SULT2A1					SULT1A4 SULT2A1																	SULT2A1 TPST2											SULT1A4 SULT2A1 TPST2	
GO_4_IRON_4_SULFUR_CLUSTER_BINDING																																									RSAD2 RTEL1														
GO_9PLUS0_NON_MOTILE_CILIUM								CEP290 RD3 SSTR3 USH1G	CDHR1 CEP290 CERKL IMPG1 MAP1B SSTR3 TTLL6 USH2A																									CERKL KIAA1549 USH2A									CERKL MAP1B PDE6B TTLL6 USH2A VCAN										PDE6B SSTR3		
GO_9PLUS2_MOTILE_CILIUM																			CCDC181 DEFB1 TTC25		DEFB1 TTC25	CCR6 DRD2			DNAH11 DNAJB13 PMFBP1						CCR6 DNAJB13	CD52 DNAH11 DRD2 TTC25			DNAJB13 DRD2 TCTEX1D4						DEFB1 DNAH11 DRD2 TCTEX1D4			CCDC181 DRD2 TSSK4											
GO_ACETYLCHOLINE_BINDING												CHRNA3 CHRNB2																																CHRNA1 CHRNB4											
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY												CHRNA3 CHRNA5 CHRNB2																																CHRNA1 CHRNB4											
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX												CHRNA3 CHRNA5 CHRNB2																																CHRNA1 CHRNB4											
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY									CHRM4 CHRNA5			CHRNA3 CHRNA5 CHRNB2																							CHRM4 CHRNB4						CHRM4 HRH3			CHRNA1 CHRNB4											
GO_ACIDIC_AMINO_ACID_TRANSPORT		SNAP25 STX1A															STX1A STXBP1																			ADORA2A NTRK2 SNAP25																			
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY																																									TPGS1 TTLL6		TPGS1 TTLL6												
