TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ATOH8	AB007962	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
LTF	AB007962	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
LTF	ACE	-0.48216	41.22	-0.22	rgb(169,188,225)	1.8046	2,2
ATOH8	ADORA2A	0.89938	50.65	0.647	rgb(224, 93, 95)	1.9932	2,2
LTF	AK027252	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ATOH8	AK056490	0.95799	50.79	0.79	rgb(226, 66, 68)	1.996	2,2
LTF	AK057681	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ATOH8	AK091593	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	AK092251	0.46658	40.42	0.421	rgb(222,137,137)	1.7886	2,2
LTF	AK092380	-0.52569	43.62	-0.62	rgb( 83,135,241)	1.8526	2,2
ATOH8	AK094156	-0.46489	40.37	-0.37	rgb(137,168,231)	1.7876	2,2
ATOH8	AK094909	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
LTF	AK094909	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
LTF	AK095546	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
LTF	AK123654	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ATOH8	AK125333	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
LTF	AK126180	0.63416	46.45	0.453	rgb(222,130,131)	1.9092	2,2
LTF	AK126286	-0.39612	38.32	-0.32	rgb(148,175,229)	1.7465	2,2
ATOH8	AK311257	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
ATOH8	AL110171	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
LTF	AL110171	0.76055	49.57	0.572	rgb(223,108,109)	1.9716	2,2
LTF	APOA4	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
LTF	AX746734	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
LTF	AX746834	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
ATOH8	AX747090	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
LTF	AX747535	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
LTF	AX747850	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
ATOH8	BAI1	0.92396	50.7	0.702	rgb(225, 83, 84)	1.9942	2,2
ATOH8	BAI2	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
LTF	BC007880	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	BC010924	-0.56431	45.24	-0.24	rgb(165,186,226)	1.885	2,2
LTF	BC040358	0.54973	43.44	0.438	rgb(222,133,134)	1.849	2,2
LTF	BC040563	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	BC041347	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
LTF	BC041484	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ATOH8	BC042825	0.66039	47.58	0.584	rgb(223,105,107)	1.9318	2,2
LTF	BC053580	-0.35481	36.29	-0.29	rgb(154,179,228)	1.7059	2,2
LTF	BC073817	-0.48757	42.33	-0.33	rgb(146,174,229)	1.8268	2,2
ATOH8	BC073932	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	BC107568	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
LTF	BC131755	0.67774	47.62	0.616	rgb(224, 99,101)	1.9326	2,2
LTF	BC150585	-0.64139	47.38	-0.38	rgb(134,167,232)	1.9278	2,2
LTF	BGN	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
LTF	BST2	-0.37336	36.21	-0.21	rgb(171,189,225)	1.7043	2,2
ATOH8	BX647938	0.57621	45.31	0.436	rgb(222,134,135)	1.8864	2,2
ATOH8	C10orf10	0.79277	50.19	0.19	rgb(219,181,181)	1.984	2,2
ATOH8	C10orf35	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
LTF	C10orf82	-0.67551	47.58	-0.58	rgb( 91,140,239)	1.9318	2,2
LTF	C11orf92	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
LTF	C12orf55	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LTF	C12orf68	-0.37852	36.34	-0.34	rgb(144,173,230)	1.7069	2,2
ATOH8	C14orf105	-0.43722	39.29	-0.29	rgb(154,179,228)	1.766	2,2
LTF	C19orf70	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
ATOH8	C1orf173	0.61396	45.71	0.712	rgb(225, 81, 82)	1.8944	2,2
LTF	C3orf80	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
LTF	C6orf226	-0.53061	42.72	-0.72	rgb( 60,121,245)	1.8346	2,2
LTF	C7orf41	-0.36621	35.57	-0.57	rgb( 94,142,239)	1.6915	2,2
LTF	CACNB2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
LTF	CCL19	-0.38587	36.63	-0.63	rgb( 79,133,241)	1.7127	2,2
ATOH8	CD52	0.78207	49.75	0.745	rgb(225, 75, 76)	1.9752	2,2
LTF	CD52	0.728	49.3	0.296	rgb(220,160,161)	1.9662	2,2
LTF	CECR6	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
LTF	CFH	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
ATOH8	CGREF1	0.45808	40.22	0.225	rgb(219,174,175)	1.7846	2,2
LTF	CNR1	-0.55737	43.68	-0.68	rgb( 69,127,243)	1.8538	2,2
ATOH8	CNTN3	-0.90669	50.66	-0.66	rgb( 73,130,242)	1.9934	2,2
LTF	CNTN3	-0.47865	42.2	-0.2	rgb(173,190,225)	1.8242	2,2
ATOH8	CTSL2	0.96171	50.8	0.803	rgb(226, 64, 65)	1.9962	2,2
LTF	CTSL2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LTF	CYP27A1	-0.88819	50.62	-0.62	rgb( 82,135,241)	1.9926	None
LTF	DKFZp564E1082	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
LTF	DKFZp586B1922	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ATOH8	DKFZp686O16217	0.95799	50.79	0.789	rgb(226, 66, 68)	1.996	2,2
LTF	DKFZp686O16217	0.86254	50.53	0.532	rgb(223,115,116)	1.9908	2,2
LTF	DLL3	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LTF	DPCR1	0.3974	37.31	0.31	rgb(220,158,158)	1.7263	2,2
ATOH8	DPEP1	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
LTF	DPYSL4	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
LTF	DQ573539	0.56815	44.28	0.278	rgb(220,164,164)	1.8658	2,2
ATOH8	DQ588732	-0.75717	49.55	-0.67	rgb( 71,128,243)	1.9712	2,2
LTF	ECEL1	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ATOH8	ELFN1	0.58666	44.93	0.93	rgb(227, 39, 41)	1.8788	2,2
LTF	EPHA4	0.04399	16	0	rgb(217,217,217)	1.3001	None
ATOH8	EPHA8	0.60933	45.55	0.546	rgb(223,113,114)	1.8912	2,2
LTF	FAM131B	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LTF	FAM196A	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
ATOH8	FAM19A5	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ATOH8	FAM46C	0.92197	50.7	0.696	rgb(225, 84, 85)	1.9942	2,2
LTF	FAM46C	0.48963	42.36	0.358	rgb(221,149,149)	1.8274	2,2
LTF	FAM64A	0.39248	38.26	0.258	rgb(220,168,168)	1.7453	2,2
ATOH8	FAM65C	0.75436	49.53	0.703	rgb(225, 83, 84)	1.9708	2,2
LTF	FEV	-0.91322	50.68	-0.68	rgb( 70,127,243)	1.9938	None
ATOH8	FLJ00385	0.90669	50.66	0.656	rgb(224, 92, 93)	1.9934	2,2
LTF	FLJ00385	0.95147	50.73	0.729	rgb(225, 78, 79)	1.9948	2,2
ATOH8	FLJ35024	0.51413	43.34	0.342	rgb(221,152,152)	1.847	2,2
ATOH8	FLJ38723	0.71615	48.57	0.568	rgb(223,108,110)	1.9516	2,2
LTF	FLJ45340	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
LTF	FOXD4L2	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
LTF	FOXJ1	0.10777	20	0	rgb(217,217,217)	1.3801	None
LTF	FW340024	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
LTF	FW340027	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ATOH8	G0S2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
LTF	G0S2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LTF	GRASP	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
LTF	HCP5	-0.42825	38.8	-0.8	rgb( 43,111,247)	1.7562	2,2
