TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CCDC17	ABCC9	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
DPF3	ACTG1P4	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF788	ACTG1P4	0.91144	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
CCDC17	ADAM20P1	0.75663	49.49	0.487	rgb(222,124,125)	1.97	2,2
CCDC17	ADM5	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
DPF3	ADORA2A	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CCDC17	AF086346	0.78121	49.8	0.796	rgb(226, 65, 67)	1.9762	2,2
CCDC17	AF258560	0.52202	43.5	0.501	rgb(223,121,122)	1.8502	2,2
DPF3	AF258560	0.51285	42.31	0.312	rgb(220,157,158)	1.8264	2,2
ZNF788	AF258560	0.36006	35.37	0.375	rgb(221,145,146)	1.6875	2,2
CCDC17	AF420437	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
DPF3	AGAP9	0.38335	36.45	0.448	rgb(222,131,132)	1.7091	2,2
ZNF788	AGAP9	0.55171	43.48	0.48	rgb(222,125,126)	1.8498	2,2
DPF3	AK023417	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CCDC17	AK024092	0.89261	50.63	0.633	rgb(224, 96, 97)	1.9928	2,2
DPF3	AK024092	0.89765	50.64	0.643	rgb(224, 94, 95)	1.993	2,2
ZNF788	AK024092	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CCDC17	AK025511	0.48104	42.24	0.237	rgb(220,172,172)	1.825	2,2
CCDC17	AK025664	0.60091	46.32	0.321	rgb(221,156,156)	1.9066	2,2
DPF3	AK025664	0.36448	35.48	0.475	rgb(222,126,127)	1.6897	2,2
ZNF788	AK025664	0.64242	47.39	0.389	rgb(221,143,143)	1.928	2,2
DPF3	AK025975	-0.46431	40.36	-0.36	rgb(139,169,231)	1.7874	2,2
DPF3	AK026379	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CCDC17	AK026392	0.77865	49.76	0.761	rgb(225, 72, 73)	1.9754	2,2
CCDC17	AK027252	0.76382	49.59	0.589	rgb(223,104,106)	1.972	2,2
CCDC17	AK027332	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CCDC17	AK027840	0.77893	49.77	0.767	rgb(225, 70, 72)	1.9756	2,2
CCDC17	AK054970	0.73717	49.39	0.562	rgb(223,110,111)	1.968	2,2
DPF3	AK054970	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF788	AK054970	0.74374	49.44	0.436	rgb(222,134,135)	1.969	2,2
DPF3	AK055017	0.52007	42.43	0.425	rgb(222,136,137)	1.8288	2,2
ZNF788	AK055017	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
CCDC17	AK055257	0.76712	49.62	0.62	rgb(224, 98,100)	1.9726	2,2
ZNF788	AK055257	0.47815	42.19	0.191	rgb(219,181,181)	1.824	2,2
