TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CXXC4	AF086126	0.5862	44.76	0.761	rgb(225, 72, 73)	1.8754	2,2
CXXC4	AFF2	0.64717	47.44	0.44	rgb(222,133,134)	1.929	2,2
CXXC4	AK022997	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	AK024248	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CXXC4	AK026379	-0.48934	41.36	-0.36	rgb(138,169,231)	1.8074	2,2
CXXC4	AK027332	-0.53123	42.74	-0.74	rgb( 55,119,245)	1.835	2,2
CXXC4	AK057681	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	AK091624	-0.35262	35.17	-0.17	rgb(179,194,224)	1.6835	2,2
CXXC4	AK092048	-0.42681	38.57	-0.57	rgb( 93,142,239)	1.7516	2,2
CXXC4	AK095242	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
CXXC4	AK123868	0.46828	41.45	0.453	rgb(222,130,131)	1.8092	2,2
CXXC4	AK124197	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	AK125727	-0.38249	36.43	-0.43	rgb(124,161,233)	1.7087	2,2
CXXC4	AK128656	0.42701	38.58	0.581	rgb(223,106,107)	1.7518	2,2
CXXC4	AK128833	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CXXC4	AK293147	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	AK302511	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	AL137655	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	APOA4	-0.58319	44.59	-0.59	rgb( 89,139,239)	1.872	2,2
CXXC4	APOB	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	ARHGEF26-AS1	0.30343	32	0	rgb(217,217,217)	1.6201	None
CXXC4	ATCAY	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CXXC4	AX746640	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
CXXC4	AX746823	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CXXC4	AX746995	-0.51578	42.36	-0.36	rgb(138,169,231)	1.8274	2,2
CXXC4	AX747140	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	AX747179	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
