TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AB007962	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ONECUT1	ABCA9	0.20355	27	0	rgb(217,217,217)	1.5201	None
SIX2	ABCA9	-0.71615	48.57	-0.57	rgb( 94,142,239)	1.9516	None
HLF	ABCC4	-0.44783	39.56	-0.56	rgb( 96,144,238)	1.7714	None
ONECUT1	ABCC4	0.49112	42.39	0.386	rgb(221,143,144)	1.828	None
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
SIX2	ABLIM2	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
HLF	ACOT7	-0.66126	47.59	-0.59	rgb( 89,139,239)	1.932	None
SIX2	ACOT7	-0.82772	50.44	-0.44	rgb(121,158,234)	1.989	None
ONECUT1	ACSL6	0.93656	50.69	0.69	rgb(225, 85, 87)	1.994	None
SIX2	ACSL6	0.91144	50.67	0.674	rgb(224, 88, 90)	1.9936	None
ONECUT1	ADCY5	0.81524	50.39	0.39	rgb(221,143,143)	1.988	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
ONECUT1	ADD2	0.60863	46.43	0.432	rgb(222,135,135)	1.9088	None
SIX2	ADD2	-0.40814	38.04	-0.043	rgb(208,211,219)	1.7409	None
HLF	AF198444	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AF198444	0.44614	40.48	0.484	rgb(222,125,126)	1.7898	2,2
HLF	AHNAK	0.16638	23	0	rgb(217,217,217)	1.4401	None
SIX2	AHNAK	0.49112	41.4	0.401	rgb(221,140,141)	1.8082	None
HLF	AK025664	0.38521	36.56	0.558	rgb(223,110,112)	1.7113	2,2
ONECUT1	AK025664	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
HLF	AK056486	-0.75663	49.49	-0.49	rgb(111,152,236)	1.97	2,2
ONECUT1	AK056486	0.73812	49.4	0.401	rgb(221,140,141)	1.9682	2,2
HLF	AK091593	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
ONECUT1	AK091593	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SIX2	AK091593	0.74824	49.42	0.422	rgb(222,136,137)	1.9686	2,2
HLF	AK091624	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	AK091624	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	AK094786	-0.438	39.32	-0.32	rgb(146,174,229)	1.7666	2,2
ONECUT1	AK094786	0.91722	50.65	0.646	rgb(224, 94, 95)	1.9932	2,2
HLF	AK123868	-0.4031	37.48	-0.48	rgb(112,153,235)	1.7297	2,2
ONECUT1	AK123868	0.44907	40.6	0.6	rgb(224,102,104)	1.7922	2,2
HLF	AK125333	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	2,2
ONECUT1	AK125333	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	AK125333	0.84192	50.49	0.488	rgb(222,124,125)	1.99	2,2
HLF	AK127443	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	AK127443	0.82433	50.42	0.415	rgb(222,138,139)	1.9886	2,2
HLF	AK128153	-0.75564	49.48	-0.48	rgb(113,154,235)	1.9698	2,2
ONECUT1	AK128153	0.90913	50.63	0.629	rgb(224, 97, 98)	1.9928	2,2
SIX2	AK128153	0.51722	43.4	0.395	rgb(221,141,142)	1.8482	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ONECUT1	AK302511	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
SIX2	AK302511	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	AK311257	0.72255	49.23	0.227	rgb(219,174,174)	1.9648	2,2
SIX2	AK311257	0.4995	41.68	0.681	rgb(224, 87, 88)	1.8138	2,2
ONECUT1	AKR1B1	-0.92577	50.71	-0.71	rgb( 63,123,244)	1.9944	None
SIX2	AKR1B1	0.63028	46.39	0.388	rgb(221,143,144)	1.908	None
HLF	AL831889	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
SIX2	AL831889	0.55729	44.7	0.696	rgb(225, 84, 85)	1.8742	2,2
ONECUT1	ANGPT2	0.728	49.3	0.299	rgb(220,160,160)	1.9662	None
SIX2	ANGPT2	-0.68612	48.18	-0.18	rgb(178,193,224)	1.9438	None
ONECUT1	ANK2	0.67741	48.23	0.375	rgb(221,145,146)	1.9448	None
SIX2	ANK2	0.8691	50.57	0.571	rgb(223,108,109)	1.9916	None
HLF	ANKRD36C	0.21727	28	0	rgb(217,217,217)	1.5401	None
ONECUT1	ANKRD36C	0.96026	50.75	0.745	rgb(225, 75, 76)	1.9952	None
SIX2	ANKRD36C	-0.48228	42.26	-0.26	rgb(160,183,227)	1.8254	None
ONECUT1	ANKRD45	0.16638	23	0	rgb(217,217,217)	1.4401	None
SIX2	ANKRD45	0.95147	50.73	0.727	rgb(225, 78, 80)	1.9948	None
HLF	APBB1	0.31941	33	0	rgb(217,217,217)	1.6401	None
ONECUT1	APBB1	0.50987	43.27	0.518	rgb(223,118,119)	1.8456	None
ONECUT1	APLN	0.04399	16	0	rgb(217,217,217)	1.3001	None
SIX2	APLN	0.56704	44.26	0.256	rgb(220,168,169)	1.8654	None
HLF	ARHGAP24	-0.42309	38.44	-0.44	rgb(122,159,234)	1.7489	None
SIX2	ARHGAP24	0.13825	22	0	rgb(217,217,217)	1.4201	None
ONECUT1	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
SIX2	ARNT2	0.035399	15	0	rgb(217,217,217)	1.2801	None
ONECUT1	ASIC1	0.64907	47.46	0.463	rgb(222,129,129)	1.9294	None
SIX2	ASIC1	0.95799	50.79	0.795	rgb(226, 65, 67)	1.996	None
HLF	ASRGL1	-0.7185	48.61	-0.61	rgb( 85,137,240)	1.9524	None
ONECUT1	ASRGL1	0.44118	40.37	0.369	rgb(221,146,147)	1.7876	None
HLF	ATCAY	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
SIX2	ATCAY	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ONECUT1	ATP6V1G2	0.076869	18	0	rgb(217,217,217)	1.3401	None
SIX2	ATP6V1G2	-0.6824	47.82	-0.82	rgb( 39,109,248)	1.9366	None
HLF	AX746734	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
SIX2	AX746734	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	AX747090	-0.71458	48.55	-0.55	rgb( 97,144,238)	1.9512	2,2
ONECUT1	AX747090	0.63866	47.35	0.347	rgb(221,151,151)	1.9272	2,2
HLF	AX747175	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AX747175	0.53416	44.22	0.218	rgb(219,175,176)	1.8646	2,2
SIX2	AX747175	0.50715	42.21	0.208	rgb(219,177,178)	1.8244	2,2
HLF	AX747639	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
SIX2	AX747639	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	AX747755	-0.41227	38.17	-0.17	rgb(180,194,224)	1.7435	2,2
