TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AB007962	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ONECUT1	AB073649	0.73899	49.3	0.304	rgb(220,159,160)	1.9662	2,2
SIX2	AB074188	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
ONECUT1	ABCA9	0.20355	27	0	rgb(217,217,217)	1.5201	None
SIX2	ABCA9	-0.71615	48.57	-0.57	rgb( 94,142,239)	1.9516	None
HLF	ABCC4	-0.44783	39.56	-0.56	rgb( 96,144,238)	1.7714	None
ONECUT1	ABCC4	0.49112	42.39	0.386	rgb(221,143,144)	1.828	None
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
SIX2	ABLIM2	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
HLF	ACOT7	-0.66126	47.59	-0.59	rgb( 89,139,239)	1.932	None
SIX2	ACOT7	-0.82772	50.44	-0.44	rgb(121,158,234)	1.989	None
ONECUT1	ACSL6	0.93656	50.69	0.69	rgb(225, 85, 87)	1.994	None
SIX2	ACSL6	0.91144	50.67	0.674	rgb(224, 88, 90)	1.9936	None
SIX2	ADAM12	-0.39207	37.17	-0.17	rgb(181,195,223)	1.7235	None
SIX2	ADAM20P1	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	ADAMTS2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
SIX2	ADAMTSL2	0.85663	50.54	0.535	rgb(223,115,116)	1.991	None
SIX2	ADCY1	-0.63309	46.43	-0.43	rgb(124,161,233)	1.9088	None
ONECUT1	ADCY2	0.88385	50.61	0.614	rgb(224,100,101)	1.9924	None
ONECUT1	ADCY5	0.81524	50.39	0.39	rgb(221,143,143)	1.988	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
ONECUT1	ADD2	0.60863	46.43	0.432	rgb(222,135,135)	1.9088	None
SIX2	ADD2	-0.40814	38.04	-0.043	rgb(208,211,219)	1.7409	None
ONECUT1	ADH6	0.035399	15	0	rgb(217,217,217)	1.2801	None
SIX2	ADM5	0.76258	49.58	0.581	rgb(223,106,107)	1.9718	2,2
SIX2	AF131837	0.37435	37.32	0.325	rgb(221,155,156)	1.7265	2,2
HLF	AF198444	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AF198444	0.44614	40.48	0.484	rgb(222,125,126)	1.7898	2,2
ONECUT1	AF420437	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
HLF	AFF2	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
SIX2	AGAP11	0.58926	45.13	0.134	rgb(218,191,192)	1.8828	None
ONECUT1	AGT	0.19533	25	0	rgb(217,217,217)	1.4801	None
HLF	AHNAK	0.16638	23	0	rgb(217,217,217)	1.4401	None
SIX2	AHNAK	0.49112	41.4	0.401	rgb(221,140,141)	1.8082	None
HLF	AIF1	0.71917	49.13	0.352	rgb(221,150,150)	1.9628	None
SIX2	AK024119	0.51359	43.33	0.33	rgb(221,154,155)	1.8468	2,2
HLF	AK024248	-0.47464	40.66	-0.66	rgb( 74,130,242)	1.7934	2,2
SIX2	AK025511	0.51314	43.32	0.325	rgb(221,155,156)	1.8466	2,2
HLF	AK025664	0.38521	36.56	0.558	rgb(223,110,112)	1.7113	2,2
ONECUT1	AK025664	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	AK027252	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HLF	AK027332	0.52796	42.61	0.605	rgb(224,101,103)	1.8324	2,2
SIX2	AK054990	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ONECUT1	AK055257	-0.36547	35.54	-0.54	rgb(101,146,237)	1.6909	2,2
SIX2	AK055386	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HLF	AK056486	-0.75663	49.49	-0.49	rgb(111,152,236)	1.97	2,2
ONECUT1	AK056486	0.73812	49.4	0.401	rgb(221,140,141)	1.9682	2,2
SIX2	AK056490	0.84692	50.49	0.486	rgb(222,124,125)	1.99	2,2
SIX2	AK057596	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
HLF	AK091593	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
ONECUT1	AK091593	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
SIX2	AK091593	0.74824	49.42	0.422	rgb(222,136,137)	1.9686	2,2
HLF	AK091624	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ONECUT1	AK091624	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	AK094786	-0.438	39.32	-0.32	rgb(146,174,229)	1.7666	2,2
ONECUT1	AK094786	0.91722	50.65	0.646	rgb(224, 94, 95)	1.9932	2,2
SIX2	AK095045	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
SIX2	AK095242	0.51706	42.38	0.384	rgb(221,144,144)	1.8278	2,2
SIX2	AK096718	0.78505	49.87	0.872	rgb(227, 50, 52)	1.9776	2,2
SIX2	AK123332	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	AK123654	0.37435	37.32	0.317	rgb(220,156,157)	1.7265	2,2
HLF	AK123868	-0.4031	37.48	-0.48	rgb(112,153,235)	1.7297	2,2
ONECUT1	AK123868	0.44907	40.6	0.6	rgb(224,102,104)	1.7922	2,2
HLF	AK124970	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
ONECUT1	AK125301	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HLF	AK125333	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	2,2
ONECUT1	AK125333	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	AK125333	0.84192	50.49	0.488	rgb(222,124,125)	1.99	2,2
SIX2	AK125437	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
SIX2	AK126532	0.35762	35.3	0.298	rgb(220,160,161)	1.6861	2,2
HLF	AK127443	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ONECUT1	AK127443	0.82433	50.42	0.415	rgb(222,138,139)	1.9886	2,2
HLF	AK128153	-0.75564	49.48	-0.48	rgb(113,154,235)	1.9698	2,2
ONECUT1	AK128153	0.90913	50.63	0.629	rgb(224, 97, 98)	1.9928	2,2
SIX2	AK128153	0.51722	43.4	0.395	rgb(221,141,142)	1.8482	2,2
HLF	AK128563	-0.45808	40.22	-0.22	rgb(170,188,225)	1.7846	2,2
HLF	AK128656	-0.49851	41.6	-0.6	rgb( 87,138,240)	1.8122	2,2
ONECUT1	AK128833	0.3898	38.21	0.212	rgb(219,176,177)	1.7443	2,2
ONECUT1	AK129879	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ONECUT1	AK131337	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ONECUT1	AK302511	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
SIX2	AK302511	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
HLF	AK311213	-0.80913	50.35	-0.35	rgb(142,171,230)	1.9872	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
