TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MYSM1	AB073649	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	AB073649	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF514	AB073649	0.94403	50.71	0.709	rgb(225, 82, 83)	1.9944	2,2
MYSM1	ABCC9	0.42871	39.01	0.008	rgb(217,215,215)	1.7604	2,2
NFAT5	ABCC9	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ZNF514	ABCC9	0.65746	47.32	0.319	rgb(221,156,157)	1.9266	2,2
MYSM1	ACTG1P4	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZNF514	ACTG1P4	0.46501	41.38	0.376	rgb(221,145,146)	1.8078	2,2
NFAT5	AF198444	0.70132	48.52	0.523	rgb(223,117,118)	1.9506	2,2
ZNF514	AF198444	0.87922	50.6	0.596	rgb(224,103,104)	1.9922	2,2
NFAT5	AF420437	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
ZNF514	AF420437	0.6468	46.8	0.795	rgb(226, 65, 67)	1.9162	2,2
MYSM1	AK023417	0.65176	47.2	0.202	rgb(219,178,179)	1.9242	2,2
ZNF514	AK023417	0.59814	46.28	0.275	rgb(220,164,165)	1.9058	2,2
MYSM1	AK055017	-0.61826	46.15	-0.15	rgb(184,197,223)	1.9032	2,2
NFAT5	AK055017	0.9278	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
MYSM1	AK055694	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AK055694	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF514	AK055694	0.59364	45.24	0.241	rgb(220,171,171)	1.885	2,2
MYSM1	AK055910	0.84692	50.49	0.489	rgb(222,124,125)	1.99	2,2
ZNF514	AK055910	0.96171	50.8	0.797	rgb(226, 65, 66)	1.9962	2,2
NFAT5	AK057596	0.34494	36.04	0.043	rgb(217,209,209)	1.7009	2,2
ZNF514	AK057596	0.65147	47.19	0.191	rgb(219,181,181)	1.924	2,2
MYSM1	AK090844	0.61826	46.15	0.155	rgb(219,187,188)	1.9032	2,2
NFAT5	AK090844	0.65774	47.55	0.547	rgb(223,113,114)	1.9312	2,2
ZNF514	AK090844	0.95374	50.78	0.781	rgb(226, 68, 69)	1.9958	2,2
MYSM1	AK091729	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
NFAT5	AK091729	0.35787	35.31	0.306	rgb(220,158,159)	1.6863	2,2
ZNF514	AK091729	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
MYSM1	AK092380	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	AK092380	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ZNF514	AK092380	0.93437	50.73	0.727	rgb(225, 78, 80)	1.9948	2,2
NFAT5	AK094909	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
ZNF514	AK094909	0.83143	50.46	0.844	rgb(226, 56, 57)	1.9894	2,2
NFAT5	AK096291	0.46634	41.41	0.409	rgb(222,139,140)	1.8084	2,2
ZNF514	AK096291	0.95374	50.78	0.777	rgb(226, 69, 70)	1.9958	2,2
MYSM1	AK097119	0.971	50.83	0.827	rgb(226, 59, 61)	1.9968	2,2
NFAT5	AK097119	0.6893	48.39	0.389	rgb(221,143,144)	1.948	2,2
ZNF514	AK097119	0.728	49.3	0.314	rgb(220,157,158)	1.9662	2,2
MYSM1	AK123332	0.54932	43.43	0.434	rgb(222,134,135)	1.8488	2,2
NFAT5	AK123332	0.49442	42.47	0.475	rgb(222,126,127)	1.8296	2,2
ZNF514	AK123332	0.90669	50.66	0.663	rgb(224, 90, 92)	1.9934	2,2
MYSM1	AK123654	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
