TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MYSM1	AB073649	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	AB073649	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF514	AB073649	0.94403	50.71	0.709	rgb(225, 82, 83)	1.9944	2,2
NFAT5	ABCC4	0.38294	38.01	0.006	rgb(217,216,216)	1.7403	None
MYSM1	ABCC9	0.42871	39.01	0.008	rgb(217,215,215)	1.7604	2,2
NFAT5	ABCC9	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
ZNF514	ABCC9	0.65746	47.32	0.319	rgb(221,156,157)	1.9266	2,2
MYSM1	ACTG1P4	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZNF514	ACTG1P4	0.46501	41.38	0.376	rgb(221,145,146)	1.8078	2,2
ZNF514	ADAM20P1	-0.40884	38.07	-0.071	rgb(202,208,220)	1.7415	2,2
NFAT5	ADCY1	-0.62371	46.29	-0.29	rgb(153,178,228)	1.906	None
ZNF514	AF086126	0.95374	50.78	0.776	rgb(226, 69, 70)	1.9958	2,2
ZNF514	AF086346	-0.65874	47.56	-0.56	rgb( 95,143,238)	1.9314	2,2
ZNF514	AF116693	0.62086	46.71	0.813	rgb(226, 62, 63)	1.9144	2,2
NFAT5	AF198444	0.70132	48.52	0.523	rgb(223,117,118)	1.9506	2,2
ZNF514	AF198444	0.87922	50.6	0.596	rgb(224,103,104)	1.9922	2,2
ZNF514	AF289551	0.78377	49.9	0.948	rgb(227, 36, 38)	1.9782	2,2
NFAT5	AF420437	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
ZNF514	AF420437	0.6468	46.8	0.795	rgb(226, 65, 67)	1.9162	2,2
NFAT5	AGAP11	0.64523	47.42	0.415	rgb(222,138,139)	1.9286	None
ZNF514	AGAP9	0.78439	49.83	0.828	rgb(226, 59, 61)	1.9768	2,2
NFAT5	AHNAK	0.42123	38.39	0.386	rgb(221,143,144)	1.7479	None
MYSM1	AK023417	0.65176	47.2	0.202	rgb(219,178,179)	1.9242	2,2
ZNF514	AK023417	0.59814	46.28	0.275	rgb(220,164,165)	1.9058	2,2
ZNF514	AK024248	0.92003	50.69	0.906	rgb(227, 44, 46)	1.994	2,2
NFAT5	AK025511	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ZNF514	AK025664	-0.62173	46.78	-0.78	rgb( 48,114,247)	1.9158	2,2
ZNF514	AK026392	-0.50223	42.29	-0.29	rgb(155,179,228)	1.826	2,2
ZNF514	AK027252	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
ZNF514	AK027332	-0.67179	47.92	-0.92	rgb( 17, 95,252)	1.9386	2,2
ZNF514	AK027840	-0.60178	46.33	-0.33	rgb(146,174,229)	1.9068	2,2
MYSM1	AK055017	-0.61826	46.15	-0.15	rgb(184,197,223)	1.9032	2,2
NFAT5	AK055017	0.9278	50.67	0.671	rgb(224, 89, 90)	1.9936	2,2
MYSM1	AK055694	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AK055694	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF514	AK055694	0.59364	45.24	0.241	rgb(220,171,171)	1.885	2,2
MYSM1	AK055910	0.84692	50.49	0.489	rgb(222,124,125)	1.99	2,2
ZNF514	AK055910	0.96171	50.8	0.797	rgb(226, 65, 66)	1.9962	2,2
ZNF514	AK056486	0.77637	49.71	0.705	rgb(225, 82, 84)	1.9744	2,2
NFAT5	AK057596	0.34494	36.04	0.043	rgb(217,209,209)	1.7009	2,2
ZNF514	AK057596	0.65147	47.19	0.191	rgb(219,181,181)	1.924	2,2
ZNF514	AK057681	0.93891	50.74	0.807	rgb(226, 63, 64)	1.995	2,2
