	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYSM1	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
AB074188	0.16638	0	0.10777	0	0	0	0	0	0	0	0	0	0	0	0	0.1881	0.32805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69393	0.99942	0	0	0	0.15118	0	0.8071	0	0	0	0	0	0	0	0	0	0	0.016605	0	0	0	0	0	0	0.68988	0.29533	0	0	0	0	0	0	0	0	0	-0.70917	0	0	0	0	0	0	0
ABCA9	0	0	-0.34585	0.092482	0.36712	0	0	0	0	0	0	0	0	0	0	0	0	0.052045	-0.65271	-0.66171	0.98344	0	0	0	0	0	0	0	0	0.060595	0	0	0	0	0.54209	0	0	0.068278	0	0	0	0	0	0	0.46691	0	0.53812	0.20355	0	-0.96501	0.10029	0	0.4052	0	0	0	0	0	-0.71615	0.57811	0	0	0	0	0.58009	-0.76914	0	0	0	0.56543	0	0	0	0	0	0
ABCC8	0	0	0.1881	0.17332	0.0067328	0	0	0	0	0	0	0	0	0	0.092482	0.84998	0.25535	0	0	0	0.91722	0	0	0	0	0	0	0	0	0	0	0	0	0.59071	0.22515	0	0	0	0	0	0.91722	0	0.99632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43238	-0.96799	0	0	0	0	0.48455	0	0	0	0	0	0	0	0.27096	0	0
ACBD7	0	0.052045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52363	0	0	0	0	0	0	0	0	0	0	0	0.24796	0	0.084387	-0.60987	0	0	0	0	0	0	0.81219	0	0.035399	0	0	-0.60962	0.83317	0	-0.50905	0.56382	0	0.79971	0	0	0	0.17332	-0.64907	0	0	0	0	0	0	0	-0.68889	0.36568	0	0.57266	0	0	0	0
ACSL6	0	0	0.84866	0	0	0	0	0	0	0	0	0	0	0	0	0.19533	-0.44824	0	-0.48228	0	0.60487	0	0	0	0	0	0	0	0	0	0	0	0	0.38166	-0.47497	0	0.29533	0	0	0	0.29533	0.47336	0.98121	0	0	0	0.72292	0.93656	0	0	0	0	0	0	0	0.12321	0	0	0.91144	0	0.27096	0	0	0	0	0	0	0	0	0	0	0	0	0.72334	0	0
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.82553	0	0.24796	0.99587	0	0	0	0	0	0	0	0	0	0	-0.80558	0	0.49599	0	0	0	0	0	0	0.092482	0	0	0	0	0	0	0	0	0	-0.66981	0	0	0.3879	0.41875	0	0	0	0	0	0	0	0	0.85663	0.70715	0.076869	-0.50636	0	0	0	0	0	0	0	0	0	0	0.80913	0	0
ACTG1P4	0	0	0	0	0	0	0	0	0.060595	0	0	0.28724	0	0	0	0.060595	0.21045	0.69645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068278	0	0	0	0.30343	0	0	0.47154	0	0	0	0	0	0	0.29533	0.1881	0.36179	0	0	0	0	0.61086	0	0	0	0	0	0	0	0.3442	0.31152	0.13825	0.46501	0	0.91144	0	0	0
ACTL6B	0	0	-0.78872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.69645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80281	0.94403	0	0.29533	0.38294	0	0	0	0	0.99157	0	0	0	0	0	0	0	0	0	0.64019	0	0	0	0	0	0	0	0.73119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46117	0.73284	0.38443	0	0.38364	0	0	0	0	0	0	0	0	0	0.65679	0	0.26378	0	0.89938	0	0	0.43362	0.32805	0	0	0	0	0	0	0	0	0.084387	0	0.068278	0.41314	0.59166	0.027303	0	-0.37435	0	0.98563	0	0	-0.39207	0	-0.88819	0.34969	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0.44874	0	0.61867	0	0	0	0	0	0	0	0	-0.57831	0	0	0	0.052045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87641	-0.83474	0	0.91322	0	0	0	0	0	0.87096	0	0	0	0.61665	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91322	0	0	0	0	0	0	0	0	0	0	0	0	0.052045	0	0
